Serial No. Of Polling Station,AGARWAL KANAIALAL,CHURKA iVIURMU,DEEPA DASMUNSi,DEBASREE CHAUDHUR 1,MD. SALIM,AKIK HOSSAIN CHOWDHU RY,UKSHMA N MURMU,SANTHAPA N HASDAK,SUJAN KRISHNA PAUL,ADVOCATE ANJAY DEBSARMA,KUMARESH SARKAR,BINOY KUMAR DAS,MD. SAHAJAN BADSHA,RAJU PAUL,Total valid votes,No. of rejected votes,NOTA,Total Votes,Unnamed: 20
92,141,0,61,312,156,0,0,0,0,0,2,3,0,0,675,0,10,685,0
93,116,1,36,241,72,0,0,0,0,0,0,0,1,0,467,0,0,467,0
94,168,1,29,269,26,1,0,1,1,0,1,4,0,2,503,0,9,512,0
95,215,4,43,359,54,1,1,1,5,1,0,0,1,2,687,0,6,693,0
96,267,4,39,662,59,0,0,1,0,0,0,4,0,1,1037,0,7,1044,0
97,138,2,14,231,17,1,1,0,0,2,0,1,0,0,407,0,3,410,0
98,213,1,35,536,72,0,0,0,1,2,1,4,1,0,866,0,7,873,0
99,205,0,34,402,95,1,0,0,1,1,1,3,1,0,744,0,5,749,0
100,132,3,17,590,60,1,1,0,1,5,2,3,3,4,822,0,9,831,0
101,192,3,65,469,98,1,0,0,0,0,1,0,5,1,835,0,11,846,0
102,248,0,61,338,61,0,0,0,1,0,1,0,0,3,713,0,2,715,0
103,189,1,38,243,47,0,0,1,0,0,0,2,0,1,522,0,6,528,0
104,151,3,45,247,33,0,0,0,0,0,0,1,1,5,486,0,3,489,0
105,277,3,38,571,74,3,3,0,0,2,2,5,7,2,987,0,17,1004,0
106,286,2,33,539,89,0,1,0,0,0,1,4,3,1,959,0,14,973,0
107,43,0,38,201,45,0,0,0,0,0,0,1,1,1,330,0,0,330,0
108,84,0,75,462,165,1,0,0,1,0,0,3,0,3,794,0,2,796,0
109,82,1,40,486,56,0,0,2,0,1,5,5,1,2,681,0,5,686,0
110,52,0,20,315,71,2,1,0,0,1,3,4,1,3,473,0,1,474,0
111,103,2,66,397,96,0,0,0,0,1,0,2,0,1,668,0,1,669,0
112,42,1,34,126,41,0,0,1,1,0,0,1,2,1,250,0,2,252,0
113,132,1,67,475,64,0,0,0,1,1,1,1,1,0,744,0,3,747,0
114,290,9,14,576,24,2,2,0,0,2,1,6,3,4,933,0,14,947,0
115,239,5,28,637,25,0,1,0,0,1,2,7,1,3,949,0,17,966,0
116,231,3,22,234,28,0,1,0,0,0,1,1,0,1,522,0,6,528,0
117,418,2,32,469,48,0,0,0,2,0,0,3,0,0,974,0,10,984,0
118,154,3,53,266,43,0,0,1,3,1,1,0,4,0,529,0,5,534,0
119,162,1,29,344,43,1,0,0,0,0,3,2,3,0,588,0,5,593,0
120,137,0,72,367,66,0,0,0,0,1,1,2,2,0,648,0,11,659,0
121,155,2,117,338,124,0,1,0,5,1,0,0,1,2,746,0,9,755,0
122,107,1,35,194,46,1,0,0,1,0,0,0,0,1,386,0,3,389,0
123,183,1,62,275,59,0,0,0,2,0,0,0,0,1,583,0,3,586,0
