Serial No. Of Polling Station,AGARWAL KANAIALAL,CHURKA iVIURMU,DEEPA DASMUNSi,DEBASREE CHAUDHUR 1,MD. SALIM,AKIK HOSSAIN CHOWDHU RY,UKSHMA N MURMU,SANTHAPA N HASDAK,SUJAN KRISHNA PAUL,ADVOCATE ANJAY DEBSARMA,KUMARESH SARKAR,BINOY KUMAR DAS,MD. SAHAJAN BADSHA,RAJU PAUL,Total valid votes,No. of rejected votes,NOTA,Total Votes,Unnamed: 20
1,217,8,4,322,4,0,0,0,0,1,0,4,3,3,566,0,3,569,
2,95,2,8,277,24,0,0,3,0,1,0,3,0,1,414,0,1,415,
3,443,2,51,144,217,5,6,2,2,2,1,3,7,4,889,0,34,923,
4,800,1,10,5,35,1,0,0,0,0,0,1,0,0,853,0,0,853,
5,592,5,192,9,26,1,2,2,1,0,1,3,5,4,843,0,21,864,
6,122,2,39,478,78,2,2,0,3,1,1,3,6,2,739,0,7,746,
7,264,1,1,12,134,1,0,0,0,0,1,2,2,3,421,0,7,428,
8,479,0,56,207,153,1,0,2,1,1,3,7,2,3,915,0,14,929,
9,130,1,10,628,57,0,1,2,0,2,1,11,2,0,845,0,9,854,
10,456,1,57,97,196,3,1,1,1,0,3,2,2,2,822,0,12,834,
11,240,1,8,348,17,0,3,3,2,1,1,7,3,1,635,0,11,646,
12,28,0,6,483,4,1,3,1,0,0,0,6,1,1,534,0,1,535,
13,638,2,15,11,168,1,0,0,1,1,2,2,0,1,842,0,16,858,
14,701,10,240,14,106,1,2,0,0,0,2,4,5,1,1086,0,7,1093,
15,115,1,43,793,29,3,3,0,1,2,2,10,3,2,1007,0,8,1015,
16,317,7,155,205,112,4,3,6,0,2,6,9,9,8,843,0,14,857,
17,531,4,130,126,176,2,5,1,0,3,2,6,5,1,992,0,27,1019,
18,458,6,44,27,365,12,8,5,2,2,5,4,4,3,945,0,17,962,
19,580,3,78,5,180,0,0,0,0,0,0,3,5,0,854,0,17,871,
20,573,5,89,47,152,2,3,1,2,1,1,0,0,0,876,0,3,879,
21,238,0,45,442,39,0,4,0,1,1,1,3,4,1,779,0,8,787,
22,90,5,7,474,4,0,0,1,0,1,2,3,1,0,588,0,4,592,
23,110,3,18,580,10,1,1,0,1,1,2,7,3,2,739,0,7,746,
24,105,4,18,963,9,1,3,1,2,5,5,8,5,3,1132,0,9,1141,
25,99,1,12,631,16,0,2,1,1,1,6,5,1,1,777,0,3,780,
26,686,3,76,9,57,1,0,0,0,0,0,1,3,1,837,0,9,846,
27,401,3,50,9,35,1,1,1,0,1,0,1,1,0,504,0,6,510,
28,406,5,320,22,239,2,2,1,0,4,1,3,7,1,1013,0,16,1029,
29,362,0,20,310,39,0,3,2,0,0,1,4,3,0,744,0,9,753,
30,723,4,84,106,174,1,3,2,0,2,4,3,3,2,1111,0,19,1130,
31,469,8,283,107,132,2,5,0,0,2,2,2,7,1,1020,0,25,1045,
32,197,1,21,2,83,0,1,1,0,0,0,0,1,0,307,0,4,311,
33,878,1,3,6,5,0,0,1,0,0,0,0,0,0,894,0,1,895,
34,708,2,6,1,7,0,1,0,1,0,0,1,1,2,730,0,3,733,
35,534,2,5,0,4,0,0,1,1,0,0,0,0,0,547,0,2,549,
36,1100,1,7,9,14,0,0,0,0,0,0,0,0,0,1131,0,1,1132,
37,508,11,47,180,164,4,1,4,1,2,2,5,2,9,940,0,27,967,
38,986,3,6,1,11,0,0,0,0,0,0,0,0,1,1008,0,2,1010,
39,1032,2,6,4,16,0,1,0,0,0,0,0,0,0,1061,0,1,1062,
40,184,2,70,12,153,5,2,3,0,2,4,3,3,2,445,0,16,461,
41,277,6,75,25,109,3,0,2,1,2,4,4,7,0,515,0,19,534,
42,824,1,36,7,73,0,1,1,0,0,1,1,0,0,945,0,4,949,
43,570,1,56,4,142,1,0,0,0,0,0,0,1,0,775,0,3,778,
44,437,1,7,6,109,0,0,0,0,0,0,1,1,2,564,0,21,585,
45,583,1,7,2,37,0,0,0,0,0,0,1,1,1,633,0,2,635,
46,902,1,7,4,4,0,0,0,0,0,0,0,0,0,918,0,0,918,
47,616,1,54,4,174,3,0,0,0,0,1,0,1,0,854,0,7,861,
48,142,0,46,5,107,4,0,0,0,2,0,2,2,3,313,0,11,324,
49,539,0,8,8,17,0,1,1,0,0,0,1,3,2,580,0,2,582,
50,532,0,10,4,56,0,0,0,0,0,0,0,0,0,602,0,1,603,
51,363,1,16,7,312,3,0,0,1,2,1,0,1,2,709,0,7,716,
52,615,4,6,3,14,0,0,2,0,0,0,0,0,0,644,0,4,648,
53,942,1,9,9,15,0,                               0-,0,0,0,0,0,1,0,977,0,7,984,
54,316,2,11,13,51,2,0,0,0,0,2,1,0,0,398,0,12,410,
55,605,7,38,62,101,0,2,2,1,1,2,1,3,3,828,0,6,834,
56,589,6,83,47,215,5,1,0,1,0,1,1,1,3,953,0,7,960,
57,171,2,13,103,134,2,4,2,0,1,2,1,1,0,436,0,4,440,
58,337,4,59,12,340,11,2,3,3,0,0,2,1,2,776,0,9,785,
59,80,1,5,384,17,2,0,0,2,3,2,4,3,1,504,0,1,505,
60,603,4,90,87,83,0,3,0,0,0,1,4,3,2,880,0,4,884,
61,235,3,4,393,63,2,5,4,0,2,2,4,2,0,719,0,10,729,
62,470,1,23,231,276,3,1,0,1,0,0,7,3,0,1016,0,6,1022,
63,117,2,3,516,10,0,3,0,1,1,2,10,3,0,668,0,5,573,
64,130,1,6,472,4,0,1,0,1,1,0,12,5,0,633,0,5,638,
65,258,0,2,397,5,0,2,0,1,1,0,5,7,2,680,0,18,698,
66,235,3,5,563,21,0,1,1,2,8,1,17,10,1,868,0,13,881,
67,332,2,8,452,5,0,2,0,1,1,1,13,5,3,825,0,17,842,
68,302,8,10,241,55,1,1,2,2,2,1,6,2,1,634,0,11,645,
69,215,4,7,328,10,0,1,0,10,4,3,2,1,3,588,0,3,591,
70,178,6,27,622,4,0,1,3,5,1,4,11,3,5,870,0,15,885,
71,391,1,26,420,38,1,1,0,22,7,0,2,6,0,915,0,8,923,
72,308,3,5,484,11,1,2,1,7,2,2,7,6,0,839,0,5,844,
73,260,3,1,434,3,0,3,1,1,2,3,11,7,0,729,0,7,736,
74,554,6,9,248,59,2,1,0,2,3,2,4,6,1,897,0,19,916,
75,132,4,9,861,67,4,7,3,1,2,3,6,3,1,1103,0,8,1111,
76,325,2,15,571,71,1,5,2,2,3,3,9,5,2,1016,0,18,1034,
77,103,1,13,342,439,5,1,4,3,6,5,9,3,2,936,0,6,942,
78,273,3,16,840,14,2,4,9,5,5,2,14,10,4,1201,0,11,1212,
79,384,4,12,577,67,1,3,2,1,1,1,5,3,2,1063,0,3,1066,
80,200,1,5,568,7,1,9,0,0,2,3,10,4,0,810,0,12,822,
81,787,3,18,11,162,0,0,0,0,0,0,1,0,3,985,0,4,989,
82,451,5,16,320,140,1,3,1,2,3,3,4,1,0,950,0,16,966,
83,269,0,27,5,231,2,0,1,0,0,0,0,0,0,535,0,7,542,
84,270,1,56,13,305,8,1,2,2,3,3,5,2,3,674,0,16,690,
85,596,5,21,14,438,6,1,1,3,3,0,2,5,4,1099,0,6,1105,
86,273,2,7,13,258,7,1,2,4,6,2,0,0,2,577,0,10,587,
87,123,1,16,527,25,1,1,0,0,0,0,4,1,0,699,0,2,701,
88,65,5,22,685,36,2,4,6,4,3,3,6,4,4,849,0,13,862,
89,136,1,5,633,15,1,4,2,1,1,2,7,3,1,812,0,9,821,
90,55,0,7,525,19,1,0,0,1,0,0,1,2,0,611,0,1,612,
91,51,1,15,521,84,0,1,1,7,0,0,1,0,2,684,0,1,685,
92,37,0,17,13,324,1,2,2,0,0,5,3,1,1,406,0,2,408,
93,216,1,23,298,483,4,2,3,1,1,6,4,5,3,1050,0,12,1062,
94,173,1,15,199,191,1,3,0,3,0,2,2,1,0,591,0,4,595,
95,28,0,3,9,578,7,1,0,0,1,2,4,0,3,636,0,6,642,
96,163,2,11,595,237,4,0,0,1,3,6,3,1,1,1027,0,9,1036,
97,140,3,16,908,51,0,3,0,0,0,4,16,5,1,1147,0,15,1162,
98,161,0,17,742,106,0,                          1  .,1,2,2,5,15,0,2,1054,0,11,1065,
99,165,3,25,755,50,1,1,0,2,1,5,23,1,3,1035,0,11,1046,
100,164,2,21,368,128,4,1,1,0,0,1,7,6,2,705,0,11,716,
101,139,1,38,248,336,6,1,2,0,2,3,2,3,1,782,0,25,807,
102,150,0,19,240,218,3,0,1,0,4,6,7,4,1,653,0,12,665,
103,136,3,12,373,26,0,0,0,0,2,0,6,1,1,560,0,4,564,
104,278,2,23,262,268,2,2,1,0,2,6,4,0,4,854,0,16,870,
105,75,1,11,527,46,0,0,0,2,0,6,9,0,0,677,0,4,681,
106,113,0,24,164,376,2,0,0,0,2,9,6,2,2,700,0,10,710,
107,56,1,34,442,102,2,2,3,2,1,6,6,3,0,660,0,7,667,
108,119,4,70,34,537,11,3,3,0,6,10,2,7,4,810,0,5,815,
109,129,3,16,647,44,1,4,0,1,1,1,5,1,0,853,0,5,858,
110,184,1,29,514,147,1,2,0,0,1,3,2,0,0,884,0,11,895,
111,58,1,10,929,47,2,0,2,1,0,1,16,2,2,1071,0,2,1073,
112,68,2,9,647,34,2,1,4,0,0,5,10,9,1,792,0,2,794,
113,53,1,11,863,31,0,0,0,2,1,5,14,5,1,987,0,3,990,
114,93,0,18,470,39,0,0,1,0,0,0,0,0,0,621,0,4,625,
115,74,1,10,384,36,0,0,0,1,0,0,0,2,0,508,0,0,508,
116,87,1,15,475,35,0,1,0,1,0,0,3,0,1,619,0,2,621,
117,30,1,10,290,14,0,0,0,1,0,1,1,0,1,349,0,2,351,
118,175,0,10,540,98,3,1,1,1,2,1,1,1,4,838,0,14,852,
119,85,0,10,611,71,3,0,0,0,2,0,11,1,1,795,0,4,799,
120,180,0,14,732,34,0,0,1,2,1,2,7,2,1,976,0,6,982,
121,100,0,8,434,21,1,5,0,1,0,0,4,1,2,577,0,3,580,
122,125,0,15,504,41,1,1,0,0,1,1,2,1,0,692,0,0,692,
123,74,1,7,690,14,0,1,1,0,0,1,11,2,1,803,0,0,803,
124,278,6,8,413,245,10,1,3,2,1,5,14,5,8,999,0,38,1037,
125,44,0,2,403,143,1,1,1,0,1,4,5,0,0,605,0,6,611,
126,49,0,11,615,26,1,1,0,0,0,2,12,0,0,717,0,1,718,
127,74,0,4,807,17,0,1,0,0,1,0,3,3,0,910,0,5,915,
128,78,0,13,308,31,0,0,0,1,0,1,0,0,0,432,0,3,435,
129,154,0,13,362,22,0,0,1,0,0,1,0,2,1,556,0,5,561,
130,170,1,18,326,231,0,0,0,0,2,0,1,0,0,749,0,1,750,
131,84,0,6,205,292,1,0,0,1,0,2,2,0,3,596,0,3,599,
132,92,1,8,127,236,2,0,0,0,1,4,2,0,2,475,0,7,482,
133,162,0,7,343,45,0,0,0,0,0,1,1,0,0,559,0,3,562,
134,254,4,17,373,96,2,0,1,0,1,8,7,4,3,770,0,16,786,
135,202,2,11,357,68,2,2,1,0,0,1,7,1,3,657,0,7,664,
136,134,1,34,65,363,3,1,0,1,2,7,3,2,1,617,0,7,624,
137,396,3,35,37,481,9,1,2,1,6,8,5,3,4,991,0,16,1007,
138,97,2,214,77,490,9,1,0,0,3,3,7,3,0,906,0,5,911,
139,108,2,154,417,234,4,3,2,4,2,1,4,0,3,938,0,5,943,
140,287,4,15,256,334,6,2,8,2,3,3,2,7,2,931,0,9,940,
141,236,2,38,8,254,1,2,0,1,1,0,1,1,2,547,0,11,558,
142,410,4,7,2,261,5,0,1,1,1,1,2,4,2,701,0,13,714,
143,146,2,12,242,300,6,1,1,1,3,2,3,4,2,725,0,9,734,
144,404,4,37,5,151,3,0,1,0,0,2,0,0,0,607,0,4,611,
145,377,2,13,16,204,3,1,0,0,0,2,0,0,0,618,0,8,626,
146,260,4,22,18,179,2,0,1,2,0,1,0,1,2,492,0,3,495,
147,69,7,129,429,161,2,5,2,2,2,1,4,9,3,825,0,6,831,
148,197,0,19,149,77,0,4,0,0,2,0,0,0,0,448,0,11,459,
149,161,2,13,208,362,5,2,6,1,0,0,3,6,1,770,0,12,782,
150,305,11,52,11,265,6,4,0,2,0,2,0,2,3,663,0,16,679,
151,259,0,12,89,183,2,1,2,0,2,0,2,1,2,555,0,3,558,
152,119,1,65,13,414,7,1,4,2,1,1,6,3,3,640,0,7,647,
153,264,4,42,2,270,3,2,0,0,0,0,0,1,0,588,0,9,597,
154,135,1,28,539,228,5,2,2,0,0,2,6,5,1,954,0,14,968,
155,100,3,32,303,248,6,1,4,0,6,4,3,2,4,716,0,8,724,
156,146,4,36,20,302,4,1,6,2,0,4,2,2,4,533,0,15,548,
157,182,4,130,11,340,3,2,0,1,0,0,3,3,3,682,0,7,689,
158,275,1,102,18,431,12,0,3,0,1,2,1,9,2,857,0,22,879,
159,179,3,8,7,342,5,3,2,0,0,7,0,1,3,560,0,12,572,
160,203,4,32,17,483,8,1,7,3,3,14,5,2,7,789,0,29,818,
161,171,2,18,6,118,2,2,2,0,1,1,3,0,1,327,0,12,339,
162,203,5,56,485,222,3,2,2,0,0,3,4,3,7,995,0,7,1002,
163,270,4,31,23,190,4,2,3,1,2,5,1,2,0,538,0,18,556,
164,101,2,23,7,179,4,1,1,2,0,2,1,2,1,326,0,3,329,
165,104,3,58,15,348,5,5,3,3,1,5,7,2,1,560,0,8,568,
166,114,1,36,211,187,5,1,2,2,1,4,1,5,1,571,0,8,579,
167,206,4,89,43,181,3,0,1,0,0,1,0,0,0,528,0,2,530,
168,158,3,43,11,149,4,0,2,0,1,2,1,1,1,376,0,11,387,
169,187,4,10,463,178,3,1,1,2,1,4,6,3,0,863,0,4,867,
170,88,1,9,475,202,3,1,2,1,2,2,6,1,2,795,0,6,801,
171,285,2,24,324,176,0,0,6,0,3,3,1,4,1,829,0,11,840,
