Unnamed: 1,ARPITA,ABDUS SADEK,NALIN CHANDRA,RANEN,DR. SUKANTA MAJUMDA,NARAN,NUBASH CHANDRA,BIREN,MANAS CHAKRABO,RANJIT KR.,RANENDRA,BIBHUTI,MUSLIMA,Total of valid,No. of rejected,NOTA,Total no. of votes,No. of Tendered,Unnamed: 20
3,357,36,1,52,21,0,1,1,0,           .   0,0,0,0,469,0,6,475,0,
4,225,9,3,270,5,0,0,1,0,2,0,0,1,516,0,3,519,0,
5,81,9,1,66,217,6,3,0,2,3,1,9,7,405,0,7,412,0,
6,412,14,1,190,57,1,0,0,0,2,0,0,3,680,0,13,693,0,
7,167,29,2,128,86,4,2,0,0,1,1,0,2,422,0,6,428,0,
8,471,36,1,53,158,3,2,0,2,0,2,24,6,758,0,2,760,0,
9,655,58,3,92,28,2,2,1,0,1,2,2,3,849,0,19,868,0,
10,586,71,4,54,,,      -?,        ---It,0,0,              n,,              a,            QOI,              n,10,   ----831,         A,
11,250,12,2,7,303,7,0,0,1,2,0,0,1,585,0,9,594,0,
12,467,28,3,112,95,3,2,2,0,0,3,2,2,719,0,17,736,0,
13,410,102,2,162,52,1,0,1,0,2,2,0,0,734,0,7,741,0,
14,487,52,4,145,5,0,0,0,1,0,1,2,4,701,0,3,704,0,
15,140,29,1,123,337,6,1,1,0,6,4,31,1,680,0,4,684,0,
16,159,22,2,218,196,5,3,1,0,0,3,9,2,620,0,10,630,0,
17,147,21,1,184,354,6,2,0,1,1,2,5,1,725,0,13,738,0,
18,131,9,1,120,189,3,2,2,0,4,3,3,3,470,0,8,478,0,
19,226,19,0,142,384,5,3,5,6,4,5,9,8,816,0,11,827,0,
20,185,7,0,18,481,2,2,2,1,2,2,4,2,708,0,9,717,0,
21,181,3,4,10,266,1,4,0,2,1,2,20,4,498,0,8,506,0,
22,283,21,6,37,531,9,1,0,0,5,5,6,7,911,0,11,922,0,
23,519,63,1,18,236,5,            .   0,1,2,1,2,1,6,855,0,10,865,0,
24,432,12,2,57,331,6,4,1,3,4,3,40,5,900,0,19,919,0,
25,368,21,0,29,131,2,1,0,0,1,3,2,6,564,0,11,575,0,
26,542,53,2,20,14,2,3,0,0,1,0,1,2,640,0,10,650,0,
27,376,7,0,106,13,2,0,1,0,0,0,0,1,506,0,2,508,0,
28,730,15,1,23,24,0,0,0,0,0,0,0,0,793,0,0,793,0,
29,494,20,5,76,184,1,0,0,0,1,0,1,2,784,0,3,787,0,
30,            S99,79,3,34,            3-13,6,1,0,2,               a,2,5,               a,1056,0,14,1070,          Q,
31,482,139,4,18,401,5,3,0,1,7,1,8,10,1079,0,11,1090,0,
32,372,57,0,6,25,3,4,0,0,0,0,1,2,470,0,10,480,0,
33,428,25,0,9,11,0,0,0,0,1,0,1,1,476,0,8,484,0,
34,372,16,2,55,72,2,1,0,0,0,1,1,3,525,0,10,535,0,
35,458,31,2,66,33,1,3,2,2,2,0,1,3,604,0,8,612,0,
36,120,3,3,6,312,9,1,0,0,6,0,29,1,490,0,3,493,0,
37,86,21,1,12,410,5,3,2,0,3,1,2,5,551,0,10,561,0,
38,641,33,2,22,200,7,0,0,0,1,1,1,2,910,0,12,922,0,
39,202,30,2,13,202,2,0,0,0,1,0,0,1,453,0,4,457,0,
40,515,83,3,43,82,3,0,1,1,0,1,5,3,740,0,7,747,0,
41,547,205,2,20,191,8,2,1,0,3,2,7,11,999,0,10,1009,0,
42,214,1,1,28,289,6,4,2,2,1,3,12,0,563,0,5,568,0,
