pc_id,pc_name,ac_id,ac_name,Serial No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,No.of rejected votes,NOTA,Total,No.of tendered votes
12,Nabarangpur,83,Malkangiri,140,,,,,,,,153.0,4.0,225.0,129.0,5.0,1.0,1.0,0.0,0.0,518.0,0.0
12,Nabarangpur,83,Malkangiri,141,,,,,,,,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0
12,Nabarangpur,83,Malkangiri,142,,,,,,,,48.0,1.0,133.0,55.0,2.0,0.0,8.0,0.0,0.0,247.0,0.0
12,Nabarangpur,83,Malkangiri,143,,,,,,,,286.0,5.0,141.0,159.0,5.0,3.0,3.0,0.0,4.0,606.0,0.0
12,Nabarangpur,83,Malkangiri,144,,,,,,,,87.0,4.0,277.0,203.0,1.0,2.0,0.0,0.0,4.0,578.0,0.0
12,Nabarangpur,83,Malkangiri,145,,,,,,,,124.0,4.0,223.0,216.0,5.0,1.0,1.0,0.0,2.0,576.0,0.0
12,Nabarangpur,83,Malkangiri,146,,,,,,,,144.0,4.0,96.0,296.0,3.0,0.0,11.0,0.0,3.0,557.0,0.0
12,Nabarangpur,83,Malkangiri,147,,,,,,,,34.0,2.0,64.0,53.0,1.0,2.0,1.0,0.0,3.0,160.0,0.0
12,Nabarangpur,83,Malkangiri,148,,,,,,,,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0
12,Nabarangpur,83,Malkangiri,149,,,,,,,,272.0,5.0,87.0,322.0,14.0,4.0,7.0,0.0,3.0,714.0,0.0
12,Nabarangpur,83,Malkangiri,150,,,,,,,,218.0,8.0,91.0,199.0,9.0,2.0,4.0,0.0,6.0,537.0,0.0
12,Nabarangpur,83,Malkangiri,151,,,,,,,,193.0,5.0,222.0,209.0,3.0,1.0,2.0,0.0,2.0,637.0,0.0
12,Nabarangpur,83,Malkangiri,152,,,,,,,,179.0,8.0,74.0,238.0,8.0,1.0,3.0,0.0,2.0,513.0,0.0
12,Nabarangpur,83,Malkangiri,153,,,,,,,,121.0,5.0,344.0,165.0,7.0,4.0,2.0,0.0,6.0,654.0,0.0
12,Nabarangpur,83,Malkangiri,154,,,,,,,,16.0,4.0,129.0,84.0,3.0,1.0,0.0,0.0,1.0,238.0,0.0
12,Nabarangpur,83,Malkangiri,155,,,,,,,,60.0,2.0,477.0,189.0,3.0,1.0,1.0,0.0,1.0,734.0,0.0
12,Nabarangpur,83,Malkangiri,156,,,,,,,,40.0,7.0,291.0,166.0,12.0,1.0,2.0,0.0,6.0,525.0,0.0
12,Nabarangpur,83,Malkangiri,157,,,,,,,,27.0,5.0,478.0,119.0,5.0,3.0,0.0,0.0,1.0,638.0,0.0
12,Nabarangpur,83,Malkangiri,158,,,,,,,,2.0,0.0,186.0,36.0,1.0,0.0,1.0,0.0,0.0,226.0,0.0
12,Nabarangpur,83,Malkangiri,159,,,,,,,,30.0,4.0,24.0,193.0,5.0,1.0,7.0,0.0,5.0,269.0,0.0
12,Nabarangpur,83,Malkangiri,160,,,,,,,,96.0,3.0,23.0,120.0,6.0,2.0,0.0,0.0,1.0,251.0,0.0
12,Nabarangpur,83,Malkangiri,161,,,,,,,,121.0,4.0,127.0,213.0,5.0,3.0,6.0,0.0,3.0,482.0,0.0
12,Nabarangpur,83,Malkangiri,162,,,,,,,,96.0,2.0,32.0,171.0,2.0,0.0,0.0,0.0,2.0,305.0,0.0
12,Nabarangpur,83,Malkangiri,163,,,,,,,,194.0,5.0,35.0,81.0,2.0,2.0,4.0,0.0,1.0,324.0,0.0
12,Nabarangpur,83,Malkangiri,164,,,,,,,,330.0,7.0,187.0,327.0,13.0,7.0,11.0,0.0,9.0,891.0,0.0
12,Nabarangpur,83,Malkangiri,165,,,,,,,,15.0,1.0,182.0,136.0,2.0,0.0,0.0,0.0,2.0,338.0,0.0
12,Nabarangpur,83,Malkangiri,166,,,,,,,,14.0,2.0,374.0,390.0,2.0,0.0,5.0,0.0,0.0,787.0,0.0
12,Nabarangpur,83,Malkangiri,167,,,,,,,,10.0,0.0,296.0,172.0,0.0,1.0,10.0,0.0,0.0,489.0,0.0
12,Nabarangpur,83,Malkangiri,168,,,,,,,,228.0,7.0,316.0,370.0,7.0,4.0,4.0,0.0,2.0,938.0,0.0
12,Nabarangpur,83,Malkangiri,169,,,,,,,,223.0,2.0,177.0,199.0,2.0,1.0,1.0,0.0,1.0,606.0,0.0
12,Nabarangpur,83,Malkangiri,170,,,,,,,,87.0,1.0,144.0,81.0,0.0,1.0,0.0,0.0,2.0,316.0,0.0
12,Nabarangpur,83,Malkangiri,171,,,,,,,,53.0,1.0,41.0,92.0,2.0,1.0,0.0,0.0,1.0,191.0,0.0
12,Nabarangpur,83,Malkangiri,172,,,,,,,,275.0,7.0,87.0,245.0,7.0,4.0,9.0,0.0,8.0,642.0,0.0
12,Nabarangpur,83,Malkangiri,173,,,,,,,,93.0,0.0,136.0,125.0,3.0,1.0,4.0,0.0,3.0,365.0,0.0
12,Nabarangpur,83,Malkangiri,174,,,,,,,,329.0,6.0,137.0,439.0,8.0,5.0,11.0,0.0,7.0,942.0,0.0
12,Nabarangpur,83,Malkangiri,175,,,,,,,,88.0,1.0,40.0,214.0,3.0,1.0,1.0,0.0,1.0,349.0,0.0
12,Nabarangpur,83,Malkangiri,176,,,,,,,,247.0,1.0,93.0,231.0,7.0,1.0,31.0,0.0,4.0,615.0,0.0
12,Nabarangpur,83,Malkangiri,177,,,,,,,,237.0,3.0,83.0,143.0,2.0,1.0,7.0,0.0,3.0,479.0,0.0
12,Nabarangpur,83,Malkangiri,178,,,,,,,,69.0,10.0,316.0,355.0,11.0,27.0,14.0,0.0,4.0,806.0,0.0
12,Nabarangpur,83,Malkangiri,179,,,,,,,,116.0,0.0,347.0,187.0,4.0,0.0,16.0,0.0,1.0,671.0,0.0
12,Nabarangpur,83,Malkangiri,180,,,,,,,,2.0,0.0,157.0,208.0,0.0,1.0,1.0,0.0,0.0,369.0,0.0
12,Nabarangpur,83,Malkangiri,181,,,,,,,,30.0,2.0,395.0,384.0,5.0,2.0,15.0,0.0,4.0,837.0,0.0
12,Nabarangpur,83,Malkangiri,182,,,,,,,,101.0,2.0,230.0,344.0,1.0,1.0,1.0,0.0,5.0,685.0,0.0
12,Nabarangpur,83,Malkangiri,183,,,,,,,,7.0,2.0,422.0,196.0,3.0,5.0,0.0,0.0,0.0,635.0,0.0
12,Nabarangpur,83,Malkangiri,184,,,,,,,,8.0,6.0,307.0,279.0,5.0,1.0,5.0,0.0,5.0,616.0,0.0
12,Nabarangpur,83,Malkangiri,185,,,,,,,,13.0,2.0,161.0,328.0,1.0,2.0,3.0,0.0,0.0,510.0,0.0
12,Nabarangpur,83,Malkangiri,186,,,,,,,,15.0,4.0,214.0,282.0,2.0,0.0,1.0,0.0,1.0,519.0,0.0
12,Nabarangpur,83,Malkangiri,187,,,,,,,,73.0,1.0,46.0,636.0,0.0,0.0,1.0,0.0,2.0,759.0,0.0
12,Nabarangpur,83,Malkangiri,188,,,,,,,,9.0,4.0,116.0,361.0,0.0,1.0,1.0,0.0,3.0,495.0,0.0
12,Nabarangpur,83,Malkangiri,189,,,,,,,,194.0,2.0,199.0,307.0,10.0,2.0,10.0,0.0,6.0,730.0,0.0
12,Nabarangpur,83,Malkangiri,190,,,,,,,,201.0,6.0,304.0,264.0,10.0,5.0,25.0,0.0,6.0,821.0,0.0
12,Nabarangpur,83,Malkangiri,191,,,,,,,,44.0,2.0,643.0,396.0,2.0,1.0,23.0,0.0,6.0,1117.0,0.0
12,Nabarangpur,83,Malkangiri,192,,,,,,,,16.0,1.0,352.0,446.0,1.0,0.0,10.0,0.0,3.0,829.0,0.0
12,Nabarangpur,83,Malkangiri,193,,,,,,,,143.0,6.0,104.0,293.0,3.0,2.0,6.0,0.0,6.0,563.0,0.0
12,Nabarangpur,83,Malkangiri,194,,,,,,,,7.0,3.0,131.0,163.0,0.0,1.0,1.0,0.0,1.0,307.0,0.0
12,Nabarangpur,83,Malkangiri,195,,,,,,,,100.0,1.0,104.0,149.0,6.0,1.0,4.0,0.0,2.0,367.0,0.0
12,Nabarangpur,83,Malkangiri,196,,,,,,,,136.0,5.0,361.0,166.0,10.0,6.0,9.0,0.0,11.0,704.0,0.0
12,Nabarangpur,83,Malkangiri,197,,,,,,,,42.0,1.0,294.0,308.0,5.0,1.0,4.0,0.0,2.0,657.0,0.0
12,Nabarangpur,83,Malkangiri,198,,,,,,,,18.0,1.0,246.0,183.0,2.0,2.0,3.0,0.0,2.0,457.0,0.0
12,Nabarangpur,83,Malkangiri,199,,,,,,,,11.0,8.0,324.0,125.0,5.0,1.0,3.0,0.0,2.0,479.0,0.0
12,Nabarangpur,83,Malkangiri,200,,,,,,,,9.0,5.0,276.0,117.0,4.0,2.0,3.0,0.0,4.0,420.0,0.0
12,Nabarangpur,83,Malkangiri,201,,,,,,,,14.0,4.0,109.0,136.0,2.0,1.0,1.0,0.0,0.0,267.0,0.0
12,Nabarangpur,83,Malkangiri,202,,,,,,,,52.0,2.0,146.0,92.0,4.0,1.0,1.0,0.0,0.0,298.0,0.0
12,Nabarangpur,83,Malkangiri,203,,,,,,,,14.0,1.0,483.0,116.0,4.0,2.0,7.0,0.0,0.0,627.0,0.0
12,Nabarangpur,83,Malkangiri,204,,,,,,,,11.0,3.0,434.0,198.0,4.0,3.0,20.0,0.0,0.0,673.0,0.0
12,Nabarangpur,83,Malkangiri,205,,,,,,,,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0
12,Nabarangpur,83,Malkangiri,206,,,,,,,,7.0,2.0,353.0,194.0,2.0,0.0,8.0,0.0,5.0,571.0,0.0
12,Nabarangpur,83,Malkangiri,207,,,,,,,,36.0,5.0,453.0,310.0,2.0,5.0,7.0,0.0,1.0,819.0,0.0
12,Nabarangpur,83,Malkangiri,208,,,,,,,,14.0,0.0,438.0,197.0,5.0,2.0,4.0,0.0,2.0,662.0,0.0
12,Nabarangpur,83,Malkangiri,209,,,,,,,,8.0,0.0,191.0,119.0,0.0,2.0,0.0,0.0,1.0,321.0,0.0
12,Nabarangpur,83,Malkangiri,210,,,,,,,,5.0,1.0,382.0,160.0,3.0,2.0,2.0,0.0,3.0,558.0,0.0
12,Nabarangpur,83,Malkangiri,211,,,,,,,,1.0,4.0,468.0,69.0,1.0,1.0,0.0,0.0,2.0,546.0,0.0
12,Nabarangpur,83,Malkangiri,212,,,,,,,,5.0,3.0,343.0,90.0,4.0,4.0,12.0,0.0,1.0,462.0,0.0
12,Nabarangpur,83,Malkangiri,213,,,,,,,,4.0,4.0,422.0,61.0,4.0,1.0,9.0,0.0,4.0,509.0,0.0
12,Nabarangpur,83,Malkangiri,214,,,,,,,,194.0,3.0,152.0,244.0,10.0,6.0,9.0,0.0,7.0,625.0,0.0
12,Nabarangpur,83,Malkangiri,215,,,,,,,,4.0,2.0,290.0,128.0,3.0,1.0,2.0,0.0,2.0,432.0,0.0
12,Nabarangpur,83,Malkangiri,216,,,,,,,,15.0,8.0,461.0,204.0,7.0,7.0,23.0,0.0,2.0,727.0,0.0
12,Nabarangpur,83,Malkangiri,217,,,,,,,,29.0,5.0,212.0,130.0,4.0,3.0,11.0,0.0,5.0,399.0,0.0
12,Nabarangpur,83,Malkangiri,218,,,,,,,,20.0,7.0,312.0,199.0,4.0,3.0,2.0,0.0,3.0,550.0,0.0
12,Nabarangpur,83,Malkangiri,219,,,,,,,,7.0,2.0,303.0,99.0,2.0,0.0,0.0,0.0,1.0,414.0,0.0
12,Nabarangpur,83,Malkangiri,220,,,,,,,,22.0,6.0,231.0,126.0,4.0,3.0,3.0,0.0,10.0,405.0,0.0
12,Nabarangpur,83,Malkangiri,221,,,,,,,,14.0,8.0,82.0,237.0,13.0,2.0,1.0,0.0,6.0,363.0,0.0
12,Nabarangpur,83,Malkangiri,222,,,,,,,,22.0,9.0,171.0,241.0,3.0,9.0,62.0,0.0,7.0,524.0,0.0
12,Nabarangpur,83,Malkangiri,223,,,,,,,,30.0,4.0,323.0,94.0,2.0,4.0,2.0,0.0,0.0,459.0,0.0
12,Nabarangpur,83,Malkangiri,224,,,,,,,,64.0,12.0,300.0,207.0,7.0,11.0,6.0,0.0,15.0,622.0,0.0
12,Nabarangpur,83,Malkangiri,225,,,,,,,,25.0,8.0,134.0,113.0,11.0,6.0,11.0,0.0,12.0,320.0,0.0
12,Nabarangpur,83,Malkangiri,226,,,,,,,,82.0,3.0,271.0,197.0,0.0,1.0,50.0,0.0,1.0,605.0,0.0
12,Nabarangpur,83,Malkangiri,227,,,,,,,,99.0,6.0,126.0,161.0,9.0,3.0,18.0,0.0,12.0,434.0,0.0
12,Nabarangpur,83,Malkangiri,228,,,,,,,,35.0,15.0,185.0,209.0,10.0,5.0,19.0,0.0,21.0,499.0,0.0
12,Nabarangpur,83,Malkangiri,229,,,,,,,,48.0,7.0,427.0,257.0,14.0,8.0,13.0,0.0,20.0,794.0,0.0
12,Nabarangpur,83,Malkangiri,230,,,,,,,,229.0,4.0,240.0,130.0,8.0,2.0,4.0,0.0,6.0,623.0,0.0
12,Nabarangpur,83,Malkangiri,231,,,,,,,,72.0,9.0,314.0,242.0,6.0,5.0,9.0,0.0,20.0,677.0,0.0
12,Nabarangpur,83,Malkangiri,232,,,,,,,,156.0,77.0,198.0,249.0,12.0,9.0,13.0,0.0,6.0,720.0,0.0
12,Nabarangpur,83,Malkangiri,233,,,,,,,,8.0,1.0,380.0,175.0,3.0,7.0,5.0,0.0,5.0,584.0,0.0
12,Nabarangpur,83,Malkangiri,234,,,,,,,,4.0,1.0,381.0,25.0,0.0,7.0,3.0,0.0,0.0,421.0,0.0
12,Nabarangpur,83,Malkangiri,235,,,,,,,,74.0,7.0,392.0,162.0,7.0,5.0,6.0,0.0,21.0,674.0,0.0
12,Nabarangpur,83,Malkangiri,236,,,,,,,,240.0,6.0,198.0,212.0,6.0,4.0,5.0,0.0,2.0,673.0,0.0
