pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Total of Valid votes,No. of rejected Votes  (Test votes),Votes for NOTA option,Total,No of tendered votes
3,Sambalpur,15,Kuchinda,222,,,,,,,,290,7,224,85,2,3,5,616,0,13,629,0
3,Sambalpur,15,Kuchinda,223,,,,,,,,397,10,301,83,1,1,3,796,0,2,798,0
3,Sambalpur,15,Kuchinda,224,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
3,Sambalpur,15,Kuchinda,225,,,,,,,,365,7,327,110,3,2,0,814,0,7,821,0
3,Sambalpur,15,Kuchinda,226,,,,,,,,429,4,234,82,5,2,1,757,0,6,763,0
3,Sambalpur,15,Kuchinda,227,,,,,,,,460,11,407,186,1,4,3,1072,0,15,1087,0
3,Sambalpur,15,Kuchinda,228,,,,,,,,200,5,228,62,1,1,3,500,0,17,517,0
3,Sambalpur,15,Kuchinda,229,,,,,,,,381,8,346,87,3,1,3,829,0,8,837,0
3,Sambalpur,15,Kuchinda,230,,,,,,,,343,9,404,64,3,6,5,834,0,6,840,0
3,Sambalpur,15,Kuchinda,231,,,,,,,,490,5,245,190,4,2,13,949,0,12,961,0
3,Sambalpur,15,Kuchinda,232,,,,,,,,170,4,111,90,3,0,1,379,0,0,379,0
3,Sambalpur,15,Kuchinda,233,,,,,,,,151,2,130,51,5,1,1,341,0,4,345,0
3,Sambalpur,15,Kuchinda,234,,,,,,,,296,23,155,51,3,2,7,537,0,10,547,0
3,Sambalpur,15,Kuchinda,235,,,,,,,,270,18,162,98,2,1,4,555,0,20,575,0
3,Sambalpur,15,Kuchinda,236,,,,,,,,330,9,226,195,4,6,4,774,0,9,783,0
3,Sambalpur,15,Kuchinda,237,,,,,,,,205,1,66,55,3,2,4,336,0,8,344,0
3,Sambalpur,15,Kuchinda,238,,,,,,,,343,31,190,245,4,6,12,831,0,22,853,0
3,Sambalpur,15,Kuchinda,239,,,,,,,,97,7,85,116,17,2,5,329,0,3,332,0
3,Sambalpur,15,Kuchinda,240,,,,,,,,357,6,136,165,8,3,5,680,0,20,700,0
3,Sambalpur,15,Kuchinda,241,,,,,,,,295,14,229,388,7,4,3,940,0,16,956,0
3,Sambalpur,15,Kuchinda,242,,,,,,,,129,5,125,43,1,5,2,310,0,5,315,0
3,Sambalpur,15,Kuchinda,243,,,,,,,,450,5,249,149,3,8,18,882,0,34,916,0
3,Sambalpur,15,Kuchinda,244,,,,,,,,254,2,172,117,3,6,1,555,0,19,574,0
3,Sambalpur,15,Kuchinda,245,,,,,,,,310,3,131,50,1,3,9,507,0,19,526,0
3,Sambalpur,15,Kuchinda,246,,,,,,,,265,11,163,28,3,4,10,484,0,6,490,0
3,Sambalpur,15,Kuchinda,247,,,,,,,,135,3,139,34,2,4,0,317,0,6,323,0
3,Sambalpur,15,Kuchinda,248,,,,,,,,388,1,257,158,4,1,3,812,0,14,826,0
3,Sambalpur,15,Kuchinda,249,,,,,,,,105,7,173,4,2,3,1,295,0,3,298,0
3,Sambalpur,15,Kuchinda,250,,,,,,,,372,10,277,49,4,4,4,720,0,18,738,0
3,Sambalpur,15,Kuchinda,251,,,,,,,,401,7,245,148,4,0,1,806,0,7,813,0
3,Sambalpur,15,Kuchinda,252,,,,,,,,191,7,169,47,2,4,3,423,0,9,432,0
3,Sambalpur,15,Kuchinda,253,,,,,,,,365,14,362,232,7,4,4,988,0,15,1003,0
3,Sambalpur,15,Kuchinda,254,,,,,,,,215,3,118,36,1,0,1,374,0,6,380,0
3,Sambalpur,15,Kuchinda,255,,,,,,,,307,11,293,184,4,5,9,813,0,18,831,0
3,Sambalpur,15,Kuchinda,256,,,,,,,,300,7,315,179,6,4,4,815,0,4,819,0
3,Sambalpur,15,Kuchinda,257,,,,,,,,438,1,221,82,3,3,4,752,0,11,763,0
