pc_id,pc_name,ac_id,ac_name,Sl. No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of Valid votes,No. of rejected Votes(Test votes),Votes for NOTA option,Total,No. of tendered votes
2,Sundargar,10,Biramitrapur,240,,,,,,,,10,108,39,350,3,8,1,0,519,nan,5.0,524,nan
2,Sundargar,10,Biramitrapur,241,,,,,,,,7,302,79,372,2,6,0,2,770,nan,1.0,771,nan
2,Sundargar,10,Biramitrapur,242,,,,,,,,18,80,167,343,2,1,1,4,616,nan,2.0,618,nan
2,Sundargar,10,Biramitrapur,243,,,,,,,,4,219,75,282,8,7,1,2,598,nan,6.0,604,nan
2,Sundargar,10,Biramitrapur,244,,,,,,,,3,57,25,66,3,4,2,1,161,nan,4.0,165,nan
2,Sundargar,10,Biramitrapur,245,,,,,,,,3,438,39,342,6,1,0,4,833,nan,5.0,838,nan
2,Sundargar,10,Biramitrapur,246,,,,,,,,16,228,65,517,13,141,4,5,989,nan,14.0,1003,nan
2,Sundargar,10,Biramitrapur,247,,,,,,,,17,253,135,377,7,86,8,2,885,nan,16.0,901,nan
2,Sundargar,10,Biramitrapur,248,,,,,,,,19,220,225,217,5,15,5,3,709,nan,3.0,712,nan
2,Sundargar,10,Biramitrapur,249,,,,,,,,15,169,48,298,5,25,4,9,573,nan,5.0,578,nan
2,Sundargar,10,Biramitrapur,250,,,,,,,,3,119,13,171,2,1,3,2,314,nan,3.0,317,nan
2,Sundargar,10,Biramitrapur,251,,,,,,,,4,255,50,363,4,11,2,5,694,nan,7.0,701,nan
2,Sundargar,10,Biramitrapur,252,,,,,,,,2,51,5,196,1,1,1,1,258,nan,6.0,264,nan
2,Sundargar,10,Biramitrapur,253,,,,,,,,4,165,27,224,2,7,1,0,430,nan,1.0,431,nan
2,Sundargar,10,Biramitrapur,254,,,,,,,,10,323,34,379,7,10,6,5,774,nan,11.0,785,nan
2,Sundargar,10,Biramitrapur,255,,,,,,,,14,274,216,198,5,6,4,7,724,nan,1.0,725,nan
