pc_id,pc_name,ac_id,ac_name,Sl NO OF POLLING STATION,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,TOTAL OF VALID VOTES,NO OF REJECTED VOTES(TEST VOTES),VOTES FOR NOTA OPTION,TOTAL,NO. OF TENDERED VOTES
3,Sambalpur,20,Chhendipada,264.0,,,,,,,,179.0,52.0,258.0,3.0,3.0,1.0,1.0,497.0,0.0,7.0,504.0,0.0
3,Sambalpur,20,Chhendipada,265.0,,,,,,,,236.0,80.0,245.0,0.0,1.0,3.0,0.0,565.0,0.0,14.0,579.0,0.0
3,Sambalpur,20,Chhendipada,266.0,,,,,,,,230.0,71.0,325.0,3.0,2.0,2.0,2.0,635.0,0.0,5.0,640.0,0.0
3,Sambalpur,20,Chhendipada,267.0,,,,,,,,368.0,180.0,189.0,5.0,4.0,5.0,15.0,766.0,0.0,18.0,784.0,0.0
3,Sambalpur,20,Chhendipada,268.0,,,,,,,,231.0,35.0,293.0,3.0,2.0,4.0,2.0,570.0,0.0,4.0,574.0,0.0
3,Sambalpur,20,Chhendipada,269.0,,,,,,,,198.0,171.0,272.0,12.0,8.0,7.0,7.0,675.0,0.0,20.0,695.0,0.0
3,Sambalpur,20,Chhendipada,270.0,,,,,,,,65.0,144.0,119.0,6.0,3.0,2.0,2.0,341.0,0.0,8.0,349.0,0.0
3,Sambalpur,20,Chhendipada,271.0,,,,,,,,208.0,231.0,410.0,8.0,5.0,9.0,14.0,885.0,0.0,20.0,905.0,0.0
3,Sambalpur,20,Chhendipada,272.0,,,,,,,,105.0,147.0,126.0,4.0,5.0,3.0,12.0,402.0,0.0,15.0,417.0,0.0
3,Sambalpur,20,Chhendipada,273.0,,,,,,,,23.0,161.0,72.0,4.0,4.0,2.0,3.0,269.0,0.0,1.0,270.0,0.0
3,Sambalpur,20,Chhendipada,274.0,,,,,,,,71.0,110.0,194.0,4.0,1.0,2.0,1.0,383.0,0.0,3.0,386.0,0.0
3,Sambalpur,20,Chhendipada,275.0,,,,,,,,118.0,162.0,260.0,5.0,3.0,2.0,9.0,559.0,0.0,8.0,567.0,0.0
3,Sambalpur,20,Chhendipada,276.0,,,,,,,,153.0,40.0,280.0,3.0,3.0,3.0,4.0,486.0,0.0,18.0,504.0,0.0
3,Sambalpur,20,Chhendipada,277.0,,,,,,,,186.0,88.0,267.0,6.0,7.0,6.0,6.0,566.0,0.0,31.0,597.0,0.0
3,Sambalpur,20,Chhendipada,278.0,,,,,,,,248.0,124.0,121.0,6.0,2.0,2.0,6.0,509.0,0.0,21.0,530.0,0.0
3,Sambalpur,20,Chhendipada,279.0,,,,,,,,190.0,68.0,276.0,3.0,1.0,4.0,6.0,548.0,0.0,4.0,552.0,0.0
3,Sambalpur,20,Chhendipada,280.0,,,,,,,,84.0,40.0,188.0,1.0,1.0,0.0,0.0,314.0,0.0,1.0,315.0,0.0
3,Sambalpur,20,Chhendipada,281.0,,,,,,,,154.0,27.0,383.0,4.0,2.0,1.0,1.0,572.0,0.0,3.0,575.0,0.0
3,Sambalpur,20,Chhendipada,282.0,,,,,,,,214.0,56.0,397.0,9.0,4.0,8.0,4.0,692.0,0.0,14.0,706.0,0.0
3,Sambalpur,20,Chhendipada,283.0,,,,,,,,227.0,54.0,47.0,1.0,1.0,2.0,6.0,338.0,0.0,6.0,344.0,0.0
3,Sambalpur,20,Chhendipada,284.0,,,,,,,,80.0,162.0,165.0,4.0,5.0,5.0,3.0,424.0,0.0,17.0,441.0,0.0
3,Sambalpur,20,Chhendipada,285.0,,,,,,,,137.0,181.0,175.0,3.0,3.0,4.0,1.0,504.0,0.0,0.0,504.0,0.0
3,Sambalpur,20,Chhendipada,286.0,,,,,,,,47.0,64.0,130.0,5.0,1.0,6.0,1.0,254.0,0.0,6.0,260.0,0.0
3,Sambalpur,20,Chhendipada,287.0,,,,,,,,151.0,71.0,314.0,5.0,7.0,0.0,4.0,552.0,0.0,18.0,570.0,0.0
3,Sambalpur,20,Chhendipada,288.0,,,,,,,,295.0,212.0,230.0,9.0,6.0,5.0,5.0,762.0,0.0,10.0,772.0,0.0
3,Sambalpur,20,Chhendipada,289.0,,,,,,,,140.0,86.0,197.0,4.0,3.0,4.0,4.0,438.0,0.0,9.0,447.0,0.0
3,Sambalpur,20,Chhendipada,290.0,,,,,,,,331.0,85.0,362.0,4.0,4.0,5.0,6.0,797.0,0.0,19.0,816.0,0.0
3,Sambalpur,20,Chhendipada,291.0,,,,,,,,208.0,41.0,244.0,2.0,0.0,3.0,4.0,502.0,0.0,10.0,512.0,0.0
3,Sambalpur,20,Chhendipada,292.0,,,,,,,,284.0,90.0,189.0,10.0,8.0,88.0,7.0,676.0,0.0,22.0,698.0,0.0
3,Sambalpur,20,Chhendipada,293.0,,,,,,,,133.0,128.0,241.0,3.0,2.0,2.0,2.0,511.0,0.0,2.0,513.0,0.0
3,Sambalpur,20,Chhendipada,294.0,,,,,,,,316.0,31.0,237.0,7.0,6.0,0.0,5.0,602.0,0.0,9.0,611.0,0.0
3,Sambalpur,20,Chhendipada,295.0,,,,,,,,270.0,99.0,197.0,6.0,0.0,4.0,0.0,576.0,0.0,2.0,578.0,0.0
3,Sambalpur,20,Chhendipada,296.0,,,,,,,,290.0,30.0,331.0,7.0,5.0,3.0,8.0,674.0,0.0,21.0,695.0,0.0
3,Sambalpur,20,Chhendipada,297.0,,,,,,,,265.0,161.0,483.0,14.0,9.0,6.0,4.0,942.0,0.0,14.0,956.0,0.0
3,Sambalpur,20,Chhendipada,298.0,,,,,,,,286.0,158.0,283.0,9.0,10.0,12.0,14.0,772.0,0.0,19.0,791.0,0.0
3,Sambalpur,20,Chhendipada,299.0,,,,,,,,139.0,40.0,161.0,4.0,1.0,15.0,2.0,362.0,0.0,5.0,367.0,0.0
3,Sambalpur,20,Chhendipada,300.0,,,,,,,,272.0,154.0,232.0,17.0,2.0,19.0,14.0,710.0,0.0,32.0,742.0,0.0
3,Sambalpur,20,Chhendipada,301.0,,,,,,,,202.0,13.0,143.0,5.0,4.0,6.0,6.0,379.0,0.0,13.0,392.0,0.0
3,Sambalpur,20,Chhendipada,302.0,,,,,,,,263.0,135.0,241.0,5.0,8.0,7.0,13.0,672.0,0.0,22.0,694.0,0.0
3,Sambalpur,20,Chhendipada,303.0,,,,,,,,167.0,129.0,263.0,5.0,6.0,4.0,12.0,586.0,0.0,10.0,596.0,0.0
3,Sambalpur,20,Chhendipada,304.0,,,,,,,,207.0,243.0,166.0,2.0,5.0,3.0,5.0,631.0,0.0,11.0,642.0,0.0
3,Sambalpur,20,Chhendipada,305.0,,,,,,,,99.0,46.0,164.0,2.0,3.0,6.0,4.0,324.0,0.0,0.0,324.0,0.0
3,Sambalpur,20,Chhendipada,306.0,,,,,,,,290.0,184.0,227.0,11.0,5.0,8.0,11.0,736.0,0.0,30.0,766.0,0.0
3,Sambalpur,20,Chhendipada,307.0,,,,,,,,210.0,220.0,280.0,5.0,2.0,2.0,2.0,721.0,0.0,5.0,726.0,0.0
3,Sambalpur,20,Chhendipada,308.0,,,,,,,,245.0,58.0,247.0,6.0,3.0,4.0,3.0,566.0,0.0,3.0,569.0,0.0
3,Sambalpur,20,Chhendipada,309.0,,,,,,,,113.0,151.0,187.0,2.0,0.0,3.0,1.0,457.0,0.0,12.0,469.0,0.0
3,Sambalpur,20,Chhendipada,310.0,,,,,,,,348.0,168.0,312.0,9.0,4.0,5.0,2.0,848.0,0.0,6.0,854.0,0.0
3,Sambalpur,20,Chhendipada,311.0,,,,,,,,47.0,127.0,82.0,2.0,2.0,2.0,0.0,262.0,0.0,2.0,264.0,0.0
3,Sambalpur,20,Chhendipada,312.0,,,,,,,,286.0,140.0,458.0,11.0,3.0,2.0,4.0,904.0,0.0,15.0,919.0,0.0
3,Sambalpur,20,Chhendipada,313.0,,,,,,,,69.0,74.0,113.0,1.0,0.0,1.0,2.0,260.0,0.0,0.0,260.0,0.0
3,Sambalpur,20,Chhendipada,314.0,,,,,,,,353.0,82.0,457.0,11.0,10.0,8.0,10.0,931.0,0.0,15.0,946.0,0.0
3,Sambalpur,20,Chhendipada,315.0,,,,,,,,317.0,49.0,263.0,11.0,2.0,6.0,5.0,653.0,0.0,9.0,662.0,0.0
3,Sambalpur,20,Chhendipada,316.0,,,,,,,,112.0,77.0,168.0,3.0,1.0,1.0,1.0,363.0,0.0,4.0,367.0,0.0
3,Sambalpur,20,Chhendipada,317.0,,,,,,,,117.0,18.0,119.0,0.0,1.0,3.0,13.0,271.0,0.0,6.0,277.0,0.0
3,Sambalpur,20,Chhendipada,318.0,,,,,,,,118.0,31.0,140.0,3.0,2.0,2.0,1.0,297.0,0.0,10.0,307.0,0.0
