pc_id,pc_name,ac_id,ac_name,Sl. No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Total of Valid Votes,No.of rejected votes       (Test Votes),Votes for NOTA option,Total,No.of Tendered Votes
11,Kalahandi,73,Lanjigarh,111.0,,,,,,,,123.0,248.0,26.0,341.0,19.0,757.0,0.0,34.0,791.0,0.0
11,Kalahandi,73,Lanjigarh,112.0,,,,,,,,860.0,42.0,8.0,160.0,2.0,1072.0,0.0,2.0,1074.0,0.0
11,Kalahandi,73,Lanjigarh,113.0,,,,,,,,338.0,133.0,22.0,263.0,20.0,776.0,0.0,24.0,800.0,0.0
11,Kalahandi,73,Lanjigarh,114.0,,,,,,,,360.0,213.0,32.0,239.0,17.0,861.0,0.0,15.0,876.0,0.0
11,Kalahandi,73,Lanjigarh,115.0,,,,,,,,166.0,121.0,6.0,205.0,12.0,510.0,0.0,20.0,530.0,0.0
11,Kalahandi,73,Lanjigarh,116.0,,,,,,,,229.0,61.0,21.0,511.0,23.0,845.0,0.0,11.0,856.0,0.0
11,Kalahandi,73,Lanjigarh,117.0,,,,,,,,114.0,99.0,11.0,206.0,8.0,438.0,0.0,12.0,450.0,0.0
11,Kalahandi,73,Lanjigarh,118.0,,,,,,,,191.0,59.0,15.0,355.0,19.0,639.0,0.0,15.0,654.0,0.0
11,Kalahandi,73,Lanjigarh,119.0,,,,,,,,174.0,152.0,15.0,343.0,13.0,697.0,0.0,29.0,726.0,0.0
11,Kalahandi,73,Lanjigarh,120.0,,,,,,,,248.0,50.0,12.0,218.0,10.0,538.0,0.0,18.0,556.0,0.0
11,Kalahandi,73,Lanjigarh,121.0,,,,,,,,733.0,31.0,4.0,225.0,3.0,996.0,0.0,6.0,1002.0,0.0
11,Kalahandi,73,Lanjigarh,122.0,,,,,,,,287.0,17.0,13.0,424.0,11.0,752.0,0.0,20.0,772.0,0.0
11,Kalahandi,73,Lanjigarh,123.0,,,,,,,,570.0,17.0,3.0,267.0,3.0,860.0,0.0,1.0,861.0,0.0
11,Kalahandi,73,Lanjigarh,124.0,,,,,,,,618.0,62.0,6.0,168.0,5.0,859.0,0.0,6.0,865.0,0.0
11,Kalahandi,73,Lanjigarh,125.0,,,,,,,,88.0,32.0,5.0,155.0,8.0,288.0,0.0,21.0,309.0,0.0
11,Kalahandi,73,Lanjigarh,126.0,,,,,,,,172.0,41.0,16.0,130.0,5.0,364.0,0.0,5.0,369.0,0.0
11,Kalahandi,73,Lanjigarh,127.0,,,,,,,,281.0,226.0,26.0,263.0,13.0,809.0,0.0,20.0,829.0,0.0
11,Kalahandi,73,Lanjigarh,128.0,,,,,,,,143.0,219.0,20.0,361.0,42.0,785.0,0.0,30.0,815.0,0.0
11,Kalahandi,73,Lanjigarh,129.0,,,,,,,,205.0,134.0,15.0,290.0,12.0,656.0,0.0,24.0,680.0,0.0
11,Kalahandi,73,Lanjigarh,130.0,,,,,,,,142.0,103.0,10.0,334.0,7.0,596.0,0.0,18.0,614.0,0.0
11,Kalahandi,73,Lanjigarh,131.0,,,,,,,,252.0,117.0,22.0,554.0,26.0,971.0,0.0,35.0,1006.0,0.0
11,Kalahandi,73,Lanjigarh,132.0,,,,,,,,87.0,45.0,13.0,361.0,23.0,529.0,0.0,32.0,561.0,0.0
11,Kalahandi,73,Lanjigarh,133.0,,,,,,,,310.0,45.0,1.0,241.0,2.0,599.0,0.0,4.0,603.0,0.0
11,Kalahandi,73,Lanjigarh,134.0,,,,,,,,392.0,32.0,4.0,109.0,5.0,542.0,0.0,1.0,543.0,0.0
11,Kalahandi,73,Lanjigarh,135.0,,,,,,,,180.0,47.0,12.0,85.0,5.0,329.0,0.0,4.0,333.0,0.0
11,Kalahandi,73,Lanjigarh,136.0,,,,,,,,236.0,42.0,14.0,269.0,9.0,570.0,0.0,30.0,600.0,0.0
11,Kalahandi,73,Lanjigarh,137.0,,,,,,,,218.0,60.0,19.0,397.0,20.0,714.0,0.0,35.0,749.0,0.0
11,Kalahandi,73,Lanjigarh,138.0,,,,,,,,185.0,82.0,18.0,299.0,22.0,606.0,0.0,23.0,629.0,0.0
11,Kalahandi,73,Lanjigarh,139.0,,,,,,,,183.0,273.0,14.0,443.0,11.0,924.0,0.0,14.0,938.0,0.0
11,Kalahandi,73,Lanjigarh,140.0,,,,,,,,750.0,31.0,8.0,163.0,1.0,953.0,0.0,2.0,955.0,0.0
11,Kalahandi,73,Lanjigarh,141.0,,,,,,,,299.0,264.0,34.0,404.0,14.0,1015.0,0.0,16.0,1031.0,0.0
11,Kalahandi,73,Lanjigarh,142.0,,,,,,,,231.0,24.0,6.0,283.0,15.0,559.0,0.0,11.0,570.0,0.0
11,Kalahandi,73,Lanjigarh,143.0,,,,,,,,475.0,58.0,8.0,237.0,13.0,791.0,0.0,18.0,809.0,0.0
11,Kalahandi,73,Lanjigarh,144.0,,,,,,,,93.0,62.0,15.0,277.0,12.0,459.0,0.0,20.0,479.0,0.0
11,Kalahandi,73,Lanjigarh,145.0,,,,,,,,487.0,94.0,19.0,274.0,10.0,884.0,0.0,16.0,900.0,0.0
11,Kalahandi,73,Lanjigarh,146.0,,,,,,,,167.0,205.0,23.0,373.0,21.0,789.0,0.0,31.0,820.0,0.0
11,Kalahandi,73,Lanjigarh,147.0,,,,,,,,256.0,36.0,8.0,464.0,33.0,797.0,0.0,54.0,851.0,0.0
11,Kalahandi,73,Lanjigarh,148.0,,,,,,,,225.0,335.0,27.0,127.0,11.0,725.0,0.0,20.0,745.0,0.0
11,Kalahandi,73,Lanjigarh,149.0,,,,,,,,144.0,210.0,8.0,163.0,8.0,533.0,0.0,20.0,553.0,0.0
11,Kalahandi,73,Lanjigarh,150.0,,,,,,,,357.0,189.0,26.0,417.0,9.0,998.0,0.0,6.0,1004.0,0.0
11,Kalahandi,73,Lanjigarh,151.0,,,,,,,,80.0,111.0,9.0,143.0,4.0,347.0,0.0,4.0,351.0,0.0
11,Kalahandi,73,Lanjigarh,152.0,,,,,,,,283.0,505.0,41.0,194.0,24.0,1047.0,0.0,24.0,1071.0,0.0
11,Kalahandi,73,Lanjigarh,153.0,,,,,,,,219.0,152.0,8.0,136.0,14.0,529.0,0.0,15.0,544.0,0.0
11,Kalahandi,73,Lanjigarh,154.0,,,,,,,,108.0,294.0,28.0,284.0,28.0,742.0,0.0,33.0,775.0,0.0
11,Kalahandi,73,Lanjigarh,155.0,,,,,,,,286.0,271.0,28.0,391.0,19.0,995.0,0.0,38.0,1033.0,0.0
