pc_id,pc_name,ac_id,ac_name,BOOTH NO,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,TOTAL VALID VOTES,No of rejected votes,NOTA,Total,No of Tendered votes
14,Cuttack,97,Cuttack Sadar,12,,,,,,,,243.0,11.0,330.0,83.0,0.0,1.0,3.0,1.0,4.0,676.0,0.0,2.0,678.0,0.0
14,Cuttack,97,Cuttack Sadar,13,,,,,,,,147.0,3.0,204.0,63.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,1.0,418.0,0.0
14,Cuttack,97,Cuttack Sadar,14,,,,,,,,220.0,0.0,168.0,41.0,0.0,0.0,0.0,0.0,2.0,431.0,0.0,0.0,431.0,0.0
14,Cuttack,97,Cuttack Sadar,15,,,,,,,,46.0,0.0,103.0,20.0,1.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,170.0,0.0
14,Cuttack,97,Cuttack Sadar,16,,,,,,,,255.0,0.0,189.0,37.0,0.0,0.0,0.0,0.0,0.0,481.0,0.0,1.0,482.0,0.0
14,Cuttack,97,Cuttack Sadar,17,,,,,,,,128.0,0.0,325.0,78.0,0.0,0.0,0.0,1.0,0.0,532.0,0.0,1.0,533.0,0.0
14,Cuttack,97,Cuttack Sadar,18,,,,,,,,242.0,7.0,309.0,92.0,0.0,1.0,5.0,1.0,2.0,659.0,0.0,5.0,664.0,0.0
14,Cuttack,97,Cuttack Sadar,19,,,,,,,,187.0,3.0,292.0,109.0,1.0,0.0,0.0,2.0,0.0,594.0,0.0,0.0,594.0,0.0
14,Cuttack,97,Cuttack Sadar,20,,,,,,,,231.0,8.0,209.0,89.0,2.0,2.0,3.0,2.0,3.0,549.0,0.0,4.0,553.0,0.0
14,Cuttack,97,Cuttack Sadar,21,,,,,,,,110.0,0.0,238.0,113.0,0.0,0.0,0.0,2.0,0.0,463.0,0.0,1.0,464.0,0.0
14,Cuttack,97,Cuttack Sadar,22,,,,,,,,113.0,3.0,310.0,105.0,1.0,1.0,2.0,1.0,1.0,537.0,0.0,4.0,541.0,0.0
14,Cuttack,97,Cuttack Sadar,23,,,,,,,,241.0,3.0,291.0,116.0,0.0,1.0,1.0,2.0,2.0,657.0,0.0,5.0,662.0,0.0
14,Cuttack,97,Cuttack Sadar,24,,,,,,,,243.0,1.0,294.0,120.0,1.0,1.0,1.0,0.0,2.0,663.0,0.0,3.0,666.0,0.0
14,Cuttack,97,Cuttack Sadar,25,,,,,,,,248.0,7.0,316.0,125.0,2.0,1.0,3.0,2.0,0.0,704.0,0.0,9.0,713.0,0.0
14,Cuttack,97,Cuttack Sadar,26,,,,,,,,239.0,5.0,458.0,118.0,1.0,1.0,5.0,3.0,2.0,832.0,0.0,3.0,835.0,0.0
14,Cuttack,97,Cuttack Sadar,27,,,,,,,,264.0,3.0,209.0,94.0,1.0,0.0,1.0,0.0,1.0,573.0,0.0,0.0,573.0,0.0
14,Cuttack,97,Cuttack Sadar,28,,,,,,,,115.0,1.0,205.0,159.0,0.0,0.0,2.0,0.0,2.0,484.0,0.0,1.0,485.0,0.0
14,Cuttack,97,Cuttack Sadar,29,,,,,,,,112.0,2.0,146.0,65.0,0.0,3.0,0.0,3.0,3.0,334.0,0.0,5.0,339.0,0.0
