pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Sation,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total of Valid votes,No. of rejected votes (Test Votes),Votes for NOTA option,Total,No. of Tender Votes
10,Bolangir,63,Kantabanji,207,,,,,,,,190,146,247,3,0,0,586,0,0,586,0
10,Bolangir,63,Kantabanji,208,,,,,,,,295,64,411,1,4,7,782,0,5,787,0
10,Bolangir,63,Kantabanji,209,,,,,,,,121,38,142,2,0,2,305,0,4,309,0
10,Bolangir,63,Kantabanji,210,,,,,,,,239,110,359,4,1,1,714,0,3,717,0
10,Bolangir,63,Kantabanji,211,,,,,,,,107,82,212,1,0,1,403,0,1,404,0
10,Bolangir,63,Kantabanji,212,,,,,,,,81,228,444,3,1,1,758,0,4,762,0
10,Bolangir,63,Kantabanji,213,,,,,,,,127,80,242,1,1,0,451,0,3,454,0
10,Bolangir,63,Kantabanji,214,,,,,,,,139,176,397,3,2,0,717,0,5,722,0
10,Bolangir,63,Kantabanji,215,,,,,,,,108,222,243,2,3,3,581,0,13,594,0
10,Bolangir,63,Kantabanji,216,,,,,,,,147,99,174,0,4,2,426,0,5,431,0
10,Bolangir,63,Kantabanji,217,,,,,,,,56,39,42,1,2,2,142,0,0,142,0
10,Bolangir,63,Kantabanji,218,,,,,,,,125,142,208,3,0,6,484,0,9,493,0
10,Bolangir,63,Kantabanji,219,,,,,,,,56,128,230,2,0,1,417,0,5,422,0
10,Bolangir,63,Kantabanji,220,,,,,,,,156,246,141,6,2,2,553,0,9,562,0
10,Bolangir,63,Kantabanji,221,,,,,,,,167,264,490,1,3,6,931,0,17,948,0
10,Bolangir,63,Kantabanji,222,,,,,,,,199,258,543,4,6,2,1012,0,3,1015,0
10,Bolangir,63,Kantabanji,223,,,,,,,,62,103,352,5,1,4,527,0,10,537,0
10,Bolangir,63,Kantabanji,224,,,,,,,,105,187,562,8,2,7,871,0,17,888,0
10,Bolangir,63,Kantabanji,225,,,,,,,,22,110,164,2,0,1,299,0,2,301,0
10,Bolangir,63,Kantabanji,226,,,,,,,,36,222,291,3,0,2,554,0,4,558,0
10,Bolangir,63,Kantabanji,227,,,,,,,,128,140,550,3,6,5,832,0,6,838,0
10,Bolangir,63,Kantabanji,228,,,,,,,,73,161,218,4,0,3,459,0,3,462,0
10,Bolangir,63,Kantabanji,229,,,,,,,,61,138,316,5,0,5,525,0,4,529,0
10,Bolangir,63,Kantabanji,230,,,,,,,,127,195,228,4,1,4,559,0,5,564,0
10,Bolangir,63,Kantabanji,231,,,,,,,,304,178,276,9,2,0,769,0,1,770,0
10,Bolangir,63,Kantabanji,232,,,,,,,,228,287,293,4,4,3,819,0,21,840,0
10,Bolangir,63,Kantabanji,233,,,,,,,,94,142,193,3,13,3,448,0,3,451,0
10,Bolangir,63,Kantabanji,234,,,,,,,,62,135,446,5,4,0,652,0,5,657,0
10,Bolangir,63,Kantabanji,235,,,,,,,,118,112,259,0,2,6,497,0,6,503,0
10,Bolangir,63,Kantabanji,236,,,,,,,,97,33,282,1,1,2,416,0,2,418,0
10,Bolangir,63,Kantabanji,237,,,,,,,,49,173,510,4,2,4,742,0,12,754,0
10,Bolangir,63,Kantabanji,238,,,,,,,,110,20,255,1,0,2,388,0,5,393,0
10,Bolangir,63,Kantabanji,239,,,,,,,,90,264,363,5,0,2,724,0,4,728,0
10,Bolangir,63,Kantabanji,240,,,,,,,,234,283,313,8,2,6,846,0,9,855,0
10,Bolangir,63,Kantabanji,241,,,,,,,,94,158,236,3,0,0,491,0,3,494,0
10,Bolangir,63,Kantabanji,242,,,,,,,,58,99,168,4,3,5,337,0,25,362,0
10,Bolangir,63,Kantabanji,243,,,,,,,,29,66,209,1,0,2,307,0,5,312,0
10,Bolangir,63,Kantabanji,244,,,,,,,,87,187,149,1,1,6,431,0,8,439,0
10,Bolangir,63,Kantabanji,245,,,,,,,,93,414,481,3,8,9,1008,0,15,1023,0
10,Bolangir,63,Kantabanji,246,,,,,,,,23,103,150,1,2,1,280,0,6,286,0
10,Bolangir,63,Kantabanji,247,,,,,,,,40,337,392,1,3,2,775,0,8,783,0
10,Bolangir,63,Kantabanji,248,,,,,,,,163,228,426,6,2,4,829,0,22,851,0
10,Bolangir,63,Kantabanji,249,,,,,,,,25,131,134,1,1,1,293,0,6,299,0
10,Bolangir,63,Kantabanji,250,,,,,,,,44,174,130,4,5,13,370,0,15,385,0
