pc_id,pc_name,ac_id,ac_name,Booth No,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total Valid Votes,No fo rejected Votes (Test votes),Votes for NOTA Option,Total,No of Tendered votes
7,Bhadrak,44,Simulia,33,,,,,,,,81,256,1,372,1,0,0.0,2,713,0,2,715,0
7,Bhadrak,44,Simulia,34,,,,,,,,25,163,1,229,1,0,1.0,1,421,0,1,422,0
7,Bhadrak,44,Simulia,35,,,,,,,,32,90,1,348,2,0,1.0,0,474,0,5,479,0
7,Bhadrak,44,Simulia,36,,,,,,,,37,328,1,242,1,5,1.0,2,617,0,3,620,0
7,Bhadrak,44,Simulia,37,,,,,,,,43,291,4,361,2,0,0.0,1,702,0,0,702,0
7,Bhadrak,44,Simulia,38,,,,,,,,88,183,1,298,2,0,0.0,2,574,0,0,574,0
7,Bhadrak,44,Simulia,39,,,,,,,,51,172,5,317,1,0,0.0,4,550,0,4,554,0
7,Bhadrak,44,Simulia,40,,,,,,,,42,449,6,487,4,2,3.0,1,994,0,2,996,0
7,Bhadrak,44,Simulia,41,,,,,,,,30,384,3,403,2,0,2.0,5,829,0,7,836,0
7,Bhadrak,44,Simulia,42,,,,,,,,15,109,3,136,0,1,1.0,0,265,0,0,265,0
7,Bhadrak,44,Simulia,43,,,,,,,,58,293,3,388,1,3,1.0,2,749,0,4,753,0
7,Bhadrak,44,Simulia,44,,,,,,,,58,254,5,522,3,1,1.0,2,846,0,6,852,0
7,Bhadrak,44,Simulia,45,,,,,,,,65,191,3,198,0,0,0.0,0,457,0,3,460,0
7,Bhadrak,44,Simulia,46,,,,,,,,211,341,1,400,2,0,0.0,4,959,0,3,962,0
7,Bhadrak,44,Simulia,47,,,,,,,,80,341,2,389,1,0,0.0,2,815,0,5,820,0
7,Bhadrak,44,Simulia,48,,,,,,,,100,248,1,350,1,1,0.0,2,703,0,4,707,0
7,Bhadrak,44,Simulia,49,,,,,,,,33,178,1,193,3,0,0.0,0,408,0,0,408,0
7,Bhadrak,44,Simulia,50,,,,,,,,24,227,5,469,3,6,1.0,1,736,0,5,741,0
7,Bhadrak,44,Simulia,51,,,,,,,,33,310,1,249,2,1,1.0,0,597,0,3,600,0
7,Bhadrak,44,Simulia,52,,,,,,,,36,140,2,212,2,1,1.0,0,394,0,1,395,0
7,Bhadrak,44,Simulia,53,,,,,,,,49,367,6,548,6,3,3.0,10,992,0,9,1001,0
7,Bhadrak,44,Simulia,54,,,,,,,,52,336,5,445,3,0,2.0,16,859,0,8,867,0
