pc_id,pc_name,ac_id,ac_name,Sl. No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Total of Valid votes,No. of rejected Votes(Test votes),Votes for NOTA option,Total,No. of tendered votes
2,Sundargar,12,Rourkela,1.0,,,,,,,,257.0,111.0,8.0,304.0,2.0,3.0,2.0,3.0,1.0,2.0,693.0,0.0,4.0,697.0,0.0
2,Sundargar,12,Rourkela,2.0,,,,,,,,375.0,240.0,8.0,367.0,3.0,6.0,5.0,4.0,4.0,2.0,1014.0,0.0,10.0,1024.0,0.0
2,Sundargar,12,Rourkela,3.0,,,,,,,,206.0,230.0,7.0,240.0,1.0,3.0,12.0,0.0,6.0,2.0,707.0,0.0,14.0,721.0,0.0
2,Sundargar,12,Rourkela,4.0,,,,,,,,237.0,99.0,1.0,224.0,0.0,0.0,0.0,1.0,2.0,2.0,566.0,0.0,6.0,572.0,0.0
2,Sundargar,12,Rourkela,5.0,,,,,,,,241.0,40.0,2.0,339.0,2.0,1.0,2.0,2.0,2.0,1.0,632.0,0.0,3.0,635.0,0.0
2,Sundargar,12,Rourkela,6.0,,,,,,,,205.0,67.0,0.0,286.0,0.0,3.0,22.0,0.0,1.0,1.0,585.0,0.0,4.0,589.0,0.0
2,Sundargar,12,Rourkela,7.0,,,,,,,,348.0,49.0,2.0,419.0,11.0,2.0,6.0,0.0,1.0,1.0,839.0,0.0,7.0,846.0,0.0
2,Sundargar,12,Rourkela,8.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Sundargar,12,Rourkela,9.0,,,,,,,,266.0,56.0,2.0,305.0,2.0,1.0,2.0,0.0,4.0,1.0,639.0,0.0,8.0,647.0,0.0
2,Sundargar,12,Rourkela,10.0,,,,,,,,173.0,39.0,2.0,245.0,3.0,0.0,1.0,0.0,3.0,0.0,466.0,0.0,5.0,471.0,0.0
2,Sundargar,12,Rourkela,11.0,,,,,,,,287.0,42.0,1.0,382.0,1.0,1.0,4.0,0.0,6.0,0.0,724.0,0.0,7.0,731.0,0.0
2,Sundargar,12,Rourkela,12.0,,,,,,,,282.0,43.0,4.0,373.0,2.0,0.0,1.0,0.0,4.0,1.0,710.0,0.0,5.0,715.0,0.0
2,Sundargar,12,Rourkela,13.0,,,,,,,,334.0,74.0,3.0,359.0,2.0,3.0,2.0,2.0,5.0,1.0,785.0,0.0,5.0,790.0,0.0
2,Sundargar,12,Rourkela,14.0,,,,,,,,371.0,53.0,3.0,424.0,1.0,2.0,3.0,5.0,4.0,0.0,866.0,0.0,6.0,872.0,0.0
2,Sundargar,12,Rourkela,15.0,,,,,,,,242.0,66.0,3.0,202.0,5.0,0.0,2.0,0.0,1.0,0.0,521.0,0.0,4.0,525.0,0.0
2,Sundargar,12,Rourkela,16.0,,,,,,,,312.0,43.0,1.0,289.0,2.0,0.0,0.0,2.0,2.0,0.0,651.0,0.0,7.0,658.0,0.0
2,Sundargar,12,Rourkela,17.0,,,,,,,,277.0,41.0,0.0,341.0,4.0,0.0,1.0,2.0,5.0,1.0,672.0,0.0,3.0,675.0,0.0
2,Sundargar,12,Rourkela,18.0,,,,,,,,147.0,20.0,0.0,289.0,1.0,1.0,3.0,0.0,4.0,1.0,466.0,0.0,2.0,468.0,0.0
2,Sundargar,12,Rourkela,19.0,,,,,,,,256.0,30.0,1.0,233.0,5.0,3.0,1.0,0.0,0.0,0.0,529.0,0.0,2.0,531.0,0.0
2,Sundargar,12,Rourkela,20.0,,,,,,,,275.0,44.0,0.0,346.0,5.0,1.0,3.0,5.0,10.0,0.0,689.0,0.0,6.0,695.0,0.0
2,Sundargar,12,Rourkela,21.0,,,,,,,,152.0,44.0,1.0,331.0,0.0,0.0,0.0,2.0,6.0,1.0,537.0,0.0,6.0,543.0,0.0
2,Sundargar,12,Rourkela,22.0,,,,,,,,250.0,34.0,0.0,266.0,1.0,0.0,5.0,3.0,6.0,0.0,565.0,0.0,4.0,569.0,0.0
2,Sundargar,12,Rourkela,23.0,,,,,,,,352.0,76.0,2.0,402.0,1.0,2.0,1.0,3.0,6.0,1.0,846.0,0.0,10.0,856.0,0.0
2,Sundargar,12,Rourkela,24.0,,,,,,,,263.0,110.0,6.0,305.0,4.0,1.0,1.0,0.0,4.0,0.0,694.0,0.0,3.0,697.0,0.0
2,Sundargar,12,Rourkela,25.0,,,,,,,,249.0,51.0,0.0,223.0,0.0,0.0,0.0,0.0,2.0,0.0,525.0,0.0,4.0,529.0,0.0
2,Sundargar,12,Rourkela,26.0,,,,,,,,287.0,45.0,2.0,209.0,0.0,0.0,0.0,1.0,2.0,0.0,546.0,0.0,0.0,546.0,0.0
2,Sundargar,12,Rourkela,27.0,,,,,,,,359.0,113.0,2.0,275.0,3.0,2.0,0.0,2.0,4.0,0.0,760.0,0.0,7.0,767.0,0.0
2,Sundargar,12,Rourkela,28.0,,,,,,,,382.0,46.0,0.0,335.0,2.0,2.0,1.0,1.0,1.0,2.0,772.0,0.0,5.0,777.0,0.0
