pc_id,pc_name,ac_id,ac_name,Serial No.of Polling station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Total of valid votes,No of rejected votes (Test votes),Voter for NOTA option,Total,No of tendered votes
6,Balasore,38,Bhograi,183,,,,,,,,227,546,35,7,0,0,0,0,2,5.0,2,3,827,nan,6.0,833,nan
6,Balasore,38,Bhograi,184,,,,,,,,378,601,12,5,2,6,1,2,1,0.0,3,0,1011,nan,3.0,1014,nan
6,Balasore,38,Bhograi,185,,,,,,,,201,612,5,1,0,1,0,0,0,0.0,0,1,821,nan,1.0,822,nan
6,Balasore,38,Bhograi,186,,,,,,,,373,488,37,2,0,0,0,1,5,1.0,0,0,907,nan,9.0,916,nan
6,Balasore,38,Bhograi,187,,,,,,,,491,381,10,0,1,1,1,1,0,0.0,1,0,887,nan,4.0,891,nan
6,Balasore,38,Bhograi,188,,,,,,,,246,294,13,1,0,0,1,0,1,2.0,0,2,560,nan,6.0,566,nan
6,Balasore,38,Bhograi,189,,,,,,,,281,339,32,2,4,0,3,0,1,3.0,1,8,674,nan,3.0,677,nan
6,Balasore,38,Bhograi,190,,,,,,,,320,496,27,2,1,1,1,3,2,1.0,4,2,860,nan,4.0,864,nan
6,Balasore,38,Bhograi,191,,,,,,,,307,268,164,1,4,1,2,1,2,6.0,1,3,760,nan,12.0,772,nan
6,Balasore,38,Bhograi,192,,,,,,,,378,414,86,1,1,1,2,0,2,0.0,0,0,885,nan,1.0,886,nan
6,Balasore,38,Bhograi,193,,,,,,,,216,619,137,1,1,2,0,0,0,0.0,3,0,979,nan,2.0,981,nan
6,Balasore,38,Bhograi,194,,,,,,,,210,263,42,0,1,4,1,1,2,0.0,2,1,527,nan,6.0,533,nan
6,Balasore,38,Bhograi,195,,,,,,,,565,137,266,4,1,2,1,1,0,1.0,0,1,979,nan,5.0,984,nan
6,Balasore,38,Bhograi,196,,,,,,,,403,215,214,0,4,0,0,0,0,2.0,0,3,841,nan,3.0,844,nan
6,Balasore,38,Bhograi,197,,,,,,,,318,569,85,0,6,1,0,0,1,4.0,0,1,985,nan,3.0,988,nan
6,Balasore,38,Bhograi,198,,,,,,,,323,345,64,4,1,0,0,0,2,0.0,0,0,739,nan,3.0,742,nan
6,Balasore,38,Bhograi,Total,,,,,,,,61304,74610,19688,292,216,162,129,92,183,173.0,163,304,157316,nan,667.0,157983,nan
