pc_id,pc_name,ac_id,ac_name,BOOTH NO,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,TOTAL VALID VOTES,No of rejected votes,NOTA,Total,No of Tendered votes
14,Cuttack,92,Baramba,256,,,,,,,,136.0,135.0,7.0,1.0,0.0,0.0,0.0,0.0,279.0,0.0,1.0,280.0,0.0
14,Cuttack,92,Baramba,257,,,,,,,,230.0,253.0,65.0,2.0,1.0,0.0,1.0,1.0,553.0,0.0,2.0,555.0,0.0
14,Cuttack,92,Baramba,258,,,,,,,,222.0,343.0,32.0,2.0,0.0,1.0,4.0,0.0,604.0,0.0,3.0,607.0,0.0
14,Cuttack,92,Baramba,259,,,,,,,,377.0,468.0,39.0,5.0,3.0,2.0,2.0,5.0,901.0,0.0,1.0,902.0,0.0
14,Cuttack,92,Baramba,260,,,,,,,,302.0,309.0,15.0,0.0,4.0,1.0,1.0,1.0,633.0,0.0,1.0,634.0,0.0
14,Cuttack,92,Baramba,261,,,,,,,,342.0,364.0,40.0,3.0,5.0,0.0,2.0,2.0,758.0,0.0,3.0,761.0,0.0
14,Cuttack,92,Baramba,262,,,,,,,,190.0,146.0,20.0,1.0,0.0,0.0,0.0,1.0,358.0,0.0,3.0,361.0,0.0
14,Cuttack,92,Baramba,263,,,,,,,,278.0,597.0,80.0,4.0,3.0,0.0,4.0,1.0,967.0,0.0,3.0,970.0,0.0
14,Cuttack,92,Baramba,264,,,,,,,,194.0,219.0,33.0,0.0,2.0,1.0,3.0,4.0,456.0,0.0,4.0,460.0,0.0
14,Cuttack,92,Baramba,265,,,,,,,,336.0,522.0,79.0,3.0,2.0,2.0,4.0,2.0,950.0,0.0,5.0,955.0,0.0
14,Cuttack,92,Baramba,266,,,,,,,,250.0,429.0,99.0,3.0,2.0,1.0,2.0,2.0,788.0,0.0,6.0,794.0,0.0
14,Cuttack,92,Baramba,267,,,,,,,,205.0,398.0,65.0,0.0,2.0,1.0,0.0,1.0,672.0,0.0,1.0,673.0,0.0
14,Cuttack,92,Baramba,268,,,,,,,,170.0,297.0,63.0,0.0,1.0,0.0,1.0,0.0,532.0,0.0,0.0,532.0,0.0
14,Cuttack,92,Baramba,269,,,,,,,,195.0,462.0,38.0,1.0,0.0,1.0,0.0,0.0,697.0,0.0,2.0,699.0,0.0
14,Cuttack,92,Baramba,270,,,,,,,,194.0,207.0,4.0,0.0,1.0,1.0,0.0,0.0,407.0,0.0,0.0,407.0,0.0
14,Cuttack,92,Baramba,271,,,,,,,,282.0,276.0,15.0,1.0,0.0,0.0,0.0,1.0,575.0,0.0,1.0,576.0,0.0
14,Cuttack,92,Baramba,272,,,,,,,,103.0,583.0,5.0,0.0,0.0,0.0,1.0,0.0,692.0,0.0,1.0,693.0,0.0
