pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Total of Valid votes,No. of Rejected votes,NOTA,Total,No. of Tendered Votes
9,Dhenkanal,57,Dhenkanal,137,,,,,,,,260,5,42,334,1,5,6,653,0,7,660,0
9,Dhenkanal,57,Dhenkanal,138,,,,,,,,337,7,14,431,6,4,7,806,0,11,817,0
9,Dhenkanal,57,Dhenkanal,139,,,,,,,,291,2,24,427,3,3,1,751,0,7,758,0
9,Dhenkanal,57,Dhenkanal,140,,,,,,,,228,3,11,366,2,3,4,617,0,10,627,0
9,Dhenkanal,57,Dhenkanal,141,,,,,,,,232,1,38,528,8,3,0,810,0,2,812,0
9,Dhenkanal,57,Dhenkanal,142,,,,,,,,282,1,28,444,3,0,1,759,0,3,762,0
9,Dhenkanal,57,Dhenkanal,143,,,,,,,,406,2,25,334,2,1,2,772,0,13,785,0
9,Dhenkanal,57,Dhenkanal,144,,,,,,,,246,1,21,471,2,4,2,747,0,7,754,0
9,Dhenkanal,57,Dhenkanal,145,,,,,,,,257,4,35,341,4,3,1,645,0,7,652,0
9,Dhenkanal,57,Dhenkanal,146,,,,,,,,252,1,22,465,5,0,1,746,0,2,748,0
9,Dhenkanal,57,Dhenkanal,147,,,,,,,,261,2,19,312,1,2,2,599,0,3,602,0
9,Dhenkanal,57,Dhenkanal,148,,,,,,,,376,30,20,259,2,2,0,689,0,7,696,0
9,Dhenkanal,57,Dhenkanal,149,,,,,,,,299,0,27,408,2,2,7,745,0,8,753,0
9,Dhenkanal,57,Dhenkanal,150,,,,,,,,248,41,38,533,4,5,4,873,0,4,877,0
9,Dhenkanal,57,Dhenkanal,151,,,,,,,,363,8,30,427,5,4,6,843,0,10,853,0
9,Dhenkanal,57,Dhenkanal,152,,,,,,,,263,1,5,306,4,0,0,579,0,5,584,0
9,Dhenkanal,57,Dhenkanal,153,,,,,,,,399,8,16,335,5,5,5,773,0,11,784,0
9,Dhenkanal,57,Dhenkanal,154,,,,,,,,390,4,9,232,4,3,1,643,0,8,651,0
9,Dhenkanal,57,Dhenkanal,155,,,,,,,,378,4,19,269,4,4,0,678,0,3,681,0
9,Dhenkanal,57,Dhenkanal,156,,,,,,,,421,3,23,193,2,1,1,644,0,5,649,0
9,Dhenkanal,57,Dhenkanal,157,,,,,,,,295,2,9,345,2,1,3,657,0,4,661,0
9,Dhenkanal,57,Dhenkanal,158,,,,,,,,199,1,9,226,5,5,1,446,0,10,456,0
9,Dhenkanal,57,Dhenkanal,159,,,,,,,,254,4,21,615,4,1,1,900,0,11,911,0
9,Dhenkanal,57,Dhenkanal,160,,,,,,,,430,3,13,245,1,1,0,693,0,1,694,0
9,Dhenkanal,57,Dhenkanal,161,,,,,,,,383,4,80,264,7,6,6,750,0,14,764,0
9,Dhenkanal,57,Dhenkanal,162,,,,,,,,400,6,29,257,11,13,9,725,0,26,751,0
9,Dhenkanal,57,Dhenkanal,163,,,,,,,,400,1,13,226,6,1,1,648,0,9,657,0
9,Dhenkanal,57,Dhenkanal,164,,,,,,,,305,2,26,185,3,3,0,524,0,2,526,0
9,Dhenkanal,57,Dhenkanal,165,,,,,,,,322,1,17,281,1,0,2,624,0,1,625,0
