pc_id,pc_name,ac_id,ac_name,Polling Booth No.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Candidate 13,Candidate 14,Candidate 15,Candidate 16,Total of valid votes,No of Rejected votes,NOTA,Total,No of tendered votes
17,Puri,113,Puri,42,,,,,,,,247,6,30,14,633,3,0,1,2,2,90,10,3,4,3,1,1049.0,0,31,1080,0
17,Puri,113,Puri,43,,,,,,,,234,2,10,4,557,4,1,1,0,5,16,65,7,1,1,1,909.0,0,16,925,0
17,Puri,113,Puri,44,,,,,,,,262,3,16,1,499,1,0,0,0,0,0,30,1,1,3,1,818.0,0,7,825,0
17,Puri,113,Puri,45,,,,,,,,242,2,20,2,319,0,0,0,3,17,0,10,2,0,2,0,619.0,0,4,623,0
17,Puri,113,Puri,46,,,,,,,,177,0,21,0,204,2,0,0,1,2,0,4,2,0,1,3,417.0,0,8,425,0
17,Puri,113,Puri,47,,,,,,,,235,2,12,2,247,2,2,0,1,1,1,1,0,0,0,2,508.0,0,4,512,0
17,Puri,113,Puri,48,,,,,,,,232,4,10,0,247,1,0,0,0,0,0,0,0,3,0,1,498.0,0,2,500,0
17,Puri,113,Puri,49,,,,,,,,174,2,4,2,210,1,0,0,0,0,1,1,1,1,0,2,399.0,0,4,403,0
17,Puri,113,Puri,50,,,,,,,,192,2,8,2,255,0,0,1,0,0,2,0,2,0,0,0,464.0,0,8,472,0
17,Puri,113,Puri,51,,,,,,,,234,6,17,2,333,1,1,0,1,2,0,14,0,0,1,1,613.0,0,8,621,0
17,Puri,113,Puri,52,,,,,,,,185,0,19,0,189,0,0,0,0,0,1,2,0,1,1,0,398.0,0,5,403,0
17,Puri,113,Puri,53,,,,,,,,174,1,7,0,164,0,1,0,0,1,0,1,0,0,0,0,349.0,0,1,350,0
17,Puri,113,Puri,54,,,,,,,,165,2,5,1,261,1,2,0,0,0,1,0,2,0,1,1,442.0,0,7,449,0
17,Puri,113,Puri,55,,,,,,,,163,2,11,0,204,0,0,0,0,1,0,3,0,1,0,0,385.0,0,3,388,0
17,Puri,113,Puri,56,,,,,,,,164,2,23,0,278,0,1,2,0,0,0,1,3,0,0,1,475.0,0,7,482,0
17,Puri,113,Puri,57,,,,,,,,275,1,22,1,226,0,0,0,0,0,4,4,2,2,0,0,537.0,0,6,543,0
17,Puri,113,Puri,58,,,,,,,,184,0,37,1,244,2,0,0,1,0,0,3,1,0,1,1,475.0,0,4,479,0
17,Puri,113,Puri,59,,,,,,,,183,2,20,2,245,3,0,0,1,1,2,1,1,1,0,0,462.0,0,2,464,0
17,Puri,113,Puri,60,,,,,,,,285,0,27,2,298,0,0,0,0,0,0,1,1,3,0,2,619.0,0,7,626,0
17,Puri,113,Puri,61,,,,,,,,241,1,26,0,231,0,0,0,0,0,1,1,0,0,0,0,501.0,0,22,523,0
17,Puri,113,Puri,62,,,,,,,,173,3,11,0,244,1,1,0,0,0,2,1,0,0,5,0,441.0,0,3,444,0
17,Puri,113,Puri,63,,,,,,,,156,2,24,2,221,1,1,0,0,0,0,4,0,0,0,3,414.0,0,10,424,0
17,Puri,113,Puri,64,,,,,,,,177,2,12,0,167,0,0,2,0,0,0,3,0,0,0,2,365.0,0,2,367,0
17,Puri,113,Puri,65,,,,,,,,191,1,15,1,198,0,0,0,1,0,0,9,2,0,1,1,420.0,0,1,421,0
17,Puri,113,Puri,66,,,,,,,,156,0,19,0,137,0,0,0,2,2,1,4,1,0,0,0,322.0,0,2,324,0
17,Puri,113,Puri,67,,,,,,,,206,0,12,0,149,1,0,0,0,0,0,4,1,0,0,0,373.0,0,3,376,0
17,Puri,113,Puri,68,,,,,,,,228,3,16,0,201,1,0,0,1,0,0,2,0,0,0,1,453.0,0,9,462,0
17,Puri,113,Puri,69,,,,,,,,177,1,15,3,292,2,0,0,1,0,2,1,1,0,0,2,497.0,0,4,501,0
17,Puri,113,Puri,70,,,,,,,,230,2,16,0,148,0,0,1,2,0,0,3,1,0,0,1,404.0,0,9,413,0
17,Puri,113,Puri,71,,,,,,,,171,1,12,1,194,0,0,0,0,0,2,1,0,0,0,0,382.0,0,2,384,0
17,Puri,113,Puri,72,,,,,,,,266,0,19,0,319,0,0,0,0,2,3,0,2,0,1,3,615.0,0,9,624,0
17,Puri,113,Puri,73,,,,,,,,225,0,29,0,315,0,1,0,1,0,1,3,0,0,2,0,577.0,0,7,584,0
17,Puri,113,Puri,74,,,,,,,,288,3,35,2,348,0,0,1,1,0,0,2,0,0,1,1,682.0,0,11,693,0
17,Puri,113,Puri,75,,,,,,,,319,1,26,0,386,0,0,0,0,1,2,10,1,0,2,2,750.0,0,8,758,0
17,Puri,113,Puri,76,,,,,,,,270,3,18,3,262,1,0,1,0,0,0,4,0,0,0,0,562.0,0,10,572,0
17,Puri,113,Puri,77,,,,,,,,267,2,39,5,259,0,0,2,4,0,0,7,0,0,0,0,585.0,0,1,586,0
17,Puri,113,Puri,78,,,,,,,,211,2,29,1,328,1,1,0,0,0,1,7,0,1,1,1,584.0,0,4,588,0
17,Puri,113,Puri,79,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
17,Puri,113,Puri,80,,,,,,,,178,1,43,0,280,2,0,0,1,0,0,1,0,0,0,2,508.0,0,18,526,0
17,Puri,113,Puri,81,,,,,,,,143,0,18,2,269,0,1,0,0,0,0,3,1,0,0,2,439.0,0,5,444,0
17,Puri,113,Puri,82,,,,,,,,168,3,50,0,267,0,0,1,1,0,0,1,0,0,1,1,493.0,0,4,497,0
17,Puri,113,Puri,83,,,,,,,,214,1,19,0,268,1,1,0,0,0,2,12,0,0,0,1,519.0,0,7,526,0
17,Puri,113,Puri,84,,,,,,,,182,1,35,0,216,3,1,0,0,0,0,0,0,0,1,0,439.0,0,4,443,0
17,Puri,113,Puri,85,,,,,,,,203,1,26,0,214,2,0,0,1,0,0,2,0,0,0,0,449.0,0,8,457,0
17,Puri,113,Puri,86,,,,,,,,121,1,30,1,163,0,1,1,1,1,1,2,0,0,0,1,324.0,0,2,326,0
17,Puri,113,Puri,87,,,,,,,,251,0,34,1,256,0,0,1,3,0,1,3,0,1,0,0,551.0,0,12,563,0
17,Puri,113,Puri,88,,,,,,,,128,1,12,0,151,0,0,0,0,0,0,9,0,0,0,0,301.0,0,3,304,0
17,Puri,113,Puri,89,,,,,,,,135,0,17,1,227,0,0,0,0,0,2,15,2,1,1,0,401.0,0,12,413,0
17,Puri,113,Puri,90,,,,,,,,174,2,15,1,215,0,0,3,0,1,1,4,0,0,0,0,416.0,0,1,417,0
17,Puri,113,Puri,91,,,,,,,,138,1,13,0,189,1,0,0,1,0,0,8,2,0,0,0,353.0,0,6,359,0
17,Puri,113,Puri,92,,,,,,,,143,0,11,1,172,0,0,0,3,0,0,11,0,0,1,1,343.0,0,2,345,0
17,Puri,113,Puri,93,,,,,,,,165,1,16,0,198,0,0,0,2,0,0,3,1,0,0,0,386.0,0,5,391,0
17,Puri,113,Puri,94,,,,,,,,184,2,14,0,277,0,0,0,0,0,1,9,0,0,2,0,489.0,0,8,497,0
17,Puri,113,Puri,95,,,,,,,,209,1,14,0,180,0,0,1,0,0,0,15,0,0,0,0,420.0,0,3,423,0
17,Puri,113,Puri,96,,,,,,,,207,0,11,1,204,0,0,0,1,0,3,4,0,0,0,0,431.0,0,4,435,0
17,Puri,113,Puri,97,,,,,,,,158,0,20,1,125,0,0,0,0,0,0,4,1,0,0,0,309.0,0,5,314,0
