pc_id,pc_name,ac_id,ac_name,Sl No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Total of valid votes,No of votes rejected,NOTA,Total
10,Bolangir,64,Birmaharajpur,175,,,,,,,,250,289,12,201,4,2,3,4,1,766,0,4,770
10,Bolangir,64,Birmaharajpur,176,,,,,,,,194,86,4,69,0,0,0,2,0,355,0,0,355
10,Bolangir,64,Birmaharajpur,177,,,,,,,,157,78,1,57,2,0,0,6,5,306,0,6,312
10,Bolangir,64,Birmaharajpur,178,,,,,,,,342,191,6,139,6,5,0,18,4,711,0,4,715
10,Bolangir,64,Birmaharajpur,179,,,,,,,,283,250,7,101,2,0,2,30,1,676,0,0,676
10,Bolangir,64,Birmaharajpur,180,,,,,,,,300,176,8,225,4,3,4,25,4,749,0,17,766
10,Bolangir,64,Birmaharajpur,181,,,,,,,,123,99,3,73,0,4,0,16,1,319,0,1,320
10,Bolangir,64,Birmaharajpur,182,,,,,,,,321,305,3,180,3,6,0,7,3,828,0,3,831
10,Bolangir,64,Birmaharajpur,183,,,,,,,,216,160,3,102,1,1,0,4,4,491,0,9,500
10,Bolangir,64,Birmaharajpur,184,,,,,,,,154,170,11,113,8,2,1,9,0,468,0,0,468
10,Bolangir,64,Birmaharajpur,185,,,,,,,,244,131,3,125,4,0,2,16,4,529,0,3,532
10,Bolangir,64,Birmaharajpur,186,,,,,,,,250,277,8,201,7,3,3,32,1,782,0,4,786
10,Bolangir,64,Birmaharajpur,187,,,,,,,,135,40,0,108,1,2,1,1,1,289,0,0,289
10,Bolangir,64,Birmaharajpur,188,,,,,,,,329,285,4,203,8,2,2,45,4,882,0,5,887
10,Bolangir,64,Birmaharajpur,189,,,,,,,,274,155,6,144,1,1,6,10,1,598,0,4,602
10,Bolangir,64,Birmaharajpur,190,,,,,,,,192,272,8,151,5,3,2,6,3,642,0,1,643
10,Bolangir,64,Birmaharajpur,191,,,,,,,,229,181,6,127,6,2,2,35,2,590,0,14,604
10,Bolangir,64,Birmaharajpur,192,,,,,,,,162,66,4,69,1,1,1,23,3,330,0,3,333
10,Bolangir,64,Birmaharajpur,193,,,,,,,,210,50,0,78,0,1,0,5,38,382,0,3,385
10,Bolangir,64,Birmaharajpur,194,,,,,,,,193,180,5,70,1,0,1,6,0,456,0,2,458
10,Bolangir,64,Birmaharajpur,195,,,,,,,,193,518,5,102,9,1,2,10,2,842,0,3,845
10,Bolangir,64,Birmaharajpur,196,,,,,,,,168,151,4,72,3,5,3,27,2,435,0,0,435
10,Bolangir,64,Birmaharajpur,197,,,,,,,,255,244,5,32,6,0,1,7,3,553,0,2,555
10,Bolangir,64,Birmaharajpur,198,,,,,,,,426,167,6,137,5,1,2,11,3,758,0,17,775
10,Bolangir,64,Birmaharajpur,199,,,,,,,,308,167,9,244,2,2,1,7,2,742,0,6,748
10,Bolangir,64,Birmaharajpur,200,,,,,,,,308,302,3,107,2,3,1,12,2,740,0,2,742
10,Bolangir,64,Birmaharajpur,201,,,,,,,,361,201,6,89,3,3,1,9,1,674,0,9,683
10,Bolangir,64,Birmaharajpur,202,,,,,,,,438,253,12,204,6,6,2,20,2,943,0,5,948
10,Bolangir,64,Birmaharajpur,203,,,,,,,,458,342,3,169,4,6,3,57,1,1043,0,3,1046
10,Bolangir,64,Birmaharajpur,204,,,,,,,,290,87,3,41,3,1,1,18,1,445,0,1,446
10,Bolangir,64,Birmaharajpur,205,,,,,,,,159,100,1,63,5,4,0,11,4,347,0,1,348
10,Bolangir,64,Birmaharajpur,206,,,,,,,,151,184,3,56,3,0,0,2,1,400,0,0,400
10,Bolangir,64,Birmaharajpur,207,,,,,,,,285,157,7,108,3,1,2,92,6,661,0,6,667
10,Bolangir,64,Birmaharajpur,208,,,,,,,,161,171,0,96,2,0,2,2,1,435,0,3,438
10,Bolangir,64,Birmaharajpur,209,,,,,,,,87,100,2,29,0,1,0,0,0,219,0,2,221
10,Bolangir,64,Birmaharajpur,210,,,,,,,,371,252,4,133,19,1,1,10,1,792,0,3,795
10,Bolangir,64,Birmaharajpur,211,,,,,,,,214,354,5,115,4,2,3,5,2,704,0,1,705
10,Bolangir,64,Birmaharajpur,212,,,,,,,,261,179,4,109,3,1,1,10,4,572,0,8,580
10,Bolangir,64,Birmaharajpur,213,,,,,,,,302,271,11,125,6,14,4,2,4,739,0,4,743
10,Bolangir,64,Birmaharajpur,214,,,,,,,,349,214,45,266,8,3,0,11,3,899,0,3,902
10,Bolangir,64,Birmaharajpur,216,,,,,,,,420,181,8,279,7,1,1,77,1,975,0,11,986
10,Bolangir,64,Birmaharajpur,217,,,,,,,,228,99,13,135,10,0,1,16,9,511,0,10,521
10,Bolangir,64,Birmaharajpur,218,,,,,,,,424,157,9,255,4,1,2,22,8,882,0,4,886
