pc_id,pc_name,ac_id,ac_name,Sl.No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
19,Aska,126,Hinjili,58,,,,,,,,155.0,6.0,267.0,1.0,3.0,2.0,434,0,5.0,439,0
19,Aska,126,Hinjili,59,,,,,,,,183.0,9.0,495.0,5.0,2.0,2.0,696,0,2.0,698,0
19,Aska,126,Hinjili,60,,,,,,,,142.0,10.0,499.0,7.0,5.0,11.0,674,0,24.0,698,0
19,Aska,126,Hinjili,61,,,,,,,,207.0,14.0,472.0,6.0,14.0,8.0,721,0,12.0,733,0
19,Aska,126,Hinjili,62,,,,,,,,74.0,8.0,741.0,3.0,1.0,4.0,831,0,0.0,831,0
19,Aska,126,Hinjili,63,,,,,,,,452.0,22.0,326.0,9.0,8.0,5.0,822,0,6.0,828,0
19,Aska,126,Hinjili,64,,,,,,,,374.0,98.0,341.0,13.0,8.0,10.0,844,0,13.0,857,0
19,Aska,126,Hinjili,65,,,,,,,,156.0,9.0,355.0,6.0,3.0,3.0,532,0,6.0,538,0
19,Aska,126,Hinjili,66,,,,,,,,306.0,24.0,344.0,9.0,9.0,7.0,699,0,15.0,714,0
19,Aska,126,Hinjili,67,,,,,,,,210.0,8.0,412.0,15.0,9.0,3.0,657,0,21.0,678,0
19,Aska,126,Hinjili,68,,,,,,,,98.0,14.0,476.0,10.0,5.0,8.0,611,0,18.0,629,0
19,Aska,126,Hinjili,69,,,,,,,,165.0,14.0,221.0,2.0,3.0,2.0,407,0,5.0,412,0
19,Aska,126,Hinjili,70,,,,,,,,187.0,10.0,764.0,14.0,9.0,7.0,991,0,1.0,992,0
19,Aska,126,Hinjili,71,,,,,,,,158.0,9.0,746.0,16.0,9.0,3.0,941,0,8.0,949,0
19,Aska,126,Hinjili,72,,,,,,,,76.0,17.0,804.0,3.0,0.0,2.0,902,0,0.0,902,0
19,Aska,126,Hinjili,73,,,,,,,,122.0,13.0,184.0,4.0,6.0,5.0,334,0,4.0,338,0
19,Aska,126,Hinjili,74,,,,,,,,330.0,18.0,588.0,4.0,5.0,3.0,948,0,8.0,956,0
19,Aska,126,Hinjili,75,,,,,,,,385.0,32.0,363.0,10.0,5.0,6.0,801,0,19.0,820,0
19,Aska,126,Hinjili,76,,,,,,,,139.0,17.0,636.0,8.0,4.0,5.0,809,0,9.0,818,0
19,Aska,126,Hinjili,77,,,,,,,,126.0,5.0,508.0,6.0,4.0,1.0,650,0,5.0,655,0
19,Aska,126,Hinjili,78,,,,,,,,27.0,8.0,297.0,3.0,1.0,1.0,337,0,0.0,337,0
19,Aska,126,Hinjili,79,,,,,,,,261.0,6.0,354.0,5.0,0.0,2.0,628,0,6.0,634,0
19,Aska,126,Hinjili,80,,,,,,,,230.0,23.0,345.0,6.0,8.0,8.0,620,0,13.0,633,0
19,Aska,126,Hinjili,81,,,,,,,,235.0,16.0,268.0,6.0,6.0,5.0,536,0,15.0,551,0
19,Aska,126,Hinjili,82,,,,,,,,179.0,13.0,255.0,2.0,3.0,1.0,453,0,7.0,460,0
19,Aska,126,Hinjili,83,,,,,,,,214.0,19.0,275.0,5.0,1.0,0.0,514,0,8.0,522,0
19,Aska,126,Hinjili,84,,,,,,,,144.0,21.0,439.0,7.0,5.0,4.0,620,0,8.0,628,0
19,Aska,126,Hinjili,85,,,,,,,,120.0,25.0,452.0,4.0,0.0,2.0,603,0,4.0,607,0
19,Aska,126,Hinjili,86,,,,,,,,115.0,10.0,545.0,10.0,6.0,9.0,695,0,21.0,716,0
19,Aska,126,Hinjili,87,,,,,,,,109.0,18.0,326.0,10.0,8.0,4.0,475,0,3.0,478,0
19,Aska,126,Hinjili,88,,,,,,,,137.0,7.0,198.0,3.0,5.0,2.0,352,0,2.0,354,0
19,Aska,126,Hinjili,89,,,,,,,,139.0,3.0,442.0,3.0,7.0,8.0,602,0,10.0,612,0
19,Aska,126,Hinjili,90,,,,,,,,170.0,8.0,437.0,1.0,3.0,3.0,622,0,5.0,627,0
19,Aska,126,Hinjili,91,,,,,,,,111.0,3.0,410.0,2.0,3.0,1.0,530,0,0.0,530,0
19,Aska,126,Hinjili,92,,,,,,,,665.0,8.0,86.0,1.0,2.0,1.0,763,0,6.0,769,0
19,Aska,126,Hinjili,93,,,,,,,,497.0,12.0,84.0,0.0,2.0,3.0,598,0,13.0,611,0
19,Aska,126,Hinjili,94,,,,,,,,438.0,21.0,181.0,9.0,4.0,4.0,657,0,10.0,667,0
19,Aska,126,Hinjili,95,,,,,,,,122.0,6.0,152.0,5.0,2.0,6.0,293,0,5.0,298,0
19,Aska,126,Hinjili,96,,,,,,,,582.0,9.0,91.0,0.0,0.0,1.0,683,0,5.0,688,0
19,Aska,126,Hinjili,97,,,,,,,,219.0,34.0,412.0,11.0,11.0,7.0,694,0,13.0,707,0
19,Aska,126,Hinjili,98,,,,,,,,211.0,31.0,512.0,13.0,9.0,9.0,785,0,11.0,796,0
19,Aska,126,Hinjili,99,,,,,,,,178.0,5.0,423.0,9.0,5.0,4.0,624,0,2.0,626,0
19,Aska,126,Hinjili,100,,,,,,,,69.0,9.0,568.0,1.0,7.0,5.0,659,0,6.0,665,0
19,Aska,126,Hinjili,101,,,,,,,,433.0,10.0,443.0,6.0,3.0,3.0,898,0,2.0,900,0
19,Aska,126,Hinjili,102,,,,,,,,240.0,26.0,478.0,11.0,9.0,14.0,778,0,36.0,814,0
19,Aska,126,Hinjili,103,,,,,,,,188.0,20.0,314.0,5.0,9.0,8.0,544,0,24.0,568,0
19,Aska,126,Hinjili,104,,,,,,,,187.0,50.0,397.0,7.0,7.0,5.0,653,0,5.0,658,0
19,Aska,126,Hinjili,105,,,,,,,,149.0,25.0,321.0,6.0,4.0,6.0,511,0,9.0,520,0
19,Aska,126,Hinjili,106,,,,,,,,80.0,9.0,355.0,9.0,6.0,6.0,465,0,12.0,477,0
19,Aska,126,Hinjili,107,,,,,,,,33.0,3.0,235.0,2.0,3.0,4.0,280,0,8.0,288,0
19,Aska,126,Hinjili,108,,,,,,,,62.0,156.0,267.0,7.0,2.0,8.0,502,0,14.0,516,0
19,Aska,126,Hinjili,109,,,,,,,,81.0,170.0,261.0,8.0,13.0,3.0,536,0,12.0,548,0
19,Aska,126,Hinjili,110,,,,,,,,143.0,207.0,307.0,13.0,16.0,4.0,690,0,15.0,705,0
19,Aska,126,Hinjili,111,,,,,,,,126.0,19.0,239.0,5.0,118.0,15.0,522,0,29.0,551,0
19,Aska,126,Hinjili,112,,,,,,,,77.0,18.0,211.0,4.0,46.0,1.0,357,0,15.0,372,0
19,Aska,126,Hinjili,113,,,,,,,,235.0,105.0,519.0,12.0,5.0,5.0,881,0,8.0,889,0
19,Aska,126,Hinjili,114,,,,,,,,30.0,56.0,189.0,3.0,3.0,2.0,283,0,13.0,296,0
19,Aska,126,Hinjili,115,,,,,,,,189.0,38.0,435.0,10.0,7.0,1.0,680,0,3.0,683,0
19,Aska,126,Hinjili,116,,,,,,,,128.0,42.0,365.0,4.0,5.0,3.0,547,0,9.0,556,0
19,Aska,126,Hinjili,117,,,,,,,,273.0,82.0,546.0,7.0,7.0,7.0,922,0,24.0,946,0
19,Aska,126,Hinjili,118,,,,,,,,nan,nan,nan,nan,nan,nan,0,0,nan,0,0
19,Aska,126,Hinjili,119,,,,,,,,76.0,126.0,507.0,15.0,6.0,8.0,738,0,17.0,755,0
19,Aska,126,Hinjili,120,,,,,,,,115.0,101.0,344.0,13.0,3.0,10.0,586,0,18.0,604,0
19,Aska,126,Hinjili,121,,,,,,,,113.0,112.0,428.0,7.0,3.0,2.0,665,0,11.0,676,0
19,Aska,126,Hinjili,122,,,,,,,,161.0,70.0,481.0,1.0,2.0,6.0,721,0,5.0,726,0
19,Aska,126,Hinjili,123,,,,,,,,70.0,267.0,296.0,16.0,8.0,4.0,661,0,11.0,672,0
19,Aska,126,Hinjili,124,,,,,,,,14.0,65.0,399.0,8.0,7.0,3.0,496,0,2.0,498,0
19,Aska,126,Hinjili,125,,,,,,,,55.0,10.0,299.0,6.0,5.0,2.0,377,0,9.0,386,0
19,Aska,126,Hinjili,126,,,,,,,,17.0,7.0,288.0,6.0,2.0,1.0,321,0,5.0,326,0
19,Aska,126,Hinjili,127,,,,,,,,211.0,30.0,423.0,10.0,13.0,13.0,700,0,31.0,731,0
19,Aska,126,Hinjili,128,,,,,,,,226.0,7.0,416.0,9.0,6.0,11.0,675,0,11.0,686,0
19,Aska,126,Hinjili,129,,,,,,,,96.0,19.0,566.0,10.0,14.0,8.0,713,0,11.0,724,0
19,Aska,126,Hinjili,130,,,,,,,,76.0,28.0,423.0,7.0,6.0,5.0,545,0,14.0,559,0
19,Aska,126,Hinjili,131,,,,,,,,149.0,16.0,636.0,17.0,11.0,6.0,835,0,17.0,852,0
19,Aska,126,Hinjili,132,,,,,,,,12.0,7.0,397.0,3.0,0.0,1.0,420,0,1.0,421,0
19,Aska,126,Hinjili,133,,,,,,,,310.0,19.0,380.0,6.0,2.0,7.0,724,0,11.0,735,0
19,Aska,126,Hinjili,134,,,,,,,,187.0,9.0,415.0,2.0,2.0,2.0,617,0,4.0,621,0
19,Aska,126,Hinjili,135,,,,,,,,121.0,14.0,248.0,3.0,3.0,2.0,391,0,4.0,395,0
19,Aska,126,Hinjili,136,,,,,,,,72.0,10.0,580.0,7.0,2.0,2.0,673,0,1.0,674,0
19,Aska,126,Hinjili,137,,,,,,,,200.0,11.0,406.0,12.0,4.0,9.0,642,0,6.0,648,0
19,Aska,126,Hinjili,138,,,,,,,,135.0,6.0,255.0,2.0,1.0,2.0,401,0,0.0,401,0
19,Aska,126,Hinjili,139,,,,,,,,233.0,23.0,356.0,8.0,7.0,8.0,635,0,17.0,652,0
