pc_id,pc_name,ac_id,ac_name,Sl. No . Of polling station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,No. of valid votes cast in favour of,No. of Rejected votes,NOTA,Total,No. of tender votes
17,Puri,117,Chilika,229,,,,,,,,221.0,213.0,5.0,0.0,4.0,0.0,0.0,0.0,443.0,0,4.0,447.0,0
17,Puri,117,Chilika,230,,,,,,,,127.0,253.0,10.0,0.0,16.0,0.0,1.0,0.0,407.0,0,0.0,407.0,0
17,Puri,117,Chilika,231,,,,,,,,128.0,193.0,3.0,1.0,2.0,1.0,1.0,0.0,329.0,0,1.0,330.0,0
17,Puri,117,Chilika,232,,,,,,,,318.0,406.0,7.0,1.0,5.0,1.0,0.0,0.0,738.0,0,0.0,738.0,0
17,Puri,117,Chilika,233,,,,,,,,311.0,263.0,12.0,1.0,8.0,2.0,0.0,2.0,599.0,0,0.0,599.0,0
17,Puri,117,Chilika,234,,,,,,,,529.0,465.0,8.0,2.0,3.0,1.0,1.0,0.0,1009.0,0,0.0,1009.0,0
17,Puri,117,Chilika,235,,,,,,,,214.0,281.0,23.0,2.0,8.0,6.0,5.0,2.0,541.0,0,4.0,545.0,0
17,Puri,117,Chilika,236,,,,,,,,148.0,335.0,64.0,4.0,32.0,2.0,1.0,0.0,586.0,0,5.0,591.0,0
17,Puri,117,Chilika,237,,,,,,,,300.0,321.0,66.0,2.0,8.0,4.0,1.0,2.0,704.0,0,8.0,712.0,0
17,Puri,117,Chilika,238,,,,,,,,167.0,178.0,23.0,0.0,4.0,1.0,0.0,0.0,373.0,0,2.0,375.0,0
17,Puri,117,Chilika,239,,,,,,,,302.0,214.0,49.0,0.0,3.0,1.0,1.0,0.0,570.0,0,2.0,572.0,0
17,Puri,117,Chilika,240,,,,,,,,397.0,342.0,38.0,2.0,7.0,2.0,1.0,3.0,792.0,0,2.0,794.0,0
17,Puri,117,Chilika,241,,,,,,,,372.0,420.0,14.0,3.0,7.0,2.0,4.0,2.0,824.0,0,6.0,830.0,0
17,Puri,117,Chilika,242,,,,,,,,483.0,358.0,36.0,1.0,6.0,2.0,0.0,2.0,888.0,0,5.0,893.0,0
17,Puri,117,Chilika,243,,,,,,,,274.0,256.0,22.0,3.0,6.0,1.0,3.0,1.0,566.0,0,9.0,575.0,0
17,Puri,117,Chilika,244,,,,,,,,216.0,227.0,30.0,2.0,2.0,1.0,0.0,0.0,478.0,0,0.0,478.0,0
17,Puri,117,Chilika,245,,,,,,,,467.0,372.0,19.0,0.0,14.0,4.0,7.0,2.0,885.0,0,8.0,893.0,0
17,Puri,117,Chilika,246,,,,,,,,255.0,194.0,8.0,0.0,2.0,0.0,3.0,1.0,463.0,0,7.0,470.0,0
17,Puri,117,Chilika,247,,,,,,,,280.0,236.0,3.0,0.0,7.0,4.0,0.0,1.0,531.0,0,0.0,531.0,0
17,Puri,117,Chilika,248,,,,,,,,277.0,255.0,20.0,0.0,16.0,2.0,5.0,13.0,588.0,0,8.0,596.0,0
17,Puri,117,Chilika,249,,,,,,,,325.0,252.0,19.0,1.0,4.0,1.0,5.0,5.0,612.0,0,4.0,616.0,0
17,Puri,117,Chilika,250,,,,,,,,420.0,370.0,8.0,1.0,4.0,6.0,4.0,2.0,815.0,0,8.0,823.0,0
17,Puri,117,Chilika,251,,,,,,,,371.0,494.0,8.0,0.0,18.0,4.0,5.0,3.0,903.0,0,9.0,912.0,0
17,Puri,117,Chilika,252,,,,,,,,277.0,468.0,11.0,3.0,33.0,3.0,4.0,2.0,801.0,0,8.0,809.0,0
17,Puri,117,Chilika,253,,,,,,,,289.0,407.0,6.0,3.0,85.0,3.0,3.0,7.0,803.0,0,12.0,815.0,0
17,Puri,117,Chilika,254,,,,,,,,350.0,234.0,6.0,1.0,29.0,5.0,3.0,20.0,648.0,0,8.0,656.0,0
17,Puri,117,Chilika,255,,,,,,,,91.0,137.0,5.0,1.0,0.0,0.0,0.0,3.0,237.0,0,2.0,239.0,0
