pc_id,pc_name,ac_id,ac_name,Booth No.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total Valid votes,No. of Rejected Votes,Votes for NOTA option,Total,No. of Tendered Votes
4,Keonjhar,22,Telkoi,38,,,,,,,,125,53,276,5,1,3,0,4,467,0,5.0,472,0
4,Keonjhar,22,Telkoi,39,,,,,,,,88,50,390,4,3,2,3,3,543,0,10.0,553,0
4,Keonjhar,22,Telkoi,40,,,,,,,,101,140,512,4,3,4,6,6,776,0,13.0,789,0
4,Keonjhar,22,Telkoi,41,,,,,,,,151,91,395,4,2,1,0,3,647,0,0.0,647,0
4,Keonjhar,22,Telkoi,42,,,,,,,,149,174,303,7,3,2,3,6,647,0,5.0,652,0
4,Keonjhar,22,Telkoi,43,,,,,,,,138,94,365,4,2,5,5,5,618,0,18.0,636,0
4,Keonjhar,22,Telkoi,44,,,,,,,,79,52,217,0,0,0,1,0,349,0,5.0,354,0
4,Keonjhar,22,Telkoi,45,,,,,,,,114,127,459,0,1,2,0,0,703,0,4.0,707,0
4,Keonjhar,22,Telkoi,46,,,,,,,,108,47,583,4,1,1,1,0,745,0,7.0,752,0
4,Keonjhar,22,Telkoi,47,,,,,,,,143,62,370,1,0,1,2,1,580,0,4.0,584,0
4,Keonjhar,22,Telkoi,48,,,,,,,,137,119,467,4,4,0,1,1,733,0,2.0,735,0
4,Keonjhar,22,Telkoi,49,,,,,,,,55,53,197,1,0,0,0,0,306,0,0.0,306,0
4,Keonjhar,22,Telkoi,50,,,,,,,,111,63,361,3,0,3,3,0,544,0,2.0,546,0
4,Keonjhar,22,Telkoi,51,,,,,,,,102,88,284,2,1,0,2,2,481,0,8.0,489,0
4,Keonjhar,22,Telkoi,52,,,,,,,,139,11,206,0,0,1,0,0,357,0,1.0,358,0
4,Keonjhar,22,Telkoi,53,,,,,,,,118,75,381,4,1,2,1,3,585,0,4.0,589,0
4,Keonjhar,22,Telkoi,54,,,,,,,,70,98,175,0,2,1,1,1,348,0,1.0,349,0
4,Keonjhar,22,Telkoi,55,,,,,,,,56,111,197,2,1,2,0,0,369,0,0.0,369,0
4,Keonjhar,22,Telkoi,56,,,,,,,,159,66,665,2,1,0,0,1,894,0,5.0,899,0
4,Keonjhar,22,Telkoi,57,,,,,,,,51,206,339,2,0,1,3,0,602,0,7.0,609,0
4,Keonjhar,22,Telkoi,58,,,,,,,,102,291,522,8,0,2,2,1,928,0,0.0,928,0
4,Keonjhar,22,Telkoi,59,,,,,,,,98,118,484,1,0,0,2,0,703,0,1.0,704,0
4,Keonjhar,22,Telkoi,60,,,,,,,,110,116,442,2,3,2,3,0,678,0,1.0,679,0
4,Keonjhar,22,Telkoi,61,,,,,,,,100,224,442,3,1,0,4,2,776,0,3.0,779,0
4,Keonjhar,22,Telkoi,62,,,,,,,,107,189,341,3,2,1,0,0,643,0,1.0,644,0
4,Keonjhar,22,Telkoi,63,,,,,,,,97,108,364,3,1,0,0,0,573,0,4.0,577,0
4,Keonjhar,22,Telkoi,64,,,,,,,,96,195,356,4,1,2,1,2,657,0,5.0,662,0
4,Keonjhar,22,Telkoi,65,,,,,,,,122,177,426,4,1,0,1,2,733,0,3.0,736,0
4,Keonjhar,22,Telkoi,66,,,,,,,,96,94,488,5,2,1,0,0,686,0,4.0,690,0
4,Keonjhar,22,Telkoi,67,,,,,,,,105,63,454,0,1,3,1,2,629,0,2.0,631,0
4,Keonjhar,22,Telkoi,68,,,,,,,,136,46,382,5,1,2,2,4,578,0,6.0,584,0
4,Keonjhar,22,Telkoi,69,,,,,,,,53,91,498,4,0,0,0,0,646,0,1.0,647,0
4,Keonjhar,22,Telkoi,70,,,,,,,,87,71,408,1,0,0,0,0,567,0,8.0,575,0
4,Keonjhar,22,Telkoi,71,,,,,,,,114,75,389,3,0,1,0,1,583,0,3.0,586,0
4,Keonjhar,22,Telkoi,72,,,,,,,,168,177,288,0,1,1,0,2,637,0,5.0,642,0
4,Keonjhar,22,Telkoi,73,,,,,,,,215,195,348,1,1,0,0,1,761,0,2.0,763,0
4,Keonjhar,22,Telkoi,74,,,,,,,,153,149,252,1,0,3,1,2,561,0,3.0,564,0
4,Keonjhar,22,Telkoi,75,,,,,,,,184,242,353,2,2,9,0,2,794,0,9.0,803,0
4,Keonjhar,22,Telkoi,76,,,,,,,,145,78,378,2,1,2,0,0,606,0,4.0,610,0
4,Keonjhar,22,Telkoi,77,,,,,,,,114,97,288,2,0,0,1,1,503,0,3.0,506,0
4,Keonjhar,22,Telkoi,78,,,,,,,,158,133,220,1,0,3,0,0,515,0,8.0,523,0
4,Keonjhar,22,Telkoi,79,,,,,,,,148,109,294,2,0,2,1,2,558,0,8.0,566,0
4,Keonjhar,22,Telkoi,80,,,,,,,,239,205,347,3,2,8,1,2,807,0,7.0,814,0
4,Keonjhar,22,Telkoi,81,,,,,,,,213,327,413,5,1,2,5,6,972,0,10.0,982,0
4,Keonjhar,22,Telkoi,82,,,,,,,,184,280,237,4,1,0,0,1,707,0,0.0,707,0
4,Keonjhar,22,Telkoi,83,,,,,,,,145,127,435,3,1,2,2,3,718,0,6.0,724,0
