pc_id,pc_name,ac_id,ac_name,Sl. No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Total No. of Valid Votes,No.of rejected votes      (Test votes),Votes for NOTA option,Total,No of Tendered Votes
11,Kalahandi,76,Bhawanipatna,147,,,,,,,,3,70,227,337,2,639,0,5,644,0
11,Kalahandi,76,Bhawanipatna,148,,,,,,,,20,12,212,353,16,613,0,11,624,0
11,Kalahandi,76,Bhawanipatna,149,,,,,,,,4,100,325,222,6,657,0,3,660,0
11,Kalahandi,76,Bhawanipatna,150,,,,,,,,6,70,391,270,12,749,0,19,768,0
11,Kalahandi,76,Bhawanipatna,151,,,,,,,,2,22,91,294,6,415,0,9,424,0
11,Kalahandi,76,Bhawanipatna,152,,,,,,,,5,99,284,203,6,597,0,7,604,0
11,Kalahandi,76,Bhawanipatna,153,,,,,,,,12,36,255,118,7,428,0,14,442,0
11,Kalahandi,76,Bhawanipatna,154,,,,,,,,6,10,215,14,3,248,0,7,255,0
11,Kalahandi,76,Bhawanipatna,155,,,,,,,,13,187,331,377,21,929,0,18,947,0
11,Kalahandi,76,Bhawanipatna,156,,,,,,,,9,77,253,406,14,759,0,23,782,0
11,Kalahandi,76,Bhawanipatna,157,,,,,,,,8,62,238,498,10,816,0,17,833,0
11,Kalahandi,76,Bhawanipatna,158,,,,,,,,11,99,299,347,7,763,0,17,780,0
11,Kalahandi,76,Bhawanipatna,159,,,,,,,,6,14,550,349,7,926,0,18,944,0
11,Kalahandi,76,Bhawanipatna,160,,,,,,,,15,69,379,446,27,936,0,26,962,0
11,Kalahandi,76,Bhawanipatna,161,,,,,,,,8,41,359,216,14,638,0,16,654,0
11,Kalahandi,76,Bhawanipatna,162,,,,,,,,13,70,124,683,23,913,0,15,928,0
11,Kalahandi,76,Bhawanipatna,163,,,,,,,,15,47,488,552,13,1115,0,10,1125,0
11,Kalahandi,76,Bhawanipatna,164,,,,,,,,6,35,197,517,18,773,0,24,797,0
11,Kalahandi,76,Bhawanipatna,165,,,,,,,,11,27,372,285,21,716,0,15,731,0
11,Kalahandi,76,Bhawanipatna,166,,,,,,,,2,27,185,253,2,469,0,3,472,0
11,Kalahandi,76,Bhawanipatna,167,,,,,,,,10,69,376,286,21,762,0,19,781,0
11,Kalahandi,76,Bhawanipatna,168,,,,,,,,18,57,394,283,16,768,0,11,779,0
11,Kalahandi,76,Bhawanipatna,169,,,,,,,,3,16,419,50,11,499,0,16,515,0
11,Kalahandi,76,Bhawanipatna,170,,,,,,,,9,108,314,387,14,832,0,9,841,0
11,Kalahandi,76,Bhawanipatna,171,,,,,,,,13,44,270,193,8,528,0,13,541,0
11,Kalahandi,76,Bhawanipatna,172,,,,,,,,9,124,210,323,7,673,0,6,679,0
11,Kalahandi,76,Bhawanipatna,173,,,,,,,,19,142,337,425,17,940,0,18,958,0
11,Kalahandi,76,Bhawanipatna,174,,,,,,,,6,199,213,492,12,922,0,6,928,0
11,Kalahandi,76,Bhawanipatna,175,,,,,,,,1,7,197,171,7,383,0,6,389,0
11,Kalahandi,76,Bhawanipatna,176,,,,,,,,9,137,333,302,12,793,0,38,831,0
11,Kalahandi,76,Bhawanipatna,177,,,,,,,,8,38,546,337,9,938,0,11,949,0
11,Kalahandi,76,Bhawanipatna,178,,,,,,,,5,57,240,280,9,591,0,11,602,0
11,Kalahandi,76,Bhawanipatna,179,,,,,,,,4,14,240,226,8,492,0,4,496,0
11,Kalahandi,76,Bhawanipatna,180,,,,,,,,4,32,131,419,8,594,0,4,598,0
11,Kalahandi,76,Bhawanipatna,181,,,,,,,,8,45,308,368,10,739,0,14,753,0
11,Kalahandi,76,Bhawanipatna,182,,,,,,,,3,69,255,320,10,657,0,5,662,0
11,Kalahandi,76,Bhawanipatna,183,,,,,,,,10,45,227,271,10,563,0,13,576,0
