pc_id,pc_name,ac_id,ac_name,Serial No.of Polling station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Total of valid votes,No of rejected votes (Test votes),Voter for NOTA option,Total,No of tendered votes
6,Balasore,37,Jaleswar,216,,,,,,,,1,231,269,1,124,1,0,0,5,0,632,0.0,2,634,nan
6,Balasore,37,Jaleswar,217,,,,,,,,0,286,266,4,74,2,0,0,0,0,632,0.0,0,632,nan
6,Balasore,37,Jaleswar,218,,,,,,,,6,535,404,1,88,0,0,1,3,1,1039,0.0,3,1042,nan
6,Balasore,37,Jaleswar,219,,,,,,,,2,188,261,2,63,0,0,0,1,1,518,0.0,0,518,nan
6,Balasore,37,Jaleswar,220,,,,,,,,1,392,247,0,97,1,1,1,3,0,743,0.0,7,750,nan
6,Balasore,37,Jaleswar,221,,,,,,,,2,351,257,1,88,1,0,0,2,1,703,0.0,0,703,nan
6,Balasore,37,Jaleswar,222,,,,,,,,4,399,302,0,108,0,0,0,5,0,818,0.0,1,819,nan
6,Balasore,37,Jaleswar,223,,,,,,,,4,455,404,2,122,0,1,0,2,0,990,0.0,0,990,nan
6,Balasore,37,Jaleswar,224,,,,,,,,2,253,122,0,25,0,0,0,3,0,405,0.0,0,405,nan
6,Balasore,37,Jaleswar,225,,,,,,,,8,427,463,0,84,0,0,0,0,0,982,0.0,1,983,nan
6,Balasore,37,Jaleswar,226,,,,,,,,2,318,533,0,54,0,0,0,2,1,910,0.0,1,911,nan
6,Balasore,37,Jaleswar,227,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,nan
6,Balasore,37,Jaleswar,228,,,,,,,,2,553,288,1,111,0,0,0,2,0,957,0.0,0,957,nan
6,Balasore,37,Jaleswar,229,,,,,,,,2,225,261,1,32,0,0,0,1,0,522,0.0,0,522,nan
