pc_id,pc_name,ac_id,ac_name,Booth No.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Total Valid Votes,No fo rejected Votes (Test votes),Votes for NOTA Option,Total,No of Tendered votes
7,Bhadrak,47,Basudevpur,34,,,,,,,,4,51,331,313,4,1,1,705,0,1,706,0
7,Bhadrak,47,Basudevpur,35,,,,,,,,9,4,213,236,3,0,0,465,0,3,468,0
7,Bhadrak,47,Basudevpur,36,,,,,,,,3,41,355,177,3,0,1,580,0,1,581,0
7,Bhadrak,47,Basudevpur,37,,,,,,,,4,69,490,205,7,2,1,778,0,2,780,0
7,Bhadrak,47,Basudevpur,38,,,,,,,,0,61,209,143,0,0,0,413,0,0,413,0
7,Bhadrak,47,Basudevpur,39,,,,,,,,9,110,245,341,4,0,0,709,0,2,711,0
7,Bhadrak,47,Basudevpur,40,,,,,,,,5,176,264,438,5,1,1,890,0,3,893,0
7,Bhadrak,47,Basudevpur,41,,,,,,,,2,3,285,311,3,0,2,606,0,5,611,0
7,Bhadrak,47,Basudevpur,42,,,,,,,,2,35,240,157,1,0,0,435,0,1,436,0
7,Bhadrak,47,Basudevpur,43,,,,,,,,10,69,385,379,16,0,4,863,0,10,873,0
7,Bhadrak,47,Basudevpur,44,,,,,,,,3,89,349,81,0,0,1,523,0,4,527,0
7,Bhadrak,47,Basudevpur,45,,,,,,,,5,187,311,213,5,0,0,721,0,2,723,0
7,Bhadrak,47,Basudevpur,46,,,,,,,,3,18,591,276,2,0,1,891,0,0,891,0
7,Bhadrak,47,Basudevpur,47,,,,,,,,2,29,336,226,2,0,1,596,0,5,601,0
7,Bhadrak,47,Basudevpur,48,,,,,,,,2,81,341,366,2,0,0,792,0,1,793,0
7,Bhadrak,47,Basudevpur,49,,,,,,,,4,148,374,327,5,2,0,860,0,2,862,0
7,Bhadrak,47,Basudevpur,50,,,,,,,,2,244,210,134,0,0,1,591,0,2,593,0
7,Bhadrak,47,Basudevpur,51,,,,,,,,1,91,218,197,0,0,0,507,0,1,508,0
7,Bhadrak,47,Basudevpur,52,,,,,,,,4,221,440,318,0,0,0,983,0,0,983,0
7,Bhadrak,47,Basudevpur,53,,,,,,,,0,121,116,96,1,0,1,335,0,2,337,0
7,Bhadrak,47,Basudevpur,54,,,,,,,,4,93,402,368,1,0,58,926,0,1,927,0
