pc_id,pc_name,ac_id,ac_name,Serion No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Total of valid votes,No. of rejected Votes (Test Votes),Votes for NOTA option,Total,No. of tendered votes
5,Mayurbhanj,28,Morada,242,,,,,,,,9,317,341,4,82,3,5,5,10,776,nan,12,788,nan
5,Mayurbhanj,28,Morada,243,,,,,,,,3,107,115,3,175,2,1,6,0,412,nan,6,418,nan
5,Mayurbhanj,28,Morada,244,,,,,,,,12,340,395,10,41,6,9,7,4,824,nan,5,829,nan
5,Mayurbhanj,28,Morada,245,,,,,,,,5,189,153,2,33,1,3,3,3,392,nan,2,394,nan
5,Mayurbhanj,28,Morada,246,,,,,,,,3,277,168,2,50,0,4,1,0,505,nan,4,509,nan
5,Mayurbhanj,28,Morada,247,,,,,,,,3,434,212,3,71,1,3,15,4,746,nan,15,761,nan
5,Mayurbhanj,28,Morada,248,,,,,,,,3,210,93,0,28,0,0,2,2,338,nan,4,342,nan
5,Mayurbhanj,28,Morada,249,,,,,,,,11,432,265,1,16,0,0,8,2,735,nan,6,741,nan
5,Mayurbhanj,28,Morada,250,,,,,,,,11,415,287,4,14,0,1,4,0,736,nan,4,740,nan
5,Mayurbhanj,28,Morada,251,,,,,,,,9,360,297,0,29,1,3,6,4,709,nan,14,723,nan
5,Mayurbhanj,28,Morada,252,,,,,,,,4,496,264,2,19,0,0,5,7,797,nan,9,806,nan
5,Mayurbhanj,28,Morada,253,,,,,,,,9,427,440,3,89,4,1,3,1,977,nan,8,985,nan
5,Mayurbhanj,28,Morada,254,,,,,,,,4,405,141,1,10,1,0,2,0,564,nan,2,566,nan
5,Mayurbhanj,28,Morada,255,,,,,,,,2,472,206,2,21,0,0,0,0,703,nan,8,711,nan
5,Mayurbhanj,28,Morada,256,,,,,,,,5,605,207,2,9,1,0,3,1,833,nan,17,850,nan
5,Mayurbhanj,28,Morada,257,,,,,,,,12,552,354,3,35,2,1,12,3,974,nan,10,984,nan
5,Mayurbhanj,28,Morada,258,,,,,,,,15,470,273,4,10,1,1,4,2,780,nan,2,782,nan
5,Mayurbhanj,28,Morada,259,,,,,,,,6,477,164,1,5,0,3,1,1,658,nan,4,662,nan
5,Mayurbhanj,28,Morada,260,,,,,,,,6,492,174,0,5,1,3,4,0,685,nan,10,695,nan
