pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of valid votes,No. of rejected votes (Test votes),Votes for NOTA option,Total No. of tendered votes
3,Sambalpur,14,Athamallik,215,,,,,,,,217,15,252,121,17,4,18,224,868,nan,4,nan
3,Sambalpur,14,Athamallik,216,,,,,,,,117,0,137,153,1,2,1,6,417,nan,1,nan
3,Sambalpur,14,Athamallik,217,,,,,,,,150,11,244,220,5,5,9,83,727,nan,9,nan
3,Sambalpur,14,Athamallik,218,,,,,,,,44,8,93,122,5,3,5,109,389,nan,7,nan
3,Sambalpur,14,Athamallik,220,,,,,,,,169,4,187,143,5,3,89,1,601,nan,0,nan
3,Sambalpur,14,Athamallik,221,,,,,,,,231,5,298,126,3,5,125,7,800,nan,4,nan
3,Sambalpur,14,Athamallik,222,,,,,,,,147,3,349,241,5,4,19,1,769,nan,7,nan
3,Sambalpur,14,Athamallik,223,,,,,,,,90,3,181,44,2,2,51,1,374,nan,1,nan
3,Sambalpur,14,Athamallik,224,,,,,,,,140,7,263,455,14,7,21,10,917,nan,25,nan
3,Sambalpur,14,Athamallik,225,,,,,,,,204,2,277,90,1,0,5,1,580,nan,0,nan
3,Sambalpur,14,Athamallik,226,,,,,,,,97,4,147,117,3,4,34,5,411,nan,5,nan
3,Sambalpur,14,Athamallik,227,,,,,,,,88,2,293,123,3,1,3,1,514,nan,3,nan
3,Sambalpur,14,Athamallik,228,,,,,,,,40,1,222,73,1,0,1,4,342,nan,2,nan
3,Sambalpur,14,Athamallik,229,,,,,,,,107,2,103,105,3,1,1,2,324,nan,4,nan
3,Sambalpur,14,Athamallik,230,,,,,,,,200,13,270,214,4,7,24,19,751,nan,10,nan
3,Sambalpur,14,Athamallik,231,,,,,,,,64,3,170,188,6,2,1,1,435,nan,2,nan
3,Sambalpur,14,Athamallik,232,,,,,,,,79,3,146,173,1,0,1,8,411,nan,3,nan
3,Sambalpur,14,Athamallik,233,,,,,,,,110,5,142,84,6,3,15,166,531,nan,14,nan
3,Sambalpur,14,Athamallik,234,,,,,,,,183,14,129,193,17,10,21,271,838,nan,24,nan
3,Sambalpur,14,Athamallik,235,,,,,,,,69,8,127,153,5,6,7,83,458,nan,12,nan
3,Sambalpur,14,Athamallik,236,,,,,,,,223,7,143,88,2,5,9,14,491,nan,15,nan
3,Sambalpur,14,Athamallik,237,,,,,,,,56,3,38,47,7,2,12,137,302,nan,4,nan
3,Sambalpur,14,Athamallik,238,,,,,,,,295,5,267,268,9,9,19,23,895,nan,11,nan
3,Sambalpur,14,Athamallik,239,,,,,,,,200,5,173,91,0,1,8,6,484,nan,3,nan
3,Sambalpur,14,Athamallik,240,,,,,,,,82,4,143,156,3,4,11,36,439,nan,3,nan
3,Sambalpur,14,Athamallik,241,,,,,,,,53,7,183,201,5,6,137,13,605,nan,20,nan
3,Sambalpur,14,Athamallik,242,,,,,,,,103,6,62,158,14,6,301,10,660,nan,15,nan
3,Sambalpur,14,Athamallik,243,,,,,,,,41,1,44,231,8,5,74,21,425,nan,11,nan
3,Sambalpur,14,Athamallik,244,,,,,,,,194,6,74,108,8,8,38,7,443,nan,36,nan
3,Sambalpur,14,Athamallik,245,,,,,,,,96,2,140,212,6,7,108,14,585,nan,14,nan
3,Sambalpur,14,Athamallik,246,,,,,,,,179,5,115,249,8,5,191,8,760,nan,18,nan
3,Sambalpur,14,Athamallik,247,,,,,,,,18,0,81,182,7,1,10,0,299,nan,4,nan
3,Sambalpur,14,Athamallik,248,,,,,,,,52,5,112,227,11,11,93,7,518,nan,14,nan
3,Sambalpur,14,Athamallik,249,,,,,,,,197,10,199,350,11,10,43,12,832,nan,12,nan
3,Sambalpur,14,Athamallik,250,,,,,,,,187,4,202,286,5,9,60,12,765,nan,12,nan
3,Sambalpur,14,Athamallik,251,,,,,,,,47,24,107,222,13,7,42,248,710,nan,30,nan
3,Sambalpur,14,Athamallik,252,,,,,,,,16,17,40,157,8,0,5,2,245,nan,2,nan
3,Sambalpur,14,Athamallik,253,,,,,,,,203,4,220,248,2,6,22,4,709,nan,7,nan
3,Sambalpur,14,Athamallik,254,,,,,,,,23,3,43,199,4,2,3,5,282,nan,1,nan
3,Sambalpur,14,Athamallik,255,,,,,,,,144,6,197,562,7,9,20,3,948,nan,3,nan
3,Sambalpur,14,Athamallik,256,,,,,,,,91,6,66,406,10,4,22,4,609,nan,5,nan
3,Sambalpur,14,Athamallik,257,,,,,,,,54,1,202,145,1,1,1,0,405,nan,3,nan
3,Sambalpur,14,Athamallik,258,,,,,,,,241,5,264,235,4,4,12,1,766,nan,5,nan
3,Sambalpur,14,Athamallik,259,,,,,,,,122,10,224,229,3,4,4,1,597,nan,3,nan
3,Sambalpur,14,Athamallik,260,,,,,,,,205,6,274,260,3,8,41,1,798,nan,15,nan
3,Sambalpur,14,Athamallik,261,,,,,,,,186,13,255,296,13,14,47,8,832,nan,24,nan
3,Sambalpur,14,Athamallik,262,,,,,,,,225,7,309,304,7,10,7,2,871,nan,9,nan
3,Sambalpur,14,Athamallik,263,,,,,,,,16,4,39,78,3,1,1,0,142,nan,1,nan
3,Sambalpur,14,Athamallik,264,,,,,,,,48,2,94,253,4,8,4,8,421,nan,9,nan
3,Sambalpur,14,Athamallik,265,,,,,,,,50,1,173,116,2,1,14,0,357,nan,4,nan
3,Sambalpur,14,Athamallik,266,,,,,,,,186,9,228,265,6,7,98,2,801,nan,7,nan
3,Sambalpur,14,Athamallik,267,,,,,,,,224,4,113,280,8,5,57,0,691,nan,4,nan
3,Sambalpur,14,Athamallik,268,,,,,,,,61,13,218,339,19,7,14,139,810,nan,26,nan
3,Sambalpur,14,Athamallik,269,,,,,,,,44,3,22,110,7,2,51,4,243,nan,5,nan
3,Sambalpur,14,Athamallik,270,,,,,,,,62,10,110,335,10,13,50,12,602,nan,14,nan
3,Sambalpur,14,Athamallik,271,,,,,,,,126,3,86,232,6,7,267,9,736,nan,18,nan
3,Sambalpur,14,Athamallik,272,,,,,,,,122,6,80,323,2,7,218,6,764,nan,13,nan
3,Sambalpur,14,Athamallik,273,,,,,,,,221,3,98,209,5,7,129,10,682,nan,11,nan
3,Sambalpur,14,Athamallik,274,,,,,,,,169,2,145,241,8,10,100,13,688,nan,15,nan
3,Sambalpur,14,Athamallik,275,,,,,,,,161,9,103,289,7,12,201,4,786,nan,11,nan
3,Sambalpur,14,Athamallik,276,,,,,,,,74,6,167,66,5,7,62,2,389,nan,8,nan
3,Sambalpur,14,Athamallik,277,,,,,,,,183,13,175,220,20,8,172,6,797,nan,12,nan
3,Sambalpur,14,Athamallik,278,,,,,,,,108,3,181,259,8,16,156,9,740,nan,18,nan
3,Sambalpur,14,Athamallik,279,,,,,,,,6,5,48,65,4,2,4,3,137,nan,9,nan
3,Sambalpur,14,Athamallik,280,,,,,,,,41,2,62,127,8,4,51,3,298,nan,12,nan
3,Sambalpur,14,Athamallik,281,,,,,,,,132,8,230,309,9,1,27,4,720,nan,9,nan
3,Sambalpur,14,Athamallik,282,,,,,,,,54,1,84,88,7,12,24,3,273,nan,5,nan
3,Sambalpur,14,Athamallik,283,,,,,,,,25,4,54,119,6,4,152,3,367,nan,11,nan
3,Sambalpur,14,Athamallik,284,,,,,,,,95,5,226,269,10,12,129,6,752,nan,22,nan
3,Sambalpur,14,Athamallik,285,,,,,,,,56,5,79,161,16,9,66,13,405,nan,10,nan
3,Sambalpur,14,Athamallik,286,,,,,,,,128,5,128,220,11,6,102,4,604,nan,16,nan
3,Sambalpur,14,Athamallik,287,,,,,,,,31,3,102,119,5,2,49,1,312,nan,6,nan
3,Sambalpur,14,Athamallik,288,,,,,,,,119,1,225,228,16,8,142,2,741,nan,7,nan
3,Sambalpur,14,Athamallik,289,,,,,,,,98,8,137,107,10,3,129,12,504,nan,3,nan
