pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Candidate 13,Candidate 14,Candidate 15,Candidate 16,Total of valid votes,No. of rejected votes,NOTA,Total,No of tendered votes
4,Keonjhar,25,Patna,104,,,,,,,,17,279,537,27,5,7,4,18,4,13,3,7,12,5,1,3,942,nan,4,946,nan
4,Keonjhar,25,Patna,105,,,,,,,,8,289,504,27,1,3,4,5,3,10,4,1,6,6,4,5,880,nan,5,885,nan
4,Keonjhar,25,Patna,106,,,,,,,,4,191,434,14,0,1,0,1,1,3,0,1,0,0,5,1,656,nan,6,662,nan
4,Keonjhar,25,Patna,107,,,,,,,,9,265,503,32,6,8,5,4,2,8,8,2,5,7,10,8,882,nan,2,884,nan
4,Keonjhar,25,Patna,108,,,,,,,,17,327,531,29,1,5,1,4,5,4,4,1,1,3,4,5,942,nan,5,947,nan
4,Keonjhar,25,Patna,109,,,,,,,,9,147,222,15,2,0,2,2,1,2,1,1,1,0,32,0,437,nan,3,440,nan
4,Keonjhar,25,Patna,110,,,,,,,,6,198,121,7,2,1,1,1,2,6,0,2,1,3,9,8,368,nan,7,375,nan
4,Keonjhar,25,Patna,111,,,,,,,,6,172,256,5,0,2,2,2,3,6,4,1,0,1,1,5,466,nan,1,467,nan
4,Keonjhar,25,Patna,112,,,,,,,,6,349,338,33,1,1,2,2,1,3,0,0,6,1,2,0,745,nan,1,746,nan
4,Keonjhar,25,Patna,113,,,,,,,,5,298,271,16,1,2,2,5,2,6,1,2,1,1,3,1,617,nan,7,624,nan
4,Keonjhar,25,Patna,114,,,,,,,,9,235,149,11,1,2,10,2,2,4,1,2,3,3,2,6,442,nan,5,447,nan
