pc_id,pc_name,ac_id,ac_name,Sl.No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
19,Aska,127,Polasara,175,,,,,,,,32.0,148.0,4.0,261.0,6.0,1.0,0.0,5.0,457.0,0,4.0,461.0,0
19,Aska,127,Polasara,176,,,,,,,,5.0,197.0,4.0,257.0,9.0,6.0,5.0,8.0,491.0,0,9.0,500.0,0
19,Aska,127,Polasara,177,,,,,,,,6.0,104.0,3.0,153.0,3.0,0.0,2.0,1.0,272.0,0,2.0,274.0,0
19,Aska,127,Polasara,178,,,,,,,,32.0,155.0,2.0,140.0,5.0,3.0,0.0,2.0,339.0,0,0.0,339.0,0
19,Aska,127,Polasara,179,,,,,,,,5.0,141.0,7.0,177.0,2.0,1.0,0.0,4.0,337.0,0,4.0,341.0,0
19,Aska,127,Polasara,180,,,,,,,,13.0,131.0,12.0,516.0,5.0,3.0,2.0,1.0,683.0,0,4.0,687.0,0
19,Aska,127,Polasara,181,,,,,,,,37.0,130.0,9.0,473.0,6.0,3.0,2.0,1.0,661.0,0,0.0,661.0,0
19,Aska,127,Polasara,182,,,,,,,,66.0,162.0,7.0,264.0,6.0,5.0,9.0,9.0,528.0,0,15.0,543.0,0
19,Aska,127,Polasara,183,,,,,,,,5.0,72.0,2.0,183.0,4.0,1.0,0.0,1.0,268.0,0,0.0,268.0,0
19,Aska,127,Polasara,184,,,,,,,,2.0,88.0,7.0,173.0,5.0,1.0,0.0,2.0,278.0,0,1.0,279.0,0
19,Aska,127,Polasara,185,,,,,,,,35.0,214.0,7.0,261.0,6.0,6.0,1.0,2.0,532.0,0,5.0,537.0,0
19,Aska,127,Polasara,186,,,,,,,,96.0,205.0,10.0,276.0,9.0,5.0,6.0,8.0,615.0,0,22.0,637.0,0
19,Aska,127,Polasara,187,,,,,,,,14.0,288.0,7.0,249.0,6.0,9.0,12.0,12.0,597.0,0,26.0,623.0,0
19,Aska,127,Polasara,nan,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,nan,0,nan,nan,0
19,Aska,127,Polasara,188,,,,,,,,17.0,86.0,8.0,285.0,4.0,0.0,1.0,1.0,402.0,0,0.0,402.0,0
19,Aska,127,Polasara,189,,,,,,,,135.0,164.0,13.0,429.0,5.0,10.0,8.0,9.0,773.0,0,15.0,788.0,0
19,Aska,127,Polasara,190,,,,,,,,99.0,127.0,10.0,223.0,2.0,0.0,5.0,2.0,468.0,0,9.0,477.0,0
