pc_id,pc_name,ac_id,ac_name,Sl. No. Of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total valid votes,No. Of rejected votes (Test Votes),Votes for NOTA option,Total,No. of Tendered Votes
9,Dhenkanal,62,Talcher,124,,,,,,,,266.0,6.0,187.0,377.0,17.0,4.0,2.0,2.0,861.0,0.0,3.0,864.0,0.0
9,Dhenkanal,62,Talcher,125,,,,,,,,154.0,1.0,287.0,559.0,3.0,3.0,2.0,1.0,1010.0,0.0,4.0,1014.0,0.0
9,Dhenkanal,62,Talcher,126,,,,,,,,445.0,11.0,61.0,284.0,3.0,2.0,2.0,1.0,809.0,0.0,4.0,813.0,0.0
9,Dhenkanal,62,Talcher,127,,,,,,,,183.0,5.0,30.0,222.0,0.0,3.0,1.0,0.0,444.0,0.0,2.0,446.0,0.0
9,Dhenkanal,62,Talcher,128,,,,,,,,292.0,4.0,19.0,546.0,4.0,2.0,1.0,2.0,870.0,0.0,3.0,873.0,0.0
9,Dhenkanal,62,Talcher,129,,,,,,,,301.0,7.0,46.0,302.0,4.0,3.0,2.0,3.0,668.0,0.0,14.0,682.0,0.0
9,Dhenkanal,62,Talcher,130,,,,,,,,418.0,6.0,74.0,299.0,2.0,22.0,1.0,1.0,823.0,0.0,2.0,825.0,0.0
9,Dhenkanal,62,Talcher,131,,,,,,,,475.0,10.0,100.0,381.0,2.0,7.0,2.0,1.0,978.0,0.0,5.0,983.0,0.0
9,Dhenkanal,62,Talcher,132,,,,,,,,349.0,11.0,192.0,513.0,1.0,5.0,0.0,2.0,1073.0,0.0,7.0,1080.0,0.0
9,Dhenkanal,62,Talcher,133,,,,,,,,518.0,10.0,67.0,561.0,3.0,2.0,2.0,2.0,1165.0,0.0,4.0,1169.0,0.0
9,Dhenkanal,62,Talcher,134,,,,,,,,372.0,0.0,33.0,602.0,2.0,2.0,0.0,4.0,1015.0,0.0,5.0,1020.0,0.0
