pc_id,pc_name,ac_id,ac_name,Sl. No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total Valid Votes,No. of rejected votes,Votes for NOTA,Total no. of tendered votes,Total votes
20,Berhampur,138,Chikiti,241,,,,,,,,11.0,37.0,162.0,67.0,149.0,8.0,434.0,0.0,7.0,0.0,441.0
20,Berhampur,138,Chikiti,242,,,,,,,,9.0,15.0,226.0,40.0,96.0,8.0,394.0,0.0,16.0,0.0,410.0
20,Berhampur,138,Chikiti,243,,,,,,,,7.0,56.0,77.0,30.0,208.0,5.0,383.0,0.0,11.0,0.0,394.0
20,Berhampur,138,Chikiti,244,,,,,,,,8.0,38.0,108.0,48.0,82.0,0.0,284.0,0.0,8.0,0.0,292.0
20,Berhampur,138,Chikiti,245,,,,,,,,21.0,76.0,340.0,105.0,145.0,14.0,701.0,0.0,44.0,0.0,745.0
20,Berhampur,138,Chikiti,246,,,,,,,,4.0,84.0,210.0,162.0,131.0,14.0,605.0,0.0,9.0,0.0,614.0
20,Berhampur,138,Chikiti,247,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Berhampur,138,Chikiti,248,,,,,,,,18.0,154.0,356.0,20.0,134.0,10.0,692.0,0.0,35.0,0.0,727.0
20,Berhampur,138,Chikiti,249,,,,,,,,44.0,388.0,148.0,31.0,38.0,15.0,664.0,0.0,25.0,0.0,689.0
20,Berhampur,138,Chikiti,250,,,,,,,,2.0,178.0,70.0,4.0,28.0,2.0,284.0,0.0,3.0,0.0,287.0
20,Berhampur,138,Chikiti,251,,,,,,,,10.0,237.0,13.0,9.0,6.0,3.0,278.0,0.0,8.0,0.0,286.0
20,Berhampur,138,Chikiti,252,,,,,,,,6.0,314.0,173.0,22.0,169.0,10.0,694.0,0.0,20.0,0.0,714.0
20,Berhampur,138,Chikiti,253,,,,,,,,24.0,343.0,51.0,17.0,273.0,7.0,715.0,0.0,21.0,0.0,736.0
20,Berhampur,138,Chikiti,254,,,,,,,,14.0,410.0,137.0,17.0,78.0,21.0,677.0,0.0,41.0,0.0,718.0
20,Berhampur,138,Chikiti,255,,,,,,,,0.0,176.0,11.0,2.0,4.0,2.0,195.0,0.0,0.0,0.0,195.0
20,Berhampur,138,Chikiti,256,,,,,,,,2.0,325.0,185.0,25.0,37.0,1.0,575.0,0.0,0.0,0.0,575.0
20,Berhampur,138,Chikiti,257,,,,,,,,4.0,295.0,29.0,5.0,3.0,5.0,341.0,0.0,13.0,0.0,354.0
20,Berhampur,138,Chikiti,258,,,,,,,,18.0,397.0,173.0,37.0,30.0,32.0,687.0,0.0,53.0,0.0,740.0
20,Berhampur,138,Chikiti,259,,,,,,,,6.0,307.0,50.0,4.0,23.0,1.0,391.0,0.0,3.0,0.0,394.0
20,Berhampur,138,Chikiti,260,,,,,,,,22.0,343.0,57.0,19.0,36.0,17.0,494.0,0.0,22.0,0.0,516.0
20,Berhampur,138,Chikiti,261,,,,,,,,4.0,310.0,13.0,3.0,10.0,0.0,340.0,0.0,5.0,0.0,345.0
20,Berhampur,138,Chikiti,262,,,,,,,,3.0,250.0,13.0,5.0,10.0,1.0,282.0,0.0,4.0,0.0,286.0
20,Berhampur,138,Chikiti,263,,,,,,,,5.0,331.0,169.0,14.0,153.0,11.0,683.0,0.0,35.0,0.0,718.0
20,Berhampur,138,Chikiti,264,,,,,,,,11.0,192.0,45.0,7.0,64.0,5.0,324.0,0.0,7.0,0.0,331.0
20,Berhampur,138,Chikiti,265,,,,,,,,17.0,160.0,198.0,105.0,116.0,25.0,621.0,0.0,22.0,0.0,643.0
20,Berhampur,138,Chikiti,266,,,,,,,,10.0,20.0,137.0,53.0,94.0,3.0,317.0,0.0,10.0,0.0,327.0
20,Berhampur,138,Chikiti,267,,,,,,,,7.0,14.0,59.0,38.0,254.0,80.0,452.0,0.0,8.0,0.0,460.0
20,Berhampur,138,Chikiti,268,,,,,,,,26.0,94.0,189.0,96.0,411.0,27.0,843.0,0.0,18.0,0.0,861.0
20,Berhampur,138,Chikiti,269,,,,,,,,14.0,30.0,232.0,56.0,211.0,11.0,554.0,0.0,16.0,0.0,570.0
20,Berhampur,138,Chikiti,270,,,,,,,,17.0,43.0,264.0,78.0,352.0,11.0,765.0,0.0,19.0,0.0,784.0
20,Berhampur,138,Chikiti,271,,,,,,,,10.0,62.0,152.0,106.0,126.0,27.0,483.0,0.0,4.0,0.0,487.0
20,Berhampur,138,Chikiti,272,,,,,,,,39.0,40.0,202.0,28.0,116.0,49.0,474.0,0.0,7.0,0.0,481.0
20,Berhampur,138,Chikiti,273,,,,,,,,13.0,79.0,54.0,13.0,173.0,17.0,349.0,0.0,29.0,0.0,378.0
20,Berhampur,138,Chikiti,274,,,,,,,,7.0,29.0,33.0,10.0,240.0,9.0,328.0,0.0,10.0,0.0,338.0
20,Berhampur,138,Chikiti,275,,,,,,,,17.0,60.0,102.0,11.0,200.0,20.0,410.0,0.0,26.0,0.0,436.0
20,Berhampur,138,Chikiti,276,,,,,,,,10.0,117.0,202.0,92.0,101.0,21.0,543.0,0.0,39.0,0.0,582.0
20,Berhampur,138,Chikiti,277,,,,,,,,13.0,189.0,162.0,60.0,342.0,19.0,785.0,0.0,21.0,0.0,806.0
20,Berhampur,138,Chikiti,278,,,,,,,,3.0,233.0,122.0,13.0,126.0,11.0,508.0,0.0,9.0,0.0,517.0
20,Berhampur,138,Chikiti,279,,,,,,,,3.0,110.0,56.0,10.0,93.0,6.0,278.0,0.0,3.0,0.0,281.0
20,Berhampur,138,Chikiti,280,,,,,,,,17.0,113.0,233.0,7.0,6.0,3.0,379.0,0.0,4.0,0.0,383.0
20,Berhampur,138,Chikiti,281,,,,,,,,20.0,176.0,258.0,14.0,29.0,6.0,503.0,0.0,16.0,0.0,519.0
20,Berhampur,138,Chikiti,282,,,,,,,,12.0,213.0,181.0,16.0,18.0,3.0,443.0,0.0,10.0,0.0,453.0
20,Berhampur,138,Chikiti,283,,,,,,,,13.0,195.0,452.0,42.0,60.0,10.0,772.0,0.0,10.0,0.0,782.0
20,Berhampur,138,Chikiti,284,,,,,,,,11.0,169.0,225.0,12.0,324.0,4.0,745.0,0.0,7.0,0.0,752.0
