pc_id,pc_name,ac_id,ac_name,Polling Booth No,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Total of Valid Votes,No of Rejected Votes,NOTA,Total,No Of Tendered Votes
5,Mayurbhanj,30,Saraskana,36,,,,,,,,9,0,377,229,62,2,1,1,7,0,688,0,5,693,0
5,Mayurbhanj,30,Saraskana,37,,,,,,,,23,4,463,265,138,1,5,3,4,1,907,0,7,914,0
5,Mayurbhanj,30,Saraskana,38,,,,,,,,9,2,295,206,143,4,3,5,6,0,673,0,5,678,0
5,Mayurbhanj,30,Saraskana,39,,,,,,,,7,5,379,216,40,4,0,2,2,0,655,0,4,659,0
5,Mayurbhanj,30,Saraskana,40,,,,,,,,6,3,320,242,30,3,1,4,1,1,611,0,6,617,0
5,Mayurbhanj,30,Saraskana,41,,,,,,,,26,5,544,352,61,3,3,6,1,3,1004,0,10,1014,0
5,Mayurbhanj,30,Saraskana,42,,,,,,,,7,3,341,356,15,0,1,2,0,1,726,0,5,731,0
5,Mayurbhanj,30,Saraskana,43,,,,,,,,18,3,479,355,61,0,2,5,0,1,924,0,2,926,0
5,Mayurbhanj,30,Saraskana,44,,,,,,,,18,9,327,257,37,0,1,5,2,5,661,0,6,667,0
5,Mayurbhanj,30,Saraskana,45,,,,,,,,16,1,367,266,55,1,2,1,9,2,720,0,4,724,0
5,Mayurbhanj,30,Saraskana,46,,,,,,,,8,0,208,285,74,0,0,1,1,2,579,0,3,582,0
5,Mayurbhanj,30,Saraskana,47,,,,,,,,9,2,387,291,48,2,2,1,3,2,747,0,3,750,0
5,Mayurbhanj,30,Saraskana,48,,,,,,,,11,0,268,177,29,0,0,2,1,1,489,0,7,496,0
5,Mayurbhanj,30,Saraskana,49,,,,,,,,9,1,389,223,19,1,0,0,7,2,651,0,3,654,0
5,Mayurbhanj,30,Saraskana,50,,,,,,,,13,3,235,215,22,0,3,1,0,1,493,0,2,495,0
