pc_id,pc_name,ac_id,ac_name,Serial No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total Valid Votes,No fo rejected Votes(Test votes),Votes for NOTA Option,Total,No of Tendered votes
7,Bhadrak,45,Bhandaripokhari,154,,,,,,,,114,0,0,246,29,1,390,0,2,392,0.0
7,Bhadrak,45,Bhandaripokhari,155,,,,,,,,228,1,3,151,66,0,449,0,2,451,0.0
7,Bhadrak,45,Bhandaripokhari,156,,,,,,,,202,2,2,243,47,0,496,0,1,497,0.0
7,Bhadrak,45,Bhandaripokhari,157,,,,,,,,101,3,2,239,71,1,417,0,1,418,0.0
7,Bhadrak,45,Bhandaripokhari,158,,,,,,,,261,1,1,288,83,1,635,0,1,636,0.0
7,Bhadrak,45,Bhandaripokhari,159,,,,,,,,313,5,1,494,42,3,858,0,0,858,0.0
7,Bhadrak,45,Bhandaripokhari,160,,,,,,,,310,0,3,370,111,2,796,0,7,803,0.0
7,Bhadrak,45,Bhandaripokhari,161,,,,,,,,231,5,20,267,86,1,610,0,5,615,0.0
7,Bhadrak,45,Bhandaripokhari,162,,,,,,,,304,2,14,295,55,4,674,0,3,677,0.0
7,Bhadrak,45,Bhandaripokhari,163,,,,,,,,216,0,2,315,73,0,606,0,6,612,0.0
7,Bhadrak,45,Bhandaripokhari,164,,,,,,,,320,1,1,311,63,1,697,0,0,697,0.0
7,Bhadrak,45,Bhandaripokhari,165,,,,,,,,195,2,2,270,64,1,534,0,1,535,0.0
7,Bhadrak,45,Bhandaripokhari,166,,,,,,,,284,2,4,457,149,0,896,0,4,900,0.0
7,Bhadrak,45,Bhandaripokhari,167,,,,,,,,245,3,6,411,138,0,803,0,3,806,0.0
7,Bhadrak,45,Bhandaripokhari,168,,,,,,,,405,2,3,385,101,1,897,0,3,900,0.0
7,Bhadrak,45,Bhandaripokhari,169,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
7,Bhadrak,45,Bhandaripokhari,170,,,,,,,,198,2,2,182,88,2,474,0,0,474,0.0
7,Bhadrak,45,Bhandaripokhari,171,,,,,,,,217,1,0,274,92,1,585,0,0,585,0.0
