pc_id,pc_name,ac_id,ac_name,BOOTH NO,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,NOTA,No. of Tendered votes,No. of rejected votes,Total,Total votespolled,Total of valid votes
8,Jajpur,52,Barachana,26,,,,,,,,250,473,16,1,3,0,2,0,0,745,nan,743
8,Jajpur,52,Barachana,27,,,,,,,,298,386,9,1,0,0,1,0,0,695,nan,694
8,Jajpur,52,Barachana,28,,,,,,,,309,423,6,1,1,3,0,0,0,743,nan,743
8,Jajpur,52,Barachana,29,,,,,,,,123,174,20,0,1,2,4,0,0,324,nan,320
8,Jajpur,52,Barachana,30,,,,,,,,160,370,7,1,0,1,3,0,0,542,nan,539
8,Jajpur,52,Barachana,31,,,,,,,,263,428,21,0,2,1,0,0,0,715,nan,715
8,Jajpur,52,Barachana,32,,,,,,,,299,358,23,9,9,8,12,0,0,718,nan,706
8,Jajpur,52,Barachana,33,,,,,,,,229,279,4,1,0,1,4,0,0,518,nan,514
8,Jajpur,52,Barachana,34,,,,,,,,285,376,31,2,0,1,2,0,0,697,nan,695
8,Jajpur,52,Barachana,35,,,,,,,,69,239,3,1,0,0,0,0,0,312,nan,312
8,Jajpur,52,Barachana,36,,,,,,,,95,249,37,0,0,0,0,0,0,381,nan,381
8,Jajpur,52,Barachana,37,,,,,,,,21,406,53,0,1,1,2,0,0,484,nan,482
8,Jajpur,52,Barachana,38,,,,,,,,320,618,24,4,1,7,7,0,0,981,nan,974
8,Jajpur,52,Barachana,39,,,,,,,,268,741,14,2,0,3,5,0,0,1033,nan,1028
8,Jajpur,52,Barachana,40,,,,,,,,420,392,56,5,1,3,12,0,0,889,nan,877
8,Jajpur,52,Barachana,41,,,,,,,,110,381,43,0,1,2,5,0,0,542,nan,537
8,Jajpur,52,Barachana,42,,,,,,,,84,641,61,0,3,3,4,0,0,796,nan,792
8,Jajpur,52,Barachana,43,,,,,,,,217,719,50,4,1,4,4,0,0,999,nan,995
8,Jajpur,52,Barachana,44,,,,,,,,194,368,21,1,2,1,1,0,0,588,nan,587
8,Jajpur,52,Barachana,45,,,,,,,,118,415,43,0,1,1,2,0,0,580,nan,578
8,Jajpur,52,Barachana,46,,,,,,,,321,378,30,3,2,0,3,0,0,737,nan,734
8,Jajpur,52,Barachana,47,,,,,,,,204,510,31,0,2,0,1,0,0,748,nan,747
8,Jajpur,52,Barachana,48,,,,,,,,235,464,19,2,3,3,1,0,0,727,nan,726
8,Jajpur,52,Barachana,49,,,,,,,,311,509,48,1,2,0,3,0,0,874,nan,871
8,Jajpur,52,Barachana,50,,,,,,,,204,397,11,0,0,0,0,0,0,612,nan,612
8,Jajpur,52,Barachana,51,,,,,,,,291,429,9,2,0,0,4,0,0,735,nan,731
8,Jajpur,52,Barachana,52,,,,,,,,292,374,31,3,1,1,5,0,0,707,nan,702
8,Jajpur,52,Barachana,53,,,,,,,,160,518,3,0,1,0,4,0,0,686,nan,682
8,Jajpur,52,Barachana,54,,,,,,,,215,272,2,0,0,1,0,0,0,490,nan,490
8,Jajpur,52,Barachana,55,,,,,,,,254,427,8,0,1,3,3,0,0,696,nan,693
8,Jajpur,52,Barachana,56,,,,,,,,212,271,17,0,1,1,7,0,0,509,nan,502
8,Jajpur,52,Barachana,57,,,,,,,,110,519,0,1,0,0,0,0,0,630,nan,630
8,Jajpur,52,Barachana,58,,,,,,,,179,356,6,0,1,0,4,0,0,546,nan,542
8,Jajpur,52,Barachana,59,,,,,,,,225,686,13,1,4,4,8,0,0,941,nan,933
8,Jajpur,52,Barachana,60,,,,,,,,156,210,7,0,3,2,6,0,0,384,nan,378
8,Jajpur,52,Barachana,61,,,,,,,,147,640,8,1,1,3,3,0,0,803,nan,800
8,Jajpur,52,Barachana,62,,,,,,,,299,412,20,5,3,4,9,0,0,752,nan,743
8,Jajpur,52,Barachana,63,,,,,,,,313,635,14,4,7,2,3,0,0,978,nan,975
8,Jajpur,52,Barachana,64,,,,,,,,182,812,20,1,0,0,5,0,0,1020,nan,1015
8,Jajpur,52,Barachana,65,,,,,,,,22,1050,30,0,0,1,0,0,0,1103,nan,1103
8,Jajpur,52,Barachana,66,,,,,,,,185,386,9,0,1,0,1,0,0,582,nan,581
8,Jajpur,52,Barachana,67,,,,,,,,177,593,10,2,1,1,4,0,0,788,nan,784
8,Jajpur,52,Barachana,68,,,,,,,,263,336,7,0,1,2,6,0,0,615,nan,609
8,Jajpur,52,Barachana,69,,,,,,,,404,415,3,2,1,4,2,0,0,831,nan,829
8,Jajpur,52,Barachana,70,,,,,,,,257,257,6,1,1,0,4,0,0,526,nan,522
8,Jajpur,52,Barachana,71,,,,,,,,0,0,0,0,0,0,0,0,0,0,nan,0
8,Jajpur,52,Barachana,72,,,,,,,,99,436,7,2,1,1,2,0,0,548,nan,546
8,Jajpur,52,Barachana,73,,,,,,,,148,98,7,1,0,0,0,0,0,254,nan,254
8,Jajpur,52,Barachana,74,,,,,,,,314,567,17,1,1,3,2,0,0,905,nan,903
8,Jajpur,52,Barachana,75,,,,,,,,0,0,0,0,0,0,0,0,0,0,nan,0
8,Jajpur,52,Barachana,76,,,,,,,,261,347,10,1,0,3,3,0,0,625,nan,622
8,Jajpur,52,Barachana,77,,,,,,,,318,275,7,1,3,0,1,0,0,605,nan,604
8,Jajpur,52,Barachana,78,,,,,,,,257,402,7,2,2,2,6,0,0,678,nan,672
8,Jajpur,52,Barachana,79,,,,,,,,433,574,20,3,1,0,3,0,0,1034,nan,1031
8,Jajpur,52,Barachana,80,,,,,,,,81,348,1,1,1,2,2,0,0,436,nan,434
8,Jajpur,52,Barachana,81,,,,,,,,248,481,18,2,3,1,2,0,0,755,nan,753
8,Jajpur,52,Barachana,82,,,,,,,,0,0,0,0,0,0,0,0,0,0,nan,0
8,Jajpur,52,Barachana,83,,,,,,,,181,509,17,1,0,2,3,0,0,713,nan,710
8,Jajpur,52,Barachana,84,,,,,,,,163,382,13,2,0,1,1,0,0,562,nan,561
8,Jajpur,52,Barachana,85,,,,,,,,293,453,80,0,2,2,6,0,0,836,nan,830
8,Jajpur,52,Barachana,86,,,,,,,,299,526,39,2,0,4,6,0,0,876,nan,870
8,Jajpur,52,Barachana,87,,,,,,,,275,373,28,3,0,0,3,0,0,682,nan,679
