pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Unnamed: 10,Total Valid Votes,No. of Rejected Votes,NOTA,Total,No. of tendered votes
3,Sambalpur,17,Sambalpur,nan,,,,,,,,nan,"Dr. Aswini 
Kumar 
Pujahari","Jaya 
Narayan 
Mishra",Dilip Singh,"Dr. 
Raseswari 
Panigrahi","Laxman 
Kumar 
Bhoi","Jayabrata 
Dey","Jayashree 
Mishra","Prabhas 
Pruseth","Pragnya 
Patnaik",nan,nan,nan,nan,nan
3,Sambalpur,17,Sambalpur,133.0,,,,,,,,Cheruapada - 3 22,nan,269,2,302,3,8,2,0,4,612.0,0.0,13.0,625.0,0.0
3,Sambalpur,17,Sambalpur,134.0,,,,,,,,Kunjel Pada - 1 22,nan,519,10,316,1,1,9,1,3,882.0,0.0,12.0,894.0,0.0
3,Sambalpur,17,Sambalpur,135.0,,,,,,,,Kunjel Pada - 2 44,nan,329,2,335,0,1,1,0,5,717.0,0.0,6.0,723.0,0.0
3,Sambalpur,17,Sambalpur,136.0,,,,,,,,Ambedkar Nagar-17,nan,100,191,158,0,3,3,2,1,465.0,0.0,4.0,469.0,0.0
3,Sambalpur,17,Sambalpur,137.0,,,,,,,,Ambedkar Nagar-38,nan,86,170,118,0,0,3,1,1,387.0,0.0,6.0,393.0,0.0
3,Sambalpur,17,Sambalpur,138.0,,,,,,,,Ambedkar Nagar-226,nan,308,50,454,0,5,0,2,3,848.0,0.0,8.0,856.0,1.0
3,Sambalpur,17,Sambalpur,139.0,,,,,,,,Pattnaik Pada -127,nan,211,0,304,0,4,0,0,0,546.0,0.0,12.0,558.0,0.0
3,Sambalpur,17,Sambalpur,nan,,,,,,,,nan,"Dr. Aswini 
Kumar 
Pujahari","Jaya 
Narayan 
Mishra",Dilip Singh,"Dr. 
Raseswari 
Panigrahi","Laxman 
Kumar 
Bhoi","Jayabrata 
Dey","Jayashree 
Mishra","Prabhas 
Pruseth","Pragnya 
Patnaik",nan,nan,nan,nan,nan
3,Sambalpur,17,Sambalpur,140,,,,,,,,Pattnaik Pada -320,nan,198,2,242,1,2,1,2,3,471.0,0.0,5.0,476.0,0.0
3,Sambalpur,17,Sambalpur,141,,,,,,,,Pattnaik Pada -236,nan,321,2,360,0,0,1,1,6,727.0,0.0,9.0,736.0,0.0
3,Sambalpur,17,Sambalpur,142,,,,,,,,Gurupada - 1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3,Sambalpur,17,Sambalpur,143,,,,,,,,Gurupada - 2,34,254,5,396,1,2,3,2,8,705.0,0.0,6.0,711.0,0.0
3,Sambalpur,17,Sambalpur,144,,,,,,,,Jhaduapada,48,419,0,344,1,2,2,0,5,821.0,0.0,2.0,823.0,0.0
3,Sambalpur,17,Sambalpur,145,,,,,,,,Nandapada-1,11,233,4,138,1,2,0,0,0,389.0,0.0,9.0,398.0,0.0
3,Sambalpur,17,Sambalpur,146,,,,,,,,Nandapada-2,32,415,0,274,1,4,2,1,0,729.0,0.0,6.0,735.0,0.0
3,Sambalpur,17,Sambalpur,147,,,,,,,,Kansari Pada -1 20,nan,195,0,159,1,15,1,0,2,393.0,0.0,2.0,395.0,0.0
3,Sambalpur,17,Sambalpur,148,,,,,,,,Kansari Pada -2 35,nan,362,1,232,1,9,0,0,2,642.0,0.0,2.0,644.0,0.0
3,Sambalpur,17,Sambalpur,149,,,,,,,,Marwaripada,71,424,3,403,1,19,0,1,7,929.0,0.0,6.0,935.0,1.0
3,Sambalpur,17,Sambalpur,150,,,,,,,,Daleipada-1,31,240,1,196,0,4,1,1,1,475.0,0.0,2.0,477.0,0.0
3,Sambalpur,17,Sambalpur,151,,,,,,,,Daleipada-2,60,295,0,287,1,3,1,2,3,652.0,0.0,4.0,656.0,0.0
