pc_id,pc_name,ac_id,ac_name,Polling station no.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total No. of Valid votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Votes
9,Dhenkanal,58,Hindol,25,,,,,,,,275,305,15,1,0,4,600,0,8,608,0
9,Dhenkanal,58,Hindol,26,,,,,,,,465,509,49,6,7,5,1041,0,3,1044,0
9,Dhenkanal,58,Hindol,27,,,,,,,,382,394,66,4,4,5,855,0,4,859,0
9,Dhenkanal,58,Hindol,28,,,,,,,,335,343,46,2,2,2,730,0,4,734,0
9,Dhenkanal,58,Hindol,29,,,,,,,,439,463,88,10,4,5,1009,0,4,1013,0
9,Dhenkanal,58,Hindol,30,,,,,,,,335,391,39,6,5,9,785,0,14,799,0
9,Dhenkanal,58,Hindol,31,,,,,,,,244,290,34,1,1,2,572,0,2,574,0
9,Dhenkanal,58,Hindol,32,,,,,,,,482,417,44,3,2,3,951,0,13,964,0
9,Dhenkanal,58,Hindol,33,,,,,,,,333,329,49,6,2,1,720,0,8,728,0
9,Dhenkanal,58,Hindol,34,,,,,,,,277,164,111,6,7,6,571,0,4,575,0
9,Dhenkanal,58,Hindol,35,,,,,,,,171,277,19,1,5,4,477,0,4,481,0
9,Dhenkanal,58,Hindol,36,,,,,,,,168,167,11,0,0,2,348,0,1,349,0
9,Dhenkanal,58,Hindol,37,,,,,,,,168,337,38,10,2,5,560,0,7,567,0
9,Dhenkanal,58,Hindol,38,,,,,,,,335,568,45,3,6,5,962,0,1,963,0
9,Dhenkanal,58,Hindol,39,,,,,,,,421,423,32,6,6,9,897,0,14,911,0
9,Dhenkanal,58,Hindol,40,,,,,,,,387,356,55,14,8,7,827,0,25,852,0
9,Dhenkanal,58,Hindol,41,,,,,,,,332,337,45,3,4,8,729,0,19,748,0
9,Dhenkanal,58,Hindol,42,,,,,,,,277,307,54,13,5,8,664,0,8,672,0
9,Dhenkanal,58,Hindol,43,,,,,,,,232,315,25,7,7,8,594,0,9,603,0
9,Dhenkanal,58,Hindol,44,,,,,,,,320,256,31,3,3,6,619,0,15,634,0
9,Dhenkanal,58,Hindol,45,,,,,,,,365,222,30,3,2,2,624,0,3,627,0
9,Dhenkanal,58,Hindol,46,,,,,,,,167,141,12,2,1,0,323,0,1,324,0
9,Dhenkanal,58,Hindol,47,,,,,,,,309,194,22,4,1,1,531,0,3,534,0
9,Dhenkanal,58,Hindol,48,,,,,,,,325,305,17,5,1,1,654,0,2,656,0
9,Dhenkanal,58,Hindol,49,,,,,,,,328,236,39,8,6,2,619,0,7,626,0
9,Dhenkanal,58,Hindol,50,,,,,,,,47,173,28,6,3,2,259,0,5,264,0
9,Dhenkanal,58,Hindol,51,,,,,,,,203,300,12,2,4,3,524,0,7,531,0
9,Dhenkanal,58,Hindol,52,,,,,,,,246,258,7,1,0,0,512,0,0,512,0
9,Dhenkanal,58,Hindol,53,,,,,,,,147,199,16,1,1,0,364,0,6,370,0
9,Dhenkanal,58,Hindol,54,,,,,,,,322,291,17,4,6,1,641,0,8,649,0
9,Dhenkanal,58,Hindol,55,,,,,,,,352,268,31,4,4,1,660,0,6,666,0
9,Dhenkanal,58,Hindol,56,,,,,,,,147,148,8,8,3,4,318,0,6,324,0
9,Dhenkanal,58,Hindol,57,,,,,,,,234,75,18,2,4,1,334,0,6,340,0
9,Dhenkanal,58,Hindol,58,,,,,,,,512,328,74,5,4,6,929,0,7,936,0
9,Dhenkanal,58,Hindol,59,,,,,,,,507,439,25,4,3,3,981,0,3,984,0
9,Dhenkanal,58,Hindol,60,,,,,,,,516,245,64,8,3,2,838,0,4,842,0
9,Dhenkanal,58,Hindol,61,,,,,,,,249,254,84,4,0,3,594,0,2,596,0
9,Dhenkanal,58,Hindol,62,,,,,,,,490,374,31,3,11,10,919,0,24,943,0
