pc_id,pc_name,ac_id,ac_name,Sl No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Total of valid votes,No.of rejected votes,Votes for NOTA options,Total votes,Total No.of tendered votes
18,Bhubaneswar,119,Khurda,45,,,,,,,,2,9,379,16,349,2,26,0,3,3,789,0,5,794,0
18,Bhubaneswar,119,Khurda,46,,,,,,,,2,13,308,40,255,4,9,0,8,2,641,0,2,643,0
18,Bhubaneswar,119,Khurda,47,,,,,,,,0,5,186,17,243,2,3,0,1,1,458,0,3,461,0
18,Bhubaneswar,119,Khurda,48,,,,,,,,2,7,471,12,405,3,1,0,0,0,901,0,0,901,0
18,Bhubaneswar,119,Khurda,49,,,,,,,,2,7,249,29,402,2,2,0,4,1,698,0,2,700,0
18,Bhubaneswar,119,Khurda,50,,,,,,,,1,3,155,15,298,2,1,0,2,2,479,0,5,484,0
18,Bhubaneswar,119,Khurda,51,,,,,,,,1,4,259,22,327,2,1,2,2,0,620,0,2,622,0
18,Bhubaneswar,119,Khurda,52,,,,,,,,1,5,353,23,401,3,5,5,2,3,801,0,6,807,0
18,Bhubaneswar,119,Khurda,53,,,,,,,,0,2,150,18,480,6,0,2,1,0,659,0,4,663,0
18,Bhubaneswar,119,Khurda,54,,,,,,,,2,5,429,14,289,1,2,0,0,1,743,0,2,745,0
18,Bhubaneswar,119,Khurda,55,,,,,,,,0,1,364,13,400,2,1,0,1,1,783,0,7,790,0
18,Bhubaneswar,119,Khurda,56,,,,,,,,0,10,297,7,229,0,0,0,1,0,544,0,2,546,0
18,Bhubaneswar,119,Khurda,57,,,,,,,,0,4,234,12,155,1,0,1,1,0,408,0,3,411,0
18,Bhubaneswar,119,Khurda,58,,,,,,,,1,2,314,180,177,2,0,2,3,1,682,0,4,686,0
18,Bhubaneswar,119,Khurda,59,,,,,,,,0,2,235,98,277,4,6,2,1,1,626,0,5,631,0
18,Bhubaneswar,119,Khurda,60,,,,,,,,1,3,305,13,319,1,2,0,0,1,645,0,2,647,0
18,Bhubaneswar,119,Khurda,61,,,,,,,,2,11,449,16,247,3,6,0,1,0,735,0,2,737,0
18,Bhubaneswar,119,Khurda,62,,,,,,,,0,1,102,5,64,0,1,1,0,0,174,0,1,175,0
18,Bhubaneswar,119,Khurda,63,,,,,,,,2,6,339,10,235,3,4,2,3,2,606,0,4,610,0
18,Bhubaneswar,119,Khurda,64,,,,,,,,0,0,7,2,443,0,0,0,0,0,452,0,0,452,0
18,Bhubaneswar,119,Khurda,65,,,,,,,,0,13,320,74,329,3,3,2,1,0,745,0,1,746,0
18,Bhubaneswar,119,Khurda,66,,,,,,,,1,1,106,19,159,2,2,1,4,1,296,0,5,301,0
18,Bhubaneswar,119,Khurda,67,,,,,,,,0,2,408,52,175,2,0,0,1,1,641,0,1,642,0
18,Bhubaneswar,119,Khurda,68,,,,,,,,1,4,291,32,134,0,2,0,2,3,469,0,1,470,0
