pc_id,pc_name,ac_id,ac_name,Booth No.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Candidate 13,Total no of valid votes,No of rejected votes,NOTA,Total,No of tendered votes
3,Sambalpur,19,Deogarh,314,,,,,,,,25,3,97,144,2,1,1,0,2,1,0,3,3,282,nan,1,283,nan
3,Sambalpur,19,Deogarh,315,,,,,,,,105,10,344,279,5,4,1,2,4,3,1,3,1,762,nan,3,765,nan
3,Sambalpur,19,Deogarh,316,,,,,,,,72,9,200,158,5,8,4,5,3,3,4,1,7,479,nan,7,486,nan
3,Sambalpur,19,Deogarh,317,,,,,,,,97,9,250,181,2,8,3,0,0,0,1,1,0,552,nan,0,552,nan
3,Sambalpur,19,Deogarh,318,,,,,,,,109,18,424,318,7,19,5,1,2,5,4,7,8,927,nan,16,943,nan
3,Sambalpur,19,Deogarh,319,,,,,,,,5,0,61,62,1,2,0,1,1,0,2,2,1,138,nan,2,140,nan
3,Sambalpur,19,Deogarh,320,,,,,,,,67,6,167,142,3,0,0,0,0,3,0,0,4,392,nan,2,394,nan
3,Sambalpur,19,Deogarh,321,,,,,,,,118,6,223,208,6,3,3,2,2,0,7,2,1,581,nan,2,583,nan
3,Sambalpur,19,Deogarh,322,,,,,,,,110,10,177,176,5,4,2,1,5,4,9,6,8,517,nan,13,530,nan
3,Sambalpur,19,Deogarh,323,,,,,,,,6,0,48,95,2,0,2,3,4,2,0,5,4,171,nan,4,175,nan
3,Sambalpur,19,Deogarh,324,,,,,,,,121,7,361,243,5,6,0,0,4,2,3,1,3,756,nan,1,757,nan
3,Sambalpur,19,Deogarh,325,,,,,,,,18,2,116,179,2,3,2,3,4,4,2,3,4,342,nan,6,348,nan
3,Sambalpur,19,Deogarh,326,,,,,,,,19,5,204,202,6,3,2,3,4,3,3,4,8,466,nan,13,479,nan
3,Sambalpur,19,Deogarh,327,,,,,,,,87,17,290,426,7,6,6,4,6,4,3,3,5,864,nan,4,868,nan
3,Sambalpur,19,Deogarh,328,,,,,,,,23,2,173,139,0,1,1,0,1,0,2,2,4,348,nan,0,348,nan
3,Sambalpur,19,Deogarh,329,,,,,,,,67,19,179,177,1,1,2,1,0,0,1,0,0,448,nan,0,448,nan
3,Sambalpur,19,Deogarh,330,,,,,,,,42,28,215,149,0,0,1,1,1,0,1,3,3,444,nan,1,445,nan
3,Sambalpur,19,Deogarh,331,,,,,,,,56,14,341,324,4,5,0,0,1,1,0,1,1,748,nan,1,749,nan
3,Sambalpur,19,Deogarh,332,,,,,,,,23,13,153,140,5,9,3,1,0,2,4,2,4,359,nan,3,362,nan
3,Sambalpur,19,Deogarh,333,,,,,,,,68,10,332,445,4,27,1,3,1,5,3,2,2,903,nan,5,908,nan
3,Sambalpur,19,Deogarh,334,,,,,,,,46,6,165,264,5,2,1,0,2,2,1,2,2,498,nan,4,502,nan
3,Sambalpur,19,Deogarh,335,,,,,,,,46,6,233,339,5,6,0,0,3,1,0,0,3,642,nan,4,646,nan
3,Sambalpur,19,Deogarh,336,,,,,,,,30,7,225,157,1,7,0,2,1,1,1,1,2,435,nan,3,438,nan
3,Sambalpur,19,Deogarh,337,,,,,,,,21,4,235,120,4,3,1,4,0,0,0,1,1,394,nan,1,395,nan
