pc_id,pc_name,ac_id,ac_name,Sl No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of Valid Votes,No.of Rejected Votes (Test Votes),Votes for NOTA Option,Total,No.of Tendered Votes
21,Koraput,143,Rayagada,174,,,,,,,,8.0,129.0,278.0,283.0,6.0,5.0,3.0,3.0,715,0,8.0,723,0
21,Koraput,143,Rayagada,175,,,,,,,,10.0,205.0,257.0,348.0,3.0,4.0,7.0,9.0,843,0,11.0,854,0
21,Koraput,143,Rayagada,176,,,,,,,,5.0,133.0,190.0,232.0,1.0,1.0,1.0,0.0,563,0,3.0,566,0
21,Koraput,143,Rayagada,177,,,,,,,,9.0,225.0,356.0,256.0,1.0,3.0,4.0,1.0,855,0,5.0,860,0
21,Koraput,143,Rayagada,178,,,,,,,,10.0,169.0,447.0,262.0,3.0,1.0,0.0,1.0,893,0,6.0,899,0
21,Koraput,143,Rayagada,179,,,,,,,,10.0,208.0,228.0,370.0,1.0,1.0,1.0,0.0,819,0,4.0,823,0
21,Koraput,143,Rayagada,180,,,,,,,,1.0,103.0,169.0,58.0,0.0,2.0,1.0,0.0,334,0,3.0,337,0
21,Koraput,143,Rayagada,181,,,,,,,,6.0,220.0,302.0,234.0,3.0,2.0,4.0,1.0,772,0,6.0,778,0
21,Koraput,143,Rayagada,182,,,,,,,,22.0,391.0,301.0,222.0,6.0,2.0,4.0,3.0,951,0,2.0,953,0
21,Koraput,143,Rayagada,183,,,,,,,,9.0,166.0,374.0,153.0,2.0,0.0,1.0,4.0,709,0,0.0,709,0
21,Koraput,143,Rayagada,184,,,,,,,,1.0,135.0,147.0,82.0,0.0,0.0,0.0,0.0,365,0,5.0,370,0
21,Koraput,143,Rayagada,185,,,,,,,,2.0,95.0,232.0,179.0,4.0,0.0,1.0,0.0,513,0,0.0,513,0
