pc_id,pc_name,ac_id,ac_name,Sl No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of valid votes,No.of rejected votes,Votes for NOTA options,Total votes,Total No.of tendered votes
18,Bhubaneswar,122,Bhubaneswar North,39,,,,,,,,460,460,15,2,4,0,2,1,944,0,2,946,0
18,Bhubaneswar,122,Bhubaneswar North,40,,,,,,,,338,605,30,4,3,2,0,2,984,0,9,993,0
18,Bhubaneswar,122,Bhubaneswar North,41,,,,,,,,191,240,6,1,0,0,0,2,440,0,0,440,0
18,Bhubaneswar,122,Bhubaneswar North,42,,,,,,,,293,213,6,3,0,2,0,2,519,0,1,520,0
18,Bhubaneswar,122,Bhubaneswar North,43,,,,,,,,267,375,26,1,0,1,0,0,670,0,1,671,0
18,Bhubaneswar,122,Bhubaneswar North,44,,,,,,,,243,332,26,0,0,1,3,0,605,0,2,607,0
18,Bhubaneswar,122,Bhubaneswar North,45,,,,,,,,144,171,20,0,1,1,0,1,338,0,1,339,0
18,Bhubaneswar,122,Bhubaneswar North,46,,,,,,,,330,448,40,2,0,2,1,1,824,0,3,827,0
18,Bhubaneswar,122,Bhubaneswar North,47,,,,,,,,248,497,66,3,1,3,0,0,818,0,2,820,0
18,Bhubaneswar,122,Bhubaneswar North,48,,,,,,,,194,428,58,1,2,1,0,0,684,0,0,684,0
18,Bhubaneswar,122,Bhubaneswar North,49,,,,,,,,324,498,55,1,1,1,0,0,880,0,3,883,0
18,Bhubaneswar,122,Bhubaneswar North,50,,,,,,,,149,205,22,2,1,1,0,0,380,0,0,380,0
18,Bhubaneswar,122,Bhubaneswar North,51,,,,,,,,366,325,76,2,1,1,1,2,774,0,3,777,0
18,Bhubaneswar,122,Bhubaneswar North,52,,,,,,,,377,368,20,1,0,1,1,0,768,0,3,771,0
18,Bhubaneswar,122,Bhubaneswar North,53,,,,,,,,438,409,19,2,3,2,0,1,874,0,4,878,0
