pc_id,pc_name,ac_id,ac_name,Serial Number of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Candidate 13,Total Valid Votes,Total,No. of tendered votes,Serial Number of Polling StationNo. of,Votes for NOTA option
5,Mayurbhanj,34,Baripada,181,,,,,,,,252.0,0.0,1.0,2.0,1.0,3.0,7.0,125.0,251.0,14.0,1.0,1.0,1.0,659,661,nan,nan,2.0
5,Mayurbhanj,34,Baripada,182,,,,,,,,369.0,4.0,0.0,0.0,2.0,5.0,3.0,167.0,283.0,10.0,3.0,3.0,3.0,852,856,nan,nan,4.0
5,Mayurbhanj,34,Baripada,183,,,,,,,,235.0,0.0,0.0,1.0,1.0,4.0,3.0,140.0,154.0,10.0,1.0,1.0,0.0,550,552,nan,nan,2.0
5,Mayurbhanj,34,Baripada,184,,,,,,,,213.0,3.0,1.0,1.0,0.0,4.0,3.0,124.0,199.0,27.0,3.0,1.0,1.0,580,584,nan,nan,4.0
5,Mayurbhanj,34,Baripada,185,,,,,,,,88.0,1.0,5.0,1.0,2.0,4.0,8.0,200.0,214.0,23.0,3.0,3.0,1.0,553,559,nan,nan,6.0
5,Mayurbhanj,34,Baripada,186,,,,,,,,308.0,2.0,4.0,3.0,1.0,9.0,5.0,175.0,195.0,16.0,3.0,4.0,4.0,729,733,nan,nan,4.0
5,Mayurbhanj,34,Baripada,187,,,,,,,,161.0,0.0,0.0,0.0,1.0,0.0,1.0,115.0,155.0,5.0,0.0,3.0,0.0,441,444,nan,nan,3.0
5,Mayurbhanj,34,Baripada,188,,,,,,,,207.0,1.0,1.0,0.0,0.0,8.0,20.0,171.0,258.0,39.0,2.0,0.0,1.0,708,711,nan,nan,3.0
5,Mayurbhanj,34,Baripada,189,,,,,,,,155.0,2.0,5.0,4.0,2.0,9.0,9.0,152.0,157.0,83.0,5.0,1.0,1.0,585,592,nan,nan,7.0
5,Mayurbhanj,34,Baripada,190,,,,,,,,214.0,2.0,1.0,1.0,2.0,12.0,4.0,97.0,569.0,18.0,6.0,2.0,1.0,929,934,nan,nan,5.0
5,Mayurbhanj,34,Baripada,191,,,,,,,,173.0,3.0,5.0,10.0,4.0,5.0,7.0,354.0,175.0,27.0,1.0,6.0,3.0,773,781,nan,nan,8.0
5,Mayurbhanj,34,Baripada,192,,,,,,,,205.0,4.0,6.0,5.0,1.0,3.0,1.0,239.0,107.0,33.0,2.0,2.0,6.0,614,621,nan,nan,7.0
5,Mayurbhanj,34,Baripada,193,,,,,,,,311.0,1.0,2.0,3.0,4.0,10.0,11.0,70.0,283.0,50.0,3.0,0.0,2.0,750,757,nan,nan,7.0
5,Mayurbhanj,34,Baripada,194,,,,,,,,122.0,2.0,2.0,1.0,0.0,1.0,3.0,150.0,127.0,9.0,1.0,2.0,0.0,420,421,nan,nan,1.0
5,Mayurbhanj,34,Baripada,195,,,,,,,,238.0,2.0,1.0,1.0,3.0,6.0,26.0,124.0,222.0,30.0,2.0,2.0,0.0,657,659,nan,nan,2.0
5,Mayurbhanj,34,Baripada,196,,,,,,,,196.0,0.0,2.0,1.0,0.0,3.0,47.0,85.0,184.0,23.0,1.0,1.0,0.0,543,544,nan,nan,1.0
5,Mayurbhanj,34,Baripada,197,,,,,,,,96.0,1.0,0.0,0.0,1.0,5.0,53.0,82.0,63.0,51.0,2.0,0.0,1.0,355,355,nan,nan,0.0
5,Mayurbhanj,34,Baripada,198,,,,,,,,205.0,5.0,6.0,8.0,3.0,10.0,32.0,159.0,199.0,95.0,2.0,3.0,4.0,731,738,nan,nan,7.0
5,Mayurbhanj,34,Baripada,199,,,,,,,,129.0,9.0,4.0,10.0,4.0,10.0,33.0,228.0,239.0,86.0,4.0,8.0,4.0,768,779,nan,nan,11.0
5,Mayurbhanj,34,Baripada,200,,,,,,,,127.0,4.0,4.0,3.0,3.0,3.0,2.0,113.0,121.0,31.0,4.0,4.0,2.0,421,424,nan,nan,3.0
5,Mayurbhanj,34,Baripada,201,,,,,,,,281.0,1.0,3.0,5.0,4.0,15.0,15.0,168.0,209.0,77.0,3.0,2.0,1.0,784,791,nan,nan,7.0
5,Mayurbhanj,34,Baripada,202,,,,,,,,129.0,1.0,2.0,1.0,2.0,7.0,43.0,191.0,319.0,70.0,3.0,5.0,2.0,775,780,nan,nan,5.0
5,Mayurbhanj,34,Baripada,203,,,,,,,,248.0,1.0,2.0,1.0,6.0,11.0,18.0,215.0,312.0,70.0,3.0,2.0,2.0,891,896,nan,nan,5.0
5,Mayurbhanj,34,Baripada,204,,,,,,,,307.0,2.0,4.0,1.0,2.0,6.0,1.0,108.0,430.0,32.0,3.0,6.0,1.0,903,913,nan,nan,10.0
5,Mayurbhanj,34,Baripada,205,,,,,,,,280.0,9.0,5.0,4.0,6.0,17.0,19.0,43.0,291.0,151.0,5.0,7.0,5.0,842,853,nan,nan,11.0
5,Mayurbhanj,34,Baripada,206,,,,,,,,223.0,5.0,4.0,4.0,3.0,24.0,66.0,114.0,283.0,190.0,5.0,3.0,2.0,926,932,nan,nan,6.0
5,Mayurbhanj,34,Baripada,207,,,,,,,,67.0,3.0,2.0,2.0,3.0,8.0,19.0,18.0,201.0,96.0,1.0,0.0,2.0,422,428,nan,nan,6.0
5,Mayurbhanj,34,Baripada,208,,,,,,,,355.0,4.0,4.0,6.0,4.0,18.0,3.0,49.0,297.0,55.0,4.0,6.0,4.0,809,824,nan,nan,15.0
5,Mayurbhanj,34,Baripada,209,,,,,,,,373.0,7.0,0.0,5.0,14.0,3.0,3.0,15.0,345.0,7.0,1.0,4.0,1.0,778,780,nan,nan,2.0
5,Mayurbhanj,34,Baripada,210,,,,,,,,71.0,0.0,3.0,4.0,7.0,10.0,4.0,171.0,154.0,101.0,2.0,3.0,3.0,533,542,nan,nan,9.0
5,Mayurbhanj,34,Baripada,211,,,,,,,,191.0,5.0,2.0,5.0,3.0,4.0,38.0,14.0,236.0,56.0,1.0,2.0,3.0,560,571,nan,nan,11.0
