pc_id,pc_name,ac_id,ac_name,Booth No,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Total Valid Vote,No fo rejected Votes (Test votes),None of the Above(NOTA),Total,No of Tendered votes
7,Bhadrak,46,Bhadrak,27,,,,,,,,12,329,0,233,1,0,0,575,0,2,577,0
7,Bhadrak,46,Bhadrak,28,,,,,,,,37,158,2,106,2,0,0,305,0,1,306,0
7,Bhadrak,46,Bhadrak,29,,,,,,,,5,142,1,130,0,0,1,279,0,0,279,0
7,Bhadrak,46,Bhadrak,30,,,,,,,,3,55,0,153,1,0,0,212,0,0,212,0
7,Bhadrak,46,Bhadrak,31,,,,,,,,26,370,2,380,7,1,2,788,0,3,791,0
7,Bhadrak,46,Bhadrak,32,,,,,,,,19,310,0,225,3,1,0,558,0,3,561,0
7,Bhadrak,46,Bhadrak,33,,,,,,,,6,270,3,199,1,1,1,481,0,1,482,0
7,Bhadrak,46,Bhadrak,34,,,,,,,,21,424,6,356,4,1,1,813,0,3,816,0
7,Bhadrak,46,Bhadrak,35,,,,,,,,32,303,4,387,3,0,2,731,0,2,733,0
7,Bhadrak,46,Bhadrak,36,,,,,,,,12,372,2,360,6,1,2,755,0,1,756,0
7,Bhadrak,46,Bhadrak,37,,,,,,,,10,334,2,358,6,0,0,710,0,3,713,0
7,Bhadrak,46,Bhadrak,38,,,,,,,,6,189,1,209,0,0,0,405,0,1,406,0
7,Bhadrak,46,Bhadrak,39,,,,,,,,21,527,0,379,0,1,2,930,0,1,931,0
7,Bhadrak,46,Bhadrak,40,,,,,,,,17,473,0,453,3,0,3,949,0,6,955,0
7,Bhadrak,46,Bhadrak,41,,,,,,,,9,293,0,275,0,1,1,579,0,0,579,0
7,Bhadrak,46,Bhadrak,42,,,,,,,,24,165,2,153,1,0,1,346,0,0,346,0
7,Bhadrak,46,Bhadrak,43,,,,,,,,14,481,4,415,1,0,1,916,0,5,921,0
7,Bhadrak,46,Bhadrak,44,,,,,,,,60,375,0,434,4,0,1,874,0,3,877,0
7,Bhadrak,46,Bhadrak,45,,,,,,,,23,466,2,312,4,1,2,810,0,12,822,0
7,Bhadrak,46,Bhadrak,46,,,,,,,,27,403,0,360,2,0,2,794,0,3,797,0
7,Bhadrak,46,Bhadrak,47,,,,,,,,20,300,1,421,2,3,3,750,0,1,751,0
7,Bhadrak,46,Bhadrak,48,,,,,,,,9,370,0,349,1,2,1,732,0,19,751,0
7,Bhadrak,46,Bhadrak,49,,,,,,,,20,255,0,189,0,1,0,465,0,3,468,0
7,Bhadrak,46,Bhadrak,50,,,,,,,,20,402,0,357,2,1,1,783,0,3,786,0
7,Bhadrak,46,Bhadrak,51,,,,,,,,20,351,0,457,0,0,0,828,0,0,828,0
7,Bhadrak,46,Bhadrak,52,,,,,,,,46,408,2,215,1,0,1,673,0,1,674,0
7,Bhadrak,46,Bhadrak,53,,,,,,,,33,379,1,372,1,0,2,788,0,4,792,0
7,Bhadrak,46,Bhadrak,54,,,,,,,,41,471,4,359,3,2,0,880,0,2,882,0
7,Bhadrak,46,Bhadrak,55,,,,,,,,62,418,2,474,6,2,3,967,0,3,970,0
7,Bhadrak,46,Bhadrak,56,,,,,,,,13,265,3,213,4,0,2,500,0,1,501,0
7,Bhadrak,46,Bhadrak,57,,,,,,,,15,354,2,412,4,0,0,787,0,1,788,0
7,Bhadrak,46,Bhadrak,58,,,,,,,,23,215,2,450,1,1,0,692,0,2,694,0
