pc_id,pc_name,ac_id,ac_name,S.No.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Total of Valid Votes,No. of Rejected Votes (Test Votes),Votes for NOTA Option,Total,Total No. of Tender Votes
15,Kendrapara ,103,Aul,254,,,,,,,,70,0,433,226,2,0,1,0,0,732,0,2,734,0
15,Kendrapara ,103,Aul,255,,,,,,,,43,0,257,99,0,1,0,0,0,400,0,3,403,0
15,Kendrapara ,103,Aul,256,,,,,,,,97,2,376,216,0,2,1,1,1,696,0,2,698,0
15,Kendrapara ,103,Aul,257,,,,,,,,134,0,286,247,0,0,1,0,0,668,0,0,668,0
15,Kendrapara ,103,Aul,258,,,,,,,,193,2,319,127,0,0,0,0,1,642,0,0,642,0
15,Kendrapara ,103,Aul,259,,,,,,,,121,1,276,152,1,1,0,0,0,552,0,2,554,0
15,Kendrapara ,103,Aul,260,,,,,,,,256,5,287,313,1,0,1,1,0,864,0,3,867,0
15,Kendrapara ,103,Aul,261,,,,,,,,116,0,314,250,0,0,1,0,1,682,0,2,684,0
15,Kendrapara ,103,Aul,262,,,,,,,,173,2,388,273,1,0,0,0,0,837,0,3,840,0
15,Kendrapara ,103,Aul,263,,,,,,,,68,3,366,232,2,3,3,1,0,678,0,3,681,0
15,Kendrapara ,103,Aul,264,,,,,,,,48,0,506,201,2,1,0,1,0,759,0,1,760,0
15,Kendrapara ,103,Aul,265,,,,,,,,130,2,375,138,0,0,0,0,0,645,0,0,645,0
15,Kendrapara ,103,Aul,266,,,,,,,,71,0,272,173,0,0,1,0,0,517,0,2,519,0
15,Kendrapara ,103,Aul,267,,,,,,,,79,3,433,309,2,1,1,1,2,831,0,1,832,0
15,Kendrapara ,103,Aul,268,,,,,,,,63,0,427,211,0,1,0,0,1,703,0,1,704,0
15,Kendrapara ,103,Aul,269,,,,,,,,43,0,307,131,1,0,0,0,0,482,0,0,482,0
15,Kendrapara ,103,Aul,270,,,,,,,,16,1,347,186,0,0,0,0,1,551,0,1,552,0
15,Kendrapara ,103,Aul,271,,,,,,,,10,0,247,68,0,0,0,0,0,325,0,0,325,0
15,Kendrapara ,103,Aul,272,,,,,,,,51,4,564,334,2,0,0,1,0,956,0,3,959,0
15,Kendrapara ,103,Aul,273,,,,,,,,41,0,168,109,1,1,2,0,0,322,0,1,323,0
15,Kendrapara ,103,Aul,274,,,,,,,,33,0,302,177,0,0,1,0,0,513,0,0,513,0
