pc_id,pc_name,ac_id,ac_name,Serial No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total of valid votes,No.of rejected votes,NOTA,Total,No.of tendered votes
12,Nabarangpur,82,Kotpad,136,,,,,,,,216.0,4.0,197.0,91.0,1.0,3.0,512,0,3.0,515,0
12,Nabarangpur,82,Kotpad,137,,,,,,,,97.0,9.0,225.0,480.0,10.0,13.0,834,0,18.0,852,0
12,Nabarangpur,82,Kotpad,138,,,,,,,,95.0,8.0,185.0,555.0,15.0,4.0,862,0,5.0,867,0
12,Nabarangpur,82,Kotpad,139,,,,,,,,281.0,4.0,345.0,94.0,6.0,8.0,738,0,3.0,741,0
12,Nabarangpur,82,Kotpad,140,,,,,,,,199.0,6.0,166.0,26.0,1.0,3.0,401,0,8.0,409,0
12,Nabarangpur,82,Kotpad,141,,,,,,,,250.0,4.0,261.0,306.0,11.0,4.0,836,0,4.0,840,0
12,Nabarangpur,82,Kotpad,142,,,,,,,,83.0,4.0,229.0,467.0,7.0,0.0,790,0,0.0,790,0
12,Nabarangpur,82,Kotpad,143,,,,,,,,66.0,11.0,295.0,536.0,17.0,8.0,933,0,19.0,952,0
12,Nabarangpur,82,Kotpad,144,,,,,,,,29.0,2.0,84.0,429.0,14.0,7.0,565,0,11.0,576,0
12,Nabarangpur,82,Kotpad,145,,,,,,,,2.0,0.0,45.0,711.0,3.0,0.0,761,0,0.0,761,0
12,Nabarangpur,82,Kotpad,146,,,,,,,,41.0,14.0,186.0,395.0,4.0,1.0,641,0,15.0,656,0
12,Nabarangpur,82,Kotpad,147,,,,,,,,16.0,2.0,197.0,562.0,13.0,3.0,793,0,4.0,797,0
12,Nabarangpur,82,Kotpad,148,,,,,,,,9.0,5.0,62.0,589.0,20.0,1.0,686,0,9.0,695,0
12,Nabarangpur,82,Kotpad,149,,,,,,,,22.0,15.0,111.0,623.0,21.0,6.0,798,0,14.0,812,0
12,Nabarangpur,82,Kotpad,150,,,,,,,,36.0,5.0,106.0,566.0,31.0,2.0,746,0,6.0,752,0
12,Nabarangpur,82,Kotpad,151,,,,,,,,169.0,8.0,179.0,321.0,19.0,8.0,704,0,16.0,720,0
12,Nabarangpur,82,Kotpad,152,,,,,,,,14.0,1.0,20.0,367.0,1.0,0.0,403,0,0.0,403,0
12,Nabarangpur,82,Kotpad,2,,,,,,,,3.0,4.0,5.0,6.0,7.0,8.0,9,10,11.0,12,13
12,Nabarangpur,82,Kotpad,153,,,,,,,,107.0,2.0,176.0,233.0,6.0,1.0,525,0,1.0,526,0
12,Nabarangpur,82,Kotpad,154,,,,,,,,114.0,3.0,354.0,105.0,5.0,5.0,586,0,4.0,590,0
12,Nabarangpur,82,Kotpad,155,,,,,,,,148.0,2.0,287.0,312.0,17.0,10.0,776,0,9.0,785,0
12,Nabarangpur,82,Kotpad,156,,,,,,,,172.0,7.0,310.0,114.0,4.0,5.0,612,0,5.0,617,0
12,Nabarangpur,82,Kotpad,157,,,,,,,,155.0,11.0,115.0,300.0,8.0,3.0,592,0,5.0,597,0
12,Nabarangpur,82,Kotpad,158,,,,,,,,46.0,3.0,133.0,151.0,11.0,6.0,350,0,12.0,362,0
12,Nabarangpur,82,Kotpad,159,,,,,,,,48.0,4.0,163.0,296.0,13.0,3.0,527,0,7.0,534,0
12,Nabarangpur,82,Kotpad,160,,,,,,,,215.0,12.0,356.0,298.0,18.0,11.0,910,0,13.0,923,0
12,Nabarangpur,82,Kotpad,161,,,,,,,,5.0,2.0,112.0,427.0,9.0,1.0,556,0,4.0,560,0
12,Nabarangpur,82,Kotpad,162,,,,,,,,34.0,4.0,199.0,435.0,23.0,5.0,700,0,4.0,704,0
12,Nabarangpur,82,Kotpad,163,,,,,,,,9.0,2.0,77.0,383.0,6.0,4.0,481,0,3.0,484,0
12,Nabarangpur,82,Kotpad,164,,,,,,,,4.0,1.0,34.0,513.0,15.0,3.0,570,0,2.0,572,0
12,Nabarangpur,82,Kotpad,165,,,,,,,,145.0,6.0,153.0,527.0,27.0,11.0,869,0,13.0,882,0
12,Nabarangpur,82,Kotpad,166,,,,,,,,227.0,10.0,129.0,197.0,17.0,5.0,585,0,5.0,590,0
12,Nabarangpur,82,Kotpad,167,,,,,,,,142.0,5.0,366.0,289.0,4.0,3.0,809,0,3.0,812,0
12,Nabarangpur,82,Kotpad,168,,,,,,,,134.0,7.0,186.0,47.0,2.0,2.0,378,0,8.0,386,0
12,Nabarangpur,82,Kotpad,169,,,,,,,,224.0,9.0,314.0,159.0,10.0,22.0,738,0,41.0,779,0
12,Nabarangpur,82,Kotpad,170,,,,,,,,177.0,8.0,186.0,54.0,13.0,14.0,452,0,11.0,463,0
12,Nabarangpur,82,Kotpad,171,,,,,,,,68.0,10.0,243.0,116.0,8.0,6.0,451,0,13.0,464,0
12,Nabarangpur,82,Kotpad,172,,,,,,,,82.0,13.0,266.0,243.0,9.0,6.0,619,0,8.0,627,0
12,Nabarangpur,82,Kotpad,173,,,,,,,,32.0,16.0,117.0,265.0,7.0,4.0,441,0,6.0,447,0
12,Nabarangpur,82,Kotpad,174,,,,,,,,77.0,4.0,150.0,407.0,10.0,9.0,657,0,12.0,669,0
12,Nabarangpur,82,Kotpad,175,,,,,,,,nan,nan,nan,nan,nan,nan,0,0,nan,0,0
12,Nabarangpur,82,Kotpad,2,,,,,,,,3.0,4.0,5.0,6.0,7.0,8.0,9,10,11.0,12,13
12,Nabarangpur,82,Kotpad,176,,,,,,,,252.0,9.0,115.0,412.0,17.0,6.0,811,0,7.0,818,0
12,Nabarangpur,82,Kotpad,177,,,,,,,,98.0,4.0,161.0,453.0,10.0,9.0,735,0,17.0,752,0
12,Nabarangpur,82,Kotpad,178,,,,,,,,28.0,23.0,331.0,238.0,19.0,9.0,648,0,4.0,652,0
