pc_id,pc_name,ac_id,ac_name,Booth No.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Total Valid votes,No. of Rejected Votes,Total,No. of Tendered Votes,Votes for NOTA option
4,Keonjhar,21,Karanjia,42,,,,,,,,238,123,109,3,5,5,2,485,0,493,0,8
4,Keonjhar,21,Karanjia,43,,,,,,,,188,22,177,3,1,4,3,398,0,403,0,5
4,Keonjhar,21,Karanjia,44,,,,,,,,53,164,255,9,1,4,1,487,0,496,0,9
4,Keonjhar,21,Karanjia,45,,,,,,,,559,70,168,4,3,5,7,816,0,819,0,3
4,Keonjhar,21,Karanjia,46,,,,,,,,380,105,309,8,6,6,13,827,0,845,0,18
4,Keonjhar,21,Karanjia,47,,,,,,,,244,90,420,5,3,3,16,781,0,818,0,37
4,Keonjhar,21,Karanjia,48,,,,,,,,234,34,101,5,3,0,5,382,0,384,0,2
4,Keonjhar,21,Karanjia,49,,,,,,,,286,78,203,5,2,3,11,588,0,602,0,14
4,Keonjhar,21,Karanjia,50,,,,,,,,241,44,228,2,0,1,0,516,0,517,0,1
4,Keonjhar,21,Karanjia,51,,,,,,,,127,51,170,4,1,3,3,359,0,361,0,2
4,Keonjhar,21,Karanjia,52,,,,,,,,207,17,223,0,0,2,3,452,0,456,0,4
4,Keonjhar,21,Karanjia,53,,,,,,,,204,155,269,3,1,3,7,642,0,654,0,12
4,Keonjhar,21,Karanjia,54,,,,,,,,154,241,541,2,22,7,8,975,0,981,0,6
4,Keonjhar,21,Karanjia,55,,,,,,,,123,67,332,2,1,3,6,534,0,536,0,2
4,Keonjhar,21,Karanjia,56,,,,,,,,161,80,284,2,0,3,2,532,0,532,0,0
4,Keonjhar,21,Karanjia,57,,,,,,,,210,125,385,3,3,2,13,741,0,753,0,12
4,Keonjhar,21,Karanjia,58,,,,,,,,170,135,267,0,6,0,4,582,0,587,0,5
4,Keonjhar,21,Karanjia,59,,,,,,,,214,44,267,3,1,0,3,532,0,534,0,2
4,Keonjhar,21,Karanjia,60,,,,,,,,95,49,378,2,2,0,2,528,0,531,0,3
4,Keonjhar,21,Karanjia,61,,,,,,,,109,179,483,1,10,6,11,799,0,802,0,3
4,Keonjhar,21,Karanjia,62,,,,,,,,71,128,205,0,5,0,4,413,0,413,0,0
4,Keonjhar,21,Karanjia,63,,,,,,,,270,153,393,7,11,4,13,851,0,868,0,17
