pc_id,pc_name,ac_id,ac_name,Serial No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Candidate 13,Candidate 14,Total valid votes,NO of rejected votes,NOTA,Total,No of tendered Votes
17,Puri,114,Brahmagiri,76,,,,,,,,147,113,0,0,12,0,0,0,0,0,0,0,0,2,274,0,4,278,0
17,Puri,114,Brahmagiri,77,,,,,,,,231,151,2,0,26,1,0,1,0,0,0,2,3,2,419,0,1,420,0
17,Puri,114,Brahmagiri,78,,,,,,,,189,69,0,0,13,0,0,0,1,0,1,0,0,0,273,0,2,275,0
17,Puri,114,Brahmagiri,79,,,,,,,,290,151,2,1,10,0,0,0,0,0,1,0,4,1,460,0,3,463,0
17,Puri,114,Brahmagiri,80,,,,,,,,502,53,1,0,3,1,0,0,2,0,0,1,3,4,570,0,3,573,0
17,Puri,114,Brahmagiri,81,,,,,,,,311,133,1,0,13,0,0,0,0,1,0,1,3,2,465,0,5,470,0
17,Puri,114,Brahmagiri,82,,,,,,,,327,237,3,1,23,0,0,0,0,1,2,0,6,0,600,0,11,611,0
17,Puri,114,Brahmagiri,83,,,,,,,,268,225,1,4,25,0,0,0,0,0,0,0,5,0,528,0,3,531,0
17,Puri,114,Brahmagiri,84,,,,,,,,279,228,1,1,14,2,0,1,1,0,0,0,6,1,534,0,3,537,0
17,Puri,114,Brahmagiri,85,,,,,,,,355,275,0,0,18,0,0,0,0,0,0,0,6,0,654,0,5,659,0
17,Puri,114,Brahmagiri,86,,,,,,,,351,192,1,2,14,0,1,0,0,1,0,0,6,2,570,0,4,574,0
17,Puri,114,Brahmagiri,87,,,,,,,,262,152,1,0,13,0,0,0,0,4,1,1,4,1,439,0,0,439,0
17,Puri,114,Brahmagiri,88,,,,,,,,291,198,0,1,24,1,0,1,0,1,0,1,5,0,523,0,3,526,0
17,Puri,114,Brahmagiri,89,,,,,,,,325,222,2,1,14,0,0,0,0,3,1,0,4,0,572,0,2,574,0
17,Puri,114,Brahmagiri,90,,,,,,,,287,143,0,1,14,0,0,1,0,0,0,0,3,0,449,0,1,450,0
17,Puri,114,Brahmagiri,91,,,,,,,,484,252,1,2,113,1,0,1,1,2,0,1,3,8,869,0,6,875,0
17,Puri,114,Brahmagiri,92,,,,,,,,493,208,4,15,27,1,1,2,1,4,1,1,8,10,776,0,10,786,0
17,Puri,114,Brahmagiri,93,,,,,,,,245,123,2,6,20,0,0,0,0,0,0,0,5,0,401,0,1,402,0
17,Puri,114,Brahmagiri,94,,,,,,,,345,287,1,0,9,0,1,0,0,0,4,1,8,2,658,0,6,664,0
17,Puri,114,Brahmagiri,95,,,,,,,,360,168,0,12,21,0,0,0,0,1,0,1,0,0,563,0,2,565,0
17,Puri,114,Brahmagiri,96,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Puri,114,Brahmagiri,97,,,,,,,,184,58,0,0,3,0,0,0,0,0,0,1,1,1,248,0,3,251,0
17,Puri,114,Brahmagiri,98,,,,,,,,167,133,0,0,9,0,0,0,0,0,0,0,0,0,309,0,1,310,0
17,Puri,114,Brahmagiri,99,,,,,,,,177,154,3,0,14,0,0,0,0,0,1,0,1,0,350,0,2,352,0
17,Puri,114,Brahmagiri,100,,,,,,,,208,158,2,0,27,1,0,0,0,0,0,0,0,0,396,0,4,400,0
17,Puri,114,Brahmagiri,101,,,,,,,,269,174,1,1,26,0,0,0,0,1,0,0,1,1,474,0,2,476,0
17,Puri,114,Brahmagiri,102,,,,,,,,249,171,0,0,14,1,0,0,1,0,1,0,1,1,439,0,6,445,0
17,Puri,114,Brahmagiri,103,,,,,,,,222,169,2,1,31,1,0,0,0,1,0,1,3,1,432,0,9,441,0
17,Puri,114,Brahmagiri,104,,,,,,,,258,157,2,2,33,0,0,0,0,0,1,0,0,0,453,0,3,456,0
17,Puri,114,Brahmagiri,105,,,,,,,,433,241,1,0,53,0,2,1,0,1,1,0,0,2,735,0,8,743,0
17,Puri,114,Brahmagiri,106,,,,,,,,253,187,0,0,35,0,0,1,0,0,0,0,1,1,478,0,4,482,0
17,Puri,114,Brahmagiri,107,,,,,,,,410,223,2,2,40,1,1,0,0,0,0,1,0,0,680,0,3,683,0
17,Puri,114,Brahmagiri,108,,,,,,,,270,171,0,0,19,0,0,1,0,1,0,1,1,2,466,0,3,469,0
17,Puri,114,Brahmagiri,109,,,,,,,,309,184,1,1,19,2,0,1,0,2,1,0,0,1,521,0,4,525,0
17,Puri,114,Brahmagiri,110,,,,,,,,98,57,0,0,8,1,1,0,0,0,0,0,1,0,166,0,1,167,0
17,Puri,114,Brahmagiri,111,,,,,,,,530,170,3,0,32,1,0,1,0,1,1,2,1,0,742,0,7,749,0
17,Puri,114,Brahmagiri,112,,,,,,,,453,245,0,0,28,1,0,2,0,0,1,0,0,2,732,0,5,737,0
17,Puri,114,Brahmagiri,113,,,,,,,,514,255,3,0,38,1,0,1,2,2,0,2,1,0,819,0,9,828,0
17,Puri,114,Brahmagiri,114,,,,,,,,449,166,1,0,17,0,0,1,0,1,0,0,0,0,635,0,3,638,0
17,Puri,114,Brahmagiri,115,,,,,,,,430,246,0,0,24,0,0,0,0,0,0,0,0,2,702,0,12,714,0
17,Puri,114,Brahmagiri,116,,,,,,,,497,212,2,4,39,1,1,0,0,1,3,3,1,9,773,0,1,774,0
17,Puri,114,Brahmagiri,117,,,,,,,,428,241,0,0,42,2,0,1,3,4,2,2,4,8,737,0,11,748,0
17,Puri,114,Brahmagiri,118,,,,,,,,593,255,3,1,32,1,2,1,2,4,2,2,3,3,904,0,13,917,0
17,Puri,114,Brahmagiri,119,,,,,,,,354,177,2,0,15,0,0,1,0,2,1,1,1,2,556,0,2,558,0
17,Puri,114,Brahmagiri,120,,,,,,,,391,103,3,1,38,0,2,1,0,1,0,0,3,3,546,0,2,548,0
17,Puri,114,Brahmagiri,121,,,,,,,,480,218,2,4,24,2,3,0,3,0,3,4,4,12,759,0,8,767,0
17,Puri,114,Brahmagiri,122,,,,,,,,448,310,3,0,38,1,0,2,0,0,3,0,3,2,810,0,3,813,0
17,Puri,114,Brahmagiri,123,,,,,,,,387,332,4,1,27,0,0,1,1,2,3,2,1,3,764,0,11,775,0
17,Puri,114,Brahmagiri,124,,,,,,,,392,281,8,0,22,0,0,2,0,0,0,0,0,0,705,0,5,710,0
17,Puri,114,Brahmagiri,125,,,,,,,,361,188,1,1,34,1,0,0,0,0,0,2,0,1,589,0,4,593,0
17,Puri,114,Brahmagiri,126,,,,,,,,341,270,1,1,17,1,0,0,0,1,1,0,0,0,633,0,1,634,0
17,Puri,114,Brahmagiri,127,,,,,,,,275,209,2,0,18,0,0,2,0,0,0,0,2,0,508,0,2,510,0
