pc_id,pc_name,ac_id,ac_name,Abani Kuamr Gaya,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Candidate 13,Total,Total Valid votes,Unnamed: 1,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Votes for NOTA option
20,Berhampur,133,Paralakhemundi,nan,,,,,,,,nan,nan,"Sl. No. Polling 
Station No.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Ashok 
Kumar 
Sahoo",Sumit Patro,"Total Valid 
votes","Reject 
votes
 (Test 
Vote)","Votes for 
NOTA 
option",Total,"No. of 
Tendered 
votes","Kanhu 
Charan Pati","Bikram 
Kumar 
Panda","Lingaraj 
Chaudhury","Gobinda 
Chandra 
Sahu","Siba sankar 
Mishra","Abani 
Kuamr 
Gaya","Jeebano 
Patro","Siva 
Shankar 
Dash",nan
20,Berhampur,133,Paralakhemundi,1,,,,,,,,4,443,nan,1,1,278,33,0,0,3,37,65.0,1,811,802,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9
20,Berhampur,133,Paralakhemundi,2,,,,,,,,5,508,nan,1,0,243,29,0,0,4,40,66.0,2,842,834,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8
20,Berhampur,133,Paralakhemundi,6,,,,,,,,2,598,nan,3,2,252,27,0,0,4,34,67.0,0,940,928,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12
20,Berhampur,133,Paralakhemundi,0,,,,,,,,4,617,nan,2,0,249,36,0,0,0,40,68.0,0,957,948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9
20,Berhampur,133,Paralakhemundi,0,,,,,,,,3,499,nan,1,0,167,25,0,0,0,27,69.0,2,727,724,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
20,Berhampur,133,Paralakhemundi,4,,,,,,,,12,663,nan,1,1,166,46,0,0,2,35,70.0,3,945,933,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12
20,Berhampur,133,Paralakhemundi,0,,,,,,,,2,370,nan,0,0,110,19,0,0,1,12,71.0,2,519,516,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
20,Berhampur,133,Paralakhemundi,0,,,,,,,,2,889,nan,2,1,53,47,0,0,2,14,72.0,0,1011,1010,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
20,Berhampur,133,Paralakhemundi,1,,,,,,,,1,578,nan,1,0,60,41,0,0,0,14,73.0,1,700,697,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
20,Berhampur,133,Paralakhemundi,G,,,,,,,,A,C,nan,E,H,B,D,O,L,F,I,nan,J,N,K,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,M
20,Berhampur,133,Paralakhemundi,0,,,,,,,,3,709,nan,0,0,103,47,0,0,0,14,74.0,2,884,878,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
20,Berhampur,133,Paralakhemundi,0,,,,,,,,1,389,nan,1,0,183,22,0,0,1,34,75.0,1,635,632,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
20,Berhampur,133,Paralakhemundi,0,,,,,,,,1,368,nan,2,0,116,21,0,0,0,20,76.0,2,533,530,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
20,Berhampur,133,Paralakhemundi,0,,,,,,,,3,465,nan,0,1,200,36,0,0,1,20,77.0,1,737,727,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10
20,Berhampur,133,Paralakhemundi,1,,,,,,,,1,441,nan,1,0,172,19,0,0,1,20,78.0,1,664,657,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7
20,Berhampur,133,Paralakhemundi,1,,,,,,,,1,428,nan,0,nan,161,15,0,0,0,19,79.0,2,630,627,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
20,Berhampur,133,Paralakhemundi,4,,,,,,,,1,425,nan,2,2,229,40,0,0,0,27,80.0,0,735,730,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
20,Berhampur,133,Paralakhemundi,0,,,,,,,,2,310,nan,1,2,250,36,0,0,5,22,81.0,3,638,631,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7
20,Berhampur,133,Paralakhemundi,3,,,,,,,,3,423,nan,1,1,226,42,0,0,1,26,82.0,0,728,726,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
20,Berhampur,133,Paralakhemundi,0,,,,,,,,2,379,nan,2,2,264,28,0,0,0,10,83.0,41,733,728,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
20,Berhampur,133,Paralakhemundi,0,,,,,,,,1,261,nan,0,0,229,36,0,0,2,16,84.0,1,551,546,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
20,Berhampur,133,Paralakhemundi,2,,,,,,,,2,393,nan,1,1,248,41,0,0,4,27,85.0,3,732,722,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10
20,Berhampur,133,Paralakhemundi,3,,,,,,,,3,365,nan,1,2,270,28,0,0,0,33,86.0,2,717,707,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10
20,Berhampur,133,Paralakhemundi,3,,,,,,,,1,312,nan,1,0,258,24,0,0,0,29,87.0,0,633,628,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
20,Berhampur,133,Paralakhemundi,1,,,,,,,,2,314,nan,1,1,206,20,0,0,1,40,88.0,0,591,586,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
20,Berhampur,133,Paralakhemundi,4,,,,,,,,5,365,nan,2,0,211,22,0,0,0,62,89.0,1,680,672,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8
20,Berhampur,133,Paralakhemundi,0,,,,,,,,1,327,nan,2,0,222,24,0,0,1,38,90.0,0,619,615,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4
20,Berhampur,133,Paralakhemundi,3,,,,,,,,6,415,nan,3,1,204,92,0,0,1,24,91.0,1,753,750,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
20,Berhampur,133,Paralakhemundi,2,,,,,,,,8,519,nan,1,4,153,55,0,0,1,18,92.0,4,777,765,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12
20,Berhampur,133,Paralakhemundi,2,,,,,,,,2,710,nan,3,2,146,45,0,0,1,42,93.0,1,959,954,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
20,Berhampur,133,Paralakhemundi,0,,,,,,,,2,384,nan,1,1,190,45,0,0,2,30,94.0,1,662,656,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
20,Berhampur,133,Paralakhemundi,1,,,,,,,,3,323,nan,0,2,188,25,0,0,1,18,95.0,0,567,561,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
20,Berhampur,133,Paralakhemundi,1,,,,,,,,0,329,nan,2,0,290,46,0,0,2,20,96.0,3,699,693,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
20,Berhampur,133,Paralakhemundi,1,,,,,,,,1,414,nan,1,0,243,19,0,0,1,12,97.0,0,703,692,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11
20,Berhampur,133,Paralakhemundi,1,,,,,,,,0,210,nan,1,1,197,20,0,0,0,6,98.0,0,446,436,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10
20,Berhampur,133,Paralakhemundi,0,,,,,,,,0,254,nan,0,1,176,11,0,0,3,13,99.0,1,465,459,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
20,Berhampur,133,Paralakhemundi,2,,,,,,,,0,325,nan,2,1,202,12,0,0,4,15,100.0,0,566,563,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
20,Berhampur,133,Paralakhemundi,3,,,,,,,,2,385,nan,0,3,255,84,0,0,3,24,101.0,2,770,761,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9
20,Berhampur,133,Paralakhemundi,G,,,,,,,,A,C,nan,E,H,B,D,O,L,F,I,nan,J,N,K,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,M
20,Berhampur,133,Paralakhemundi,0,,,,,,,,1,365,nan,0,1,207,18,0,0,2,22,102.0,1,619,617,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
20,Berhampur,133,Paralakhemundi,5,,,,,,,,5,621,nan,2,2,161,43,0,0,1,69,103.0,1,915,910,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
20,Berhampur,133,Paralakhemundi,2,,,,,,,,1,288,nan,2,1,148,47,0,0,2,24,104.0,0,516,515,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
20,Berhampur,133,Paralakhemundi,1,,,,,,,,1,391,nan,1,3,177,22,0,0,5,45,105.0,2,655,648,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7
20,Berhampur,133,Paralakhemundi,1,,,,,,,,1,254,nan,1,0,196,25,0,0,0,23,106.0,2,509,503,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
20,Berhampur,133,Paralakhemundi,3,,,,,,,,3,426,nan,0,1,215,29,0,0,0,31,107.0,1,712,709,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
