pc_id,pc_name,ac_id,ac_name,Sl. No.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,NOTA,No. of Rejected votes,No. of Tendered Votes,Serial No. of Polling Station,Total,Total of Valid votes
10,Bolangir,69,Titlagarh,219,,,,,,,,322,220,5,131,14,2,4,3,5,0,0,219.0,706,701
10,Bolangir,69,Titlagarh,220,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,220.0,0,0
10,Bolangir,69,Titlagarh,221,,,,,,,,160,345,2,100,9,1,3,4,5,0,0,221.0,629,624
10,Bolangir,69,Titlagarh,222,,,,,,,,165,191,8,190,9,5,5,4,7,0,0,222.0,584,577
10,Bolangir,69,Titlagarh,223,,,,,,,,101,258,5,107,2,2,3,5,6,0,0,223.0,489,483
10,Bolangir,69,Titlagarh,224,,,,,,,,146,249,5,160,4,5,0,1,3,0,0,224.0,573,570
10,Bolangir,69,Titlagarh,225,,,,,,,,216,488,3,144,12,3,3,5,15,0,0,225.0,889,874
10,Bolangir,69,Titlagarh,226,,,,,,,,317,410,7,45,14,6,4,7,8,0,0,226.0,818,810
10,Bolangir,69,Titlagarh,227,,,,,,,,75,135,3,95,7,1,3,4,9,0,0,227.0,332,323
10,Bolangir,69,Titlagarh,228,,,,,,,,56,173,6,74,4,2,1,1,3,0,0,228.0,320,317
10,Bolangir,69,Titlagarh,229,,,,,,,,327,324,7,145,13,4,9,8,17,0,0,229.0,854,837
10,Bolangir,69,Titlagarh,230,,,,,,,,249,467,10,84,9,3,7,11,20,0,0,230.0,860,840
10,Bolangir,69,Titlagarh,231,,,,,,,,269,286,9,78,13,5,3,10,5,0,0,231.0,678,673
10,Bolangir,69,Titlagarh,232,,,,,,,,258,306,5,223,12,4,7,3,12,0,0,232.0,830,818
10,Bolangir,69,Titlagarh,233,,,,,,,,142,93,5,67,4,1,1,0,3,0,0,233.0,316,313
10,Bolangir,69,Titlagarh,234,,,,,,,,285,279,63,211,22,2,12,7,10,0,0,234.0,891,881
10,Bolangir,69,Titlagarh,235,,,,,,,,162,278,4,65,4,0,13,2,6,0,0,235.0,534,528
10,Bolangir,69,Titlagarh,236,,,,,,,,126,225,6,274,4,3,6,2,4,0,0,236.0,650,646
10,Bolangir,69,Titlagarh,237,,,,,,,,39,111,4,277,2,3,3,1,5,0,0,237.0,445,440
10,Bolangir,69,Titlagarh,238,,,,,,,,200,393,20,302,18,10,12,7,8,0,0,238.0,970,962
10,Bolangir,69,Titlagarh,239,,,,,,,,163,239,8,268,3,3,3,0,6,0,0,239.0,693,687
10,Bolangir,69,Titlagarh,240,,,,,,,,170,194,4,75,6,3,3,5,3,0,0,240.0,463,460
10,Bolangir,69,Titlagarh,241,,,,,,,,126,181,2,92,2,6,1,4,15,0,0,241.0,429,414
10,Bolangir,69,Titlagarh,242,,,,,,,,155,231,2,62,7,3,0,0,0,0,0,242.0,460,460
10,Bolangir,69,Titlagarh,243,,,,,,,,142,284,4,176,5,3,5,4,6,0,0,243.0,629,623
10,Bolangir,69,Titlagarh,244,,,,,,,,286,251,4,79,10,2,7,11,9,0,0,244.0,659,650
10,Bolangir,69,Titlagarh,245,,,,,,,,100,228,3,175,4,5,3,4,17,0,0,245.0,539,522
10,Bolangir,69,Titlagarh,246,,,,,,,,235,200,3,39,7,0,4,4,3,0,0,246.0,495,492
10,Bolangir,69,Titlagarh,247,,,,,,,,350,291,8,135,6,2,5,0,4,0,0,247.0,801,797
10,Bolangir,69,Titlagarh,248,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,248.0,0,0
10,Bolangir,69,Titlagarh,249,,,,,,,,123,222,5,100,5,7,7,4,7,0,0,249.0,480,473
10,Bolangir,69,Titlagarh,250,,,,,,,,268,107,28,40,6,2,1,2,8,0,0,250.0,462,454
10,Bolangir,69,Titlagarh,251,,,,,,,,152,300,13,83,7,4,5,8,13,0,0,251.0,585,572
10,Bolangir,69,Titlagarh,252,,,,,,,,222,126,11,100,15,4,15,5,27,0,0,252.0,525,498
10,Bolangir,69,Titlagarh,253,,,,,,,,268,329,7,91,12,5,0,3,5,0,0,253.0,720,715
10,Bolangir,69,Titlagarh,254,,,,,,,,124,227,3,73,2,1,2,1,4,0,0,254.0,437,433
10,Bolangir,69,Titlagarh,255,,,,,,,,40,149,6,85,3,2,4,3,7,0,0,255.0,299,292
10,Bolangir,69,Titlagarh,256,,,,,,,,120,160,6,54,5,0,1,1,3,0,0,256.0,350,347
10,Bolangir,69,Titlagarh,257,,,,,,,,286,408,8,119,9,2,2,2,0,0,0,257.0,836,836
10,Bolangir,69,Titlagarh,258,,,,,,,,260,388,4,55,10,4,3,8,20,0,0,258.0,752,732
10,Bolangir,69,Titlagarh,259,,,,,,,,218,291,8,94,5,2,3,8,15,0,0,259.0,644,629
10,Bolangir,69,Titlagarh,260,,,,,,,,153,315,6,130,6,4,2,1,3,0,0,260.0,620,617
10,Bolangir,69,Titlagarh,261,,,,,,,,113,319,5,167,5,3,1,2,8,0,0,261.0,623,615
10,Bolangir,69,Titlagarh,262,,,,,,,,205,340,5,120,8,7,2,2,7,0,0,262.0,696,689
10,Bolangir,69,Titlagarh,263,,,,,,,,214,230,13,156,6,7,0,1,8,0,0,263.0,635,627
10,Bolangir,69,Titlagarh,264,,,,,,,,193,211,6,184,3,0,1,0,1,0,0,264.0,599,598
10,Bolangir,69,Titlagarh,265,,,,,,,,139,231,16,202,10,3,5,5,9,0,0,265.0,620,611
10,Bolangir,69,Titlagarh,266,,,,,,,,105,288,10,242,6,6,4,2,6,0,0,266.0,669,663
10,Bolangir,69,Titlagarh,267,,,,,,,,140,240,4,211,6,2,6,3,11,0,0,267.0,623,612
