pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Total of Valid votes,No. of rejected Votes  (Test votes),Votes for NOTA option,Total,No of tendered votes
2,Sundargar,7,Bonai,56,,,,,,,,3,413,340,64,1,1,1,1,2,826,0,5,831,0
2,Sundargar,7,Bonai,57,,,,,,,,2,381,380,26,2,0,0,0,1,792,0,8,800,0
2,Sundargar,7,Bonai,58,,,,,,,,2,302,305,25,1,2,2,0,0,639,0,4,643,0
2,Sundargar,7,Bonai,59,,,,,,,,1,165,274,37,2,0,0,1,0,480,0,5,485,0
2,Sundargar,7,Bonai,60,,,,,,,,4,193,461,67,3,1,0,2,3,734,0,2,736,0
2,Sundargar,7,Bonai,61,,,,,,,,0,172,415,128,1,1,0,2,1,720,0,6,726,0
2,Sundargar,7,Bonai,62,,,,,,,,0,70,161,50,1,0,1,0,1,284,0,3,287,0
2,Sundargar,7,Bonai,63,,,,,,,,0,247,502,136,4,3,3,1,2,898,0,2,900,0
2,Sundargar,7,Bonai,64,,,,,,,,1,228,363,69,1,2,4,2,0,670,0,8,678,0
2,Sundargar,7,Bonai,65,,,,,,,,5,202,483,117,2,4,3,1,3,820,0,8,828,0
2,Sundargar,7,Bonai,66,,,,,,,,1,198,353,72,3,0,2,1,3,633,0,13,646,0
2,Sundargar,7,Bonai,67,,,,,,,,5,347,461,33,2,1,0,1,0,850,0,3,853,0
2,Sundargar,7,Bonai,68,,,,,,,,6,188,613,118,10,0,2,1,1,939,0,2,941,0
2,Sundargar,7,Bonai,69,,,,,,,,0,383,497,41,10,2,2,1,1,937,0,8,945,0
2,Sundargar,7,Bonai,70,,,,,,,,1,403,387,60,2,0,1,2,0,856,0,9,865,0
2,Sundargar,7,Bonai,71,,,,,,,,1,141,343,69,2,0,0,0,1,557,0,4,561,0
2,Sundargar,7,Bonai,72,,,,,,,,1,262,411,132,8,0,4,2,4,824,0,7,831,0
2,Sundargar,7,Bonai,73,,,,,,,,5,218,356,61,4,1,2,1,4,652,0,9,661,0
2,Sundargar,7,Bonai,74,,,,,,,,1,248,423,60,3,0,7,0,1,743,0,4,747,0
2,Sundargar,7,Bonai,75,,,,,,,,4,357,533,84,7,3,5,2,5,1000,0,11,1011,0
2,Sundargar,7,Bonai,76,,,,,,,,6,282,386,123,5,2,3,1,6,814,0,1,815,0
2,Sundargar,7,Bonai,77,,,,,,,,2,211,335,103,13,9,7,1,1,682,0,5,687,0
2,Sundargar,7,Bonai,78,,,,,,,,1,221,278,27,0,1,0,1,1,530,0,4,534,0
2,Sundargar,7,Bonai,79,,,,,,,,7,276,503,95,5,4,5,0,2,897,0,12,909,0
2,Sundargar,7,Bonai,80,,,,,,,,4,248,494,105,5,0,4,0,3,863,0,5,868,0
2,Sundargar,7,Bonai,81,,,,,,,,2,289,377,77,2,1,3,3,1,755,0,4,759,0
2,Sundargar,7,Bonai,82,,,,,,,,5,321,368,41,2,0,1,0,1,739,0,8,747,0
2,Sundargar,7,Bonai,83,,,,,,,,6,279,305,73,1,0,2,0,2,668,0,3,671,0
2,Sundargar,7,Bonai,84,,,,,,,,4,272,372,66,10,4,2,2,3,735,0,5,740,0
2,Sundargar,7,Bonai,85,,,,,,,,2,201,279,67,0,0,0,1,2,552,0,7,559,0
2,Sundargar,7,Bonai,86,,,,,,,,1,130,158,46,0,0,0,1,0,336,0,5,341,0
2,Sundargar,7,Bonai,87,,,,,,,,0,177,362,97,1,2,0,0,1,640,0,2,642,0
2,Sundargar,7,Bonai,88,,,,,,,,1,137,213,112,2,0,0,1,2,468,0,1,469,0
2,Sundargar,7,Bonai,89,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Sundargar,7,Bonai,90,,,,,,,,1,25,78,21,2,0,2,4,6,139,0,3,142,0
2,Sundargar,7,Bonai,91,,,,,,,,2,103,293,104,2,5,2,4,3,518,0,5,523,0
2,Sundargar,7,Bonai,92,,,,,,,,3,76,179,86,2,0,0,1,0,347,0,5,352,0
2,Sundargar,7,Bonai,93,,,,,,,,0,127,300,72,1,0,1,2,6,509,0,4,513,0
2,Sundargar,7,Bonai,94,,,,,,,,2,187,374,161,0,1,2,4,16,747,0,13,760,0
2,Sundargar,7,Bonai,95,,,,,,,,2,53,142,64,2,0,0,0,1,264,0,1,265,0
2,Sundargar,7,Bonai,96,,,,,,,,4,172,393,90,5,2,7,2,4,679,0,10,689,0
2,Sundargar,7,Bonai,97,,,,,,,,6,379,593,102,19,1,4,4,5,1113,0,7,1120,0
2,Sundargar,7,Bonai,98,,,,,,,,3,232,328,70,5,3,0,1,0,642,0,3,645,0
2,Sundargar,7,Bonai,99,,,,,,,,2,183,209,51,5,1,3,0,5,459,0,9,468,0
2,Sundargar,7,Bonai,100,,,,,,,,3,219,342,51,2,0,4,1,2,624,0,6,630,0
2,Sundargar,7,Bonai,101,,,,,,,,1,256,308,44,1,1,4,1,1,617,0,8,625,0
2,Sundargar,7,Bonai,102,,,,,,,,10,225,658,103,1,4,3,3,1,1008,0,2,1010,0
2,Sundargar,7,Bonai,103,,,,,,,,7,251,625,172,7,0,4,2,6,1074,0,9,1083,0
