pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of valid Votes,No. of rejected Votes ( Test votes),Votes for NOTA option,Total,No. of tendered votes
12,Nabarangpur,77,Chitrakonda,217,,,,,,,,129,247,78,5,1,0,0,2,462,0,4,466,0
12,Nabarangpur,77,Chitrakonda,218,,,,,,,,252,221,53,10,1,2,4,6,549,0,5,554,0
12,Nabarangpur,77,Chitrakonda,219,,,,,,,,191,273,112,2,1,0,0,1,580,0,5,585,0
12,Nabarangpur,77,Chitrakonda,220,,,,,,,,127,122,158,11,3,3,1,1,426,0,2,428,0
12,Nabarangpur,77,Chitrakonda,221,,,,,,,,292,126,273,10,1,3,3,3,711,0,5,716,0
12,Nabarangpur,77,Chitrakonda,222,,,,,,,,121,306,139,4,1,2,3,6,582,0,17,599,0
12,Nabarangpur,77,Chitrakonda,223,,,,,,,,88,126,233,15,6,5,4,13,490,0,9,499,0
12,Nabarangpur,77,Chitrakonda,224,,,,,,,,239,62,141,13,2,1,7,5,470,0,17,487,0
12,Nabarangpur,77,Chitrakonda,225,,,,,,,,269,120,316,15,2,0,2,3,727,0,5,732,0
12,Nabarangpur,77,Chitrakonda,226,,,,,,,,148,286,171,7,3,2,6,2,625,0,6,631,0
12,Nabarangpur,77,Chitrakonda,227,,,,,,,,160,254,246,7,2,4,5,10,688,0,12,700,0
12,Nabarangpur,77,Chitrakonda,228,,,,,,,,368,343,171,8,8,6,9,6,919,0,12,931,0
12,Nabarangpur,77,Chitrakonda,229,,,,,,,,172,254,257,21,2,3,7,5,721,0,13,734,0
12,Nabarangpur,77,Chitrakonda,230,,,,,,,,201,252,214,7,1,4,3,17,699,0,13,712,0
12,Nabarangpur,77,Chitrakonda,231,,,,,,,,106,121,182,5,0,4,2,2,422,0,5,427,0
12,Nabarangpur,77,Chitrakonda,232,,,,,,,,250,212,233,12,2,3,14,1,727,0,8,735,0
12,Nabarangpur,77,Chitrakonda,233,,,,,,,,237,127,168,5,7,5,6,3,558,0,8,566,0
12,Nabarangpur,77,Chitrakonda,234,,,,,,,,128,164,169,10,3,5,2,8,489,0,13,502,0
12,Nabarangpur,77,Chitrakonda,235,,,,,,,,324,130,67,6,4,2,4,2,539,0,5,544,0
12,Nabarangpur,77,Chitrakonda,236,,,,,,,,130,342,33,1,3,0,2,8,519,0,8,527,0
12,Nabarangpur,77,Chitrakonda,237,,,,,,,,86,67,497,18,4,3,2,1,678,0,2,680,0
12,Nabarangpur,77,Chitrakonda,238,,,,,,,,242,353,269,13,1,1,20,6,905,0,8,913,0
12,Nabarangpur,77,Chitrakonda,239,,,,,,,,184,196,41,1,4,3,4,3,436,0,16,452,0
12,Nabarangpur,77,Chitrakonda,240,,,,,,,,163,109,128,8,4,1,4,2,419,0,20,439,0
12,Nabarangpur,77,Chitrakonda,241,,,,,,,,233,131,60,5,1,3,2,0,435,0,13,448,0
12,Nabarangpur,77,Chitrakonda,242,,,,,,,,317,157,138,4,4,4,4,7,635,0,15,650,0
12,Nabarangpur,77,Chitrakonda,243,,,,,,,,349,271,88,7,2,3,4,2,726,0,8,734,0
12,Nabarangpur,77,Chitrakonda,244,,,,,,,,223,172,17,5,0,0,4,4,425,0,9,434,0
12,Nabarangpur,77,Chitrakonda,245,,,,,,,,102,250,52,5,3,0,5,3,420,0,13,433,0
12,Nabarangpur,77,Chitrakonda,246,,,,,,,,105,102,129,2,3,6,1,2,350,0,4,354,0
12,Nabarangpur,77,Chitrakonda,247,,,,,,,,181,125,213,14,3,6,4,7,553,0,18,571,0
12,Nabarangpur,77,Chitrakonda,248,,,,,,,,237,107,236,14,6,4,3,9,616,0,10,626,0
12,Nabarangpur,77,Chitrakonda,249,,,,,,,,194,260,121,5,6,2,6,7,601,0,2,603,0
12,Nabarangpur,77,Chitrakonda,250,,,,,,,,277,222,152,10,1,3,6,4,675,0,6,681,0
12,Nabarangpur,77,Chitrakonda,251,,,,,,,,324,83,8,6,3,9,5,9,447,0,19,466,0
12,Nabarangpur,77,Chitrakonda,252,,,,,,,,281,121,81,6,3,3,4,4,503,0,7,510,0
12,Nabarangpur,77,Chitrakonda,253,,,,,,,,374,148,79,7,6,5,7,9,635,0,10,645,0
12,Nabarangpur,77,Chitrakonda,254,,,,,,,,245,447,230,16,7,9,7,3,964,0,11,975,0
12,Nabarangpur,77,Chitrakonda,255,,,,,,,,323,100,134,8,2,2,5,5,579,0,10,589,0
12,Nabarangpur,77,Chitrakonda,256,,,,,,,,316,125,92,9,4,9,16,14,585,0,16,601,0
12,Nabarangpur,77,Chitrakonda,257,,,,,,,,276,128,143,9,4,9,6,13,588,0,13,601,0
12,Nabarangpur,77,Chitrakonda,258,,,,,,,,304,35,119,19,9,10,11,8,515,0,7,522,0
12,Nabarangpur,77,Chitrakonda,259,,,,,,,,214,88,62,3,5,3,6,1,382,0,5,387,0
12,Nabarangpur,77,Chitrakonda,260,,,,,,,,424,65,389,15,7,14,14,15,943,0,36,979,0
12,Nabarangpur,77,Chitrakonda,261,,,,,,,,280,249,128,8,7,8,9,5,694,0,10,704,0
12,Nabarangpur,77,Chitrakonda,262,,,,,,,,189,204,73,8,2,2,6,1,485,0,5,490,0
12,Nabarangpur,77,Chitrakonda,263,,,,,,,,175,375,308,9,3,2,1,2,875,0,6,881,0
12,Nabarangpur,77,Chitrakonda,264,,,,,,,,242,342,185,27,20,5,8,5,834,0,17,851,0
12,Nabarangpur,77,Chitrakonda,265,,,,,,,,168,201,105,7,3,2,4,3,493,0,4,497,0
12,Nabarangpur,77,Chitrakonda,266,,,,,,,,329,132,161,10,3,7,2,6,650,0,23,673,0
12,Nabarangpur,77,Chitrakonda,267,,,,,,,,244,170,88,8,3,1,4,3,521,0,11,532,0
12,Nabarangpur,77,Chitrakonda,268,,,,,,,,465,128,110,12,9,6,5,8,743,0,22,765,0
12,Nabarangpur,77,Chitrakonda,269,,,,,,,,249,272,98,11,5,3,7,3,648,0,16,664,0
12,Nabarangpur,77,Chitrakonda,270,,,,,,,,230,156,147,12,6,7,48,5,611,0,10,621,0
12,Nabarangpur,77,Chitrakonda,271,,,,,,,,471,131,163,15,8,4,11,15,818,0,45,863,0
12,Nabarangpur,77,Chitrakonda,272,,,,,,,,324,100,220,20,5,7,12,13,701,0,35,736,0
