pc_id,pc_name,ac_id,ac_name,Sl. No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total of valid votes,No. of Rejected votes,NOTA,Total,No. of tendered votes
16,Jagatsinghpur,107,Paradeep,85,,,,,,,,16,251,444,4,2,5,729,0,7,730,0
16,Jagatsinghpur,107,Paradeep,86,,,,,,,,18,222,307,3,2,2,557,0,3,557,0
16,Jagatsinghpur,107,Paradeep,87,,,,,,,,7,238,465,4,6,6,733,0,7,736,0
16,Jagatsinghpur,107,Paradeep,88,,,,,,,,9,360,414,2,2,1,791,0,3,798,0
16,Jagatsinghpur,107,Paradeep,89,,,,,,,,9,347,526,6,7,1,906,0,10,907,0
16,Jagatsinghpur,107,Paradeep,90,,,,,,,,6,300,201,7,4,8,535,0,9,538,0
16,Jagatsinghpur,107,Paradeep,91,,,,,,,,5,122,315,1,1,4,453,0,5,461,0
16,Jagatsinghpur,107,Paradeep,92,,,,,,,,15,286,378,1,6,1,699,0,12,703,0
16,Jagatsinghpur,107,Paradeep,93,,,,,,,,10,264,250,3,0,1,533,0,5,538,0
16,Jagatsinghpur,107,Paradeep,94,,,,,,,,13,295,222,0,0,6,540,0,4,548,0
16,Jagatsinghpur,107,Paradeep,95,,,,,,,,18,366,200,6,9,6,617,0,12,620,0
16,Jagatsinghpur,107,Paradeep,96,,,,,,,,20,273,189,0,0,0,483,0,1,484,0
16,Jagatsinghpur,107,Paradeep,97,,,,,,,,4,159,126,0,0,0,298,0,9,310,0
16,Jagatsinghpur,107,Paradeep,98,,,,,,,,13,250,144,0,1,1,415,0,6,419,0
16,Jagatsinghpur,107,Paradeep,99,,,,,,,,32,338,264,1,1,1,646,0,9,651,0
16,Jagatsinghpur,107,Paradeep,100,,,,,,,,8,261,198,1,2,2,475,0,3,475,0
16,Jagatsinghpur,107,Paradeep,101,,,,,,,,12,300,275,1,1,2,595,0,4,597,0
16,Jagatsinghpur,107,Paradeep,102,,,,,,,,10,274,227,0,1,4,522,0,6,526,0
16,Jagatsinghpur,107,Paradeep,103,,,,,,,,11,203,235,2,0,0,452,0,1,452,0
16,Jagatsinghpur,107,Paradeep,104,,,,,,,,9,185,273,0,0,0,472,0,5,472,0
16,Jagatsinghpur,107,Paradeep,105,,,,,,,,11,238,365,1,2,3,623,0,3,623,0
16,Jagatsinghpur,107,Paradeep,106,,,,,,,,12,444,187,0,1,5,658,0,9,660,0
16,Jagatsinghpur,107,Paradeep,107,,,,,,,,16,403,356,0,2,0,783,0,6,783,0
16,Jagatsinghpur,107,Paradeep,108,,,,,,,,16,461,286,3,0,4,777,0,7,780,0
16,Jagatsinghpur,107,Paradeep,109,,,,,,,,18,471,222,1,1,1,721,0,7,724,0
16,Jagatsinghpur,107,Paradeep,110,,,,,,,,13,429,177,0,1,1,625,0,4,629,0
16,Jagatsinghpur,107,Paradeep,111,,,,,,,,13,425,130,0,0,1,571,0,2,574,0
16,Jagatsinghpur,107,Paradeep,112,,,,,,,,12,577,262,1,3,5,869,0,9,869,0
16,Jagatsinghpur,107,Paradeep,113,,,,,,,,12,408,204,2,0,8,638,0,4,639,0
16,Jagatsinghpur,107,Paradeep,114,,,,,,,,9,187,136,0,0,1,335,0,2,336,0
16,Jagatsinghpur,107,Paradeep,115,,,,,,,,9,194,102,2,1,2,310,0,0,310,0
