pc_id,pc_name,ac_id,ac_name,Sl. No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Total of valid votes,No. of rejected Votes (Test votes),Votes for NOTA option,Total,No. of tendered votes
12,Nabarangpur,78,Umerkote,241,,,,,,,,78,252,116,3,6,9,5,469,0,13,482,0
12,Nabarangpur,78,Umerkote,242,,,,,,,,77,492,223,3,7,5,9,816,0,19,835,0
12,Nabarangpur,78,Umerkote,243,,,,,,,,130,380,359,11,14,6,4,904,0,20,924,0
12,Nabarangpur,78,Umerkote,244,,,,,,,,134,281,353,7,17,22,13,827,0,14,841,0
12,Nabarangpur,78,Umerkote,245,,,,,,,,96,512,202,7,6,17,19,859,0,39,898,0
12,Nabarangpur,78,Umerkote,246,,,,,,,,208,151,72,1,4,11,3,450,0,9,459,0
12,Nabarangpur,78,Umerkote,247,,,,,,,,217,473,109,3,3,39,4,848,0,2,850,0
12,Nabarangpur,78,Umerkote,248,,,,,,,,88,175,109,5,22,533,8,940,0,10,950,0
12,Nabarangpur,78,Umerkote,249,,,,,,,,99,200,100,13,11,323,9,755,0,21,776,0
12,Nabarangpur,78,Umerkote,250,,,,,,,,134,124,91,3,7,80,6,445,0,3,448,0
12,Nabarangpur,78,Umerkote,251,,,,,,,,325,254,173,7,6,15,4,784,0,7,791,0
12,Nabarangpur,78,Umerkote,252,,,,,,,,155,194,165,17,10,12,4,557,0,14,571,0
12,Nabarangpur,78,Umerkote,253,,,,,,,,313,253,180,7,18,10,13,794,0,22,816,0
12,Nabarangpur,78,Umerkote,254,,,,,,,,130,70,73,8,8,4,2,295,0,1,296,0
12,Nabarangpur,78,Umerkote,255,,,,,,,,248,330,171,8,8,10,3,778,0,13,791,0
12,Nabarangpur,78,Umerkote,256,,,,,,,,211,309,237,8,16,12,8,801,0,33,834,0
12,Nabarangpur,78,Umerkote,257,,,,,,,,279,272,63,3,1,3,2,623,0,3,626,0
12,Nabarangpur,78,Umerkote,258,,,,,,,,67,111,101,8,1,1,2,291,0,3,294,0
12,Nabarangpur,78,Umerkote,259,,,,,,,,211,199,94,2,9,6,3,524,0,4,528,0
12,Nabarangpur,78,Umerkote,260,,,,,,,,78,421,190,2,1,3,1,696,0,3,699,0
12,Nabarangpur,78,Umerkote,261,,,,,,,,71,491,188,0,1,5,0,756,0,6,762,0
12,Nabarangpur,78,Umerkote,262,,,,,,,,64,298,176,8,9,17,10,582,0,13,595,0
12,Nabarangpur,78,Umerkote,263,,,,,,,,40,242,193,1,2,5,1,484,0,1,485,0
12,Nabarangpur,78,Umerkote,264,,,,,,,,116,400,205,5,1,37,8,772,0,11,783,0
12,Nabarangpur,78,Umerkote,265,,,,,,,,109,253,132,4,2,8,3,511,0,3,514,0
12,Nabarangpur,78,Umerkote,266,,,,,,,,132,459,291,5,4,8,3,902,0,10,912,0
12,Nabarangpur,78,Umerkote,267,,,,,,,,75,473,271,3,3,3,2,830,0,7,837,0
12,Nabarangpur,78,Umerkote,268,,,,,,,,37,367,368,1,1,5,0,779,0,4,783,0
12,Nabarangpur,78,Umerkote,269,,,,,,,,70,484,355,4,4,8,3,928,0,11,939,0
12,Nabarangpur,78,Umerkote,270,,,,,,,,159,499,155,6,5,10,10,844,0,3,847,0
12,Nabarangpur,78,Umerkote,271,,,,,,,,82,751,265,7,4,6,8,1123,0,13,1136,0
12,Nabarangpur,78,Umerkote,272,,,,,,,,67,430,137,2,4,10,2,652,0,5,657,0
