pc_id,pc_name,ac_id,ac_name,Serial no of Polling station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of valid votes,No. of rejected Votes(Testes),VotesforNOTA option,Total,No. of tendered votes
21,Koraput,144,Lakshmipur,26,,,,,,,,222,301,5,295,4,8,3,3,841,0,12,853,0
21,Koraput,144,Lakshmipur,27,,,,,,,,111,311,3,377,4,4,3,5,818,0,8,826,0
21,Koraput,144,Lakshmipur,28,,,,,,,,175,260,11,359,15,19,9,9,857,0,16,873,0
21,Koraput,144,Lakshmipur,29,,,,,,,,140,45,7,297,6,13,3,2,513,0,4,517,0
21,Koraput,144,Lakshmipur,30,,,,,,,,293,301,13,386,21,38,11,20,1083,0,16,1099,0
21,Koraput,144,Lakshmipur,31,,,,,,,,85,130,5,294,6,9,11,9,549,0,18,567,0
21,Koraput,144,Lakshmipur,32,,,,,,,,290,165,11,414,12,19,11,12,934,0,34,968,0
21,Koraput,144,Lakshmipur,33,,,,,,,,359,60,23,363,7,15,12,28,867,0,42,909,0
21,Koraput,144,Lakshmipur,34,,,,,,,,308,62,17,282,15,15,10,5,714,0,19,733,0
21,Koraput,144,Lakshmipur,35,,,,,,,,336,73,15,275,10,10,9,7,735,0,6,741,0
21,Koraput,144,Lakshmipur,36,,,,,,,,284,58,6,215,8,72,2,1,646,0,2,648,0
21,Koraput,144,Lakshmipur,37,,,,,,,,189,48,5,109,7,4,4,6,372,0,6,378,0
21,Koraput,144,Lakshmipur,38,,,,,,,,285,168,21,412,11,16,11,15,939,0,28,967,0
21,Koraput,144,Lakshmipur,39,,,,,,,,124,117,9,419,4,1,5,7,686,0,14,700,0
21,Koraput,144,Lakshmipur,40,,,,,,,,112,116,9,370,6,6,8,5,632,0,10,642,0
21,Koraput,144,Lakshmipur,41,,,,,,,,81,88,4,99,3,0,4,1,280,0,0,280,0
21,Koraput,144,Lakshmipur,42,,,,,,,,329,249,32,382,20,26,33,19,1090,0,67,1157,0
21,Koraput,144,Lakshmipur,43,,,,,,,,196,51,3,196,14,18,11,26,515,0,54,569,0
21,Koraput,144,Lakshmipur,44,,,,,,,,192,100,25,179,15,30,35,66,642,0,53,695,0
21,Koraput,144,Lakshmipur,45,,,,,,,,187,14,5,72,5,6,6,3,298,0,15,313,0
21,Koraput,144,Lakshmipur,46,,,,,,,,245,72,12,197,12,8,10,1,557,0,9,566,0
21,Koraput,144,Lakshmipur,47,,,,,,,,165,140,9,131,7,0,8,6,466,0,4,470,0
