pc_id,pc_name,ac_id,ac_name,BOOTH NO,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,TOTAL VALID VOTES,No of rejected votes,NOTA,Total,No of Tendered votes
5,Mayurbhanj,31,Rairangpur,148,,,,,,,,44,206,395,9,7,661,0,9,670,0
5,Mayurbhanj,31,Rairangpur,149,,,,,,,,22,267,292,3,1,585,0,7,592,0
5,Mayurbhanj,31,Rairangpur,150,,,,,,,,8,259,196,1,2,466,0,1,467,0
5,Mayurbhanj,31,Rairangpur,151,,,,,,,,24,296,560,2,7,889,0,2,891,0
5,Mayurbhanj,31,Rairangpur,152,,,,,,,,9,163,278,4,7,461,0,8,469,0
5,Mayurbhanj,31,Rairangpur,153,,,,,,,,21,307,369,1,2,700,0,1,701,0
5,Mayurbhanj,31,Rairangpur,154,,,,,,,,36,314,400,3,7,760,0,5,765,0
5,Mayurbhanj,31,Rairangpur,155,,,,,,,,13,68,60,0,1,142,0,1,143,0
5,Mayurbhanj,31,Rairangpur,156,,,,,,,,22,229,270,2,4,527,0,9,536,0
5,Mayurbhanj,31,Rairangpur,157,,,,,,,,37,244,323,11,2,617,0,4,621,0
5,Mayurbhanj,31,Rairangpur,158,,,,,,,,48,335,390,4,9,786,0,2,788,0
5,Mayurbhanj,31,Rairangpur,159,,,,,,,,25,367,337,4,1,734,0,5,739,0
5,Mayurbhanj,31,Rairangpur,160,,,,,,,,6,240,171,0,1,418,0,4,422,0
5,Mayurbhanj,31,Rairangpur,161,,,,,,,,24,431,438,4,4,901,0,6,907,0
5,Mayurbhanj,31,Rairangpur,162,,,,,,,,13,312,336,2,2,665,0,11,676,0
5,Mayurbhanj,31,Rairangpur,163,,,,,,,,18,206,292,1,3,520,0,2,522,0
5,Mayurbhanj,31,Rairangpur,164,,,,,,,,25,159,273,0,1,458,0,7,465,0
5,Mayurbhanj,31,Rairangpur,165,,,,,,,,20,613,343,9,5,990,0,28,1018,0
5,Mayurbhanj,31,Rairangpur,166,,,,,,,,14,229,205,1,7,456,0,6,462,0
5,Mayurbhanj,31,Rairangpur,167,,,,,,,,10,245,210,4,7,476,0,18,494,0
5,Mayurbhanj,31,Rairangpur,168,,,,,,,,22,294,372,8,7,703,0,11,714,0
5,Mayurbhanj,31,Rairangpur,169,,,,,,,,58,130,333,4,18,543,0,14,557,0
5,Mayurbhanj,31,Rairangpur,170,,,,,,,,57,172,238,2,12,481,0,8,489,0
5,Mayurbhanj,31,Rairangpur,171,,,,,,,,43,288,339,5,9,684,0,7,691,0
5,Mayurbhanj,31,Rairangpur,172,,,,,,,,14,261,162,3,2,442,0,7,449,0
5,Mayurbhanj,31,Rairangpur,173,,,,,,,,9,286,352,6,3,656,0,10,666,0
5,Mayurbhanj,31,Rairangpur,174,,,,,,,,11,301,244,5,3,564,0,8,572,0
5,Mayurbhanj,31,Rairangpur,175,,,,,,,,10,206,110,1,1,328,0,2,330,0
5,Mayurbhanj,31,Rairangpur,176,,,,,,,,1,658,15,1,0,675,0,2,677,0
5,Mayurbhanj,31,Rairangpur,177,,,,,,,,14,414,233,10,9,680,0,13,693,0
5,Mayurbhanj,31,Rairangpur,178,,,,,,,,29,335,511,17,6,898,0,35,933,0
5,Mayurbhanj,31,Rairangpur,179,,,,,,,,12,146,185,2,2,347,0,4,351,0
5,Mayurbhanj,31,Rairangpur,180,,,,,,,,11,181,142,3,1,338,0,8,346,0
5,Mayurbhanj,31,Rairangpur,181,,,,,,,,21,115,429,6,5,576,0,4,580,0
5,Mayurbhanj,31,Rairangpur,182,,,,,,,,22,135,224,4,3,388,0,10,398,0
5,Mayurbhanj,31,Rairangpur,183,,,,,,,,34,500,404,3,3,944,0,8,952,0
5,Mayurbhanj,31,Rairangpur,184,,,,,,,,11,228,240,4,4,487,0,2,489,0
5,Mayurbhanj,31,Rairangpur,185,,,,,,,,22,215,292,4,5,538,0,8,546,0
5,Mayurbhanj,31,Rairangpur,186,,,,,,,,5,185,141,1,4,336,0,4,340,0
5,Mayurbhanj,31,Rairangpur,187,,,,,,,,12,417,291,1,5,726,0,10,736,0
5,Mayurbhanj,31,Rairangpur,188,,,,,,,,7,138,169,1,2,317,0,4,321,0
5,Mayurbhanj,31,Rairangpur,189,,,,,,,,18,232,303,6,8,567,0,5,572,0
5,Mayurbhanj,31,Rairangpur,190,,,,,,,,31,170,544,4,5,754,0,2,756,0
5,Mayurbhanj,31,Rairangpur,191,,,,,,,,21,341,461,4,0,827,0,5,832,0
5,Mayurbhanj,31,Rairangpur,192,,,,,,,,18,213,318,1,3,553,0,2,555,0
5,Mayurbhanj,31,Rairangpur,193,,,,,,,,20,462,236,5,3,726,0,1,727,0
5,Mayurbhanj,31,Rairangpur,194,,,,,,,,4,59,294,2,0,359,0,1,360,0
5,Mayurbhanj,31,Rairangpur,195,,,,,,,,7,114,183,4,0,308,0,8,316,0
5,Mayurbhanj,31,Rairangpur,196,,,,,,,,8,218,233,1,0,460,0,1,461,0
5,Mayurbhanj,31,Rairangpur,197,,,,,,,,17,222,186,2,1,428,0,12,440,0
5,Mayurbhanj,31,Rairangpur,198,,,,,,,,51,327,325,5,29,737,0,16,753,0
5,Mayurbhanj,31,Rairangpur,199,,,,,,,,30,515,351,1,3,900,0,3,903,0
5,Mayurbhanj,31,Rairangpur,200,,,,,,,,39,381,386,5,2,813,0,11,824,0
5,Mayurbhanj,31,Rairangpur,201,,,,,,,,32,178,219,6,4,439,0,3,442,0
5,Mayurbhanj,31,Rairangpur,202,,,,,,,,51,486,341,3,7,888,0,9,897,0
5,Mayurbhanj,31,Rairangpur,203,,,,,,,,13,181,131,0,2,327,0,3,330,0
5,Mayurbhanj,31,Rairangpur,204,,,,,,,,18,480,239,6,10,753,0,11,764,0
5,Mayurbhanj,31,Rairangpur,205,,,,,,,,37,362,166,9,2,576,0,12,588,0
5,Mayurbhanj,31,Rairangpur,206,,,,,,,,32,548,386,2,4,972,0,6,978,0
5,Mayurbhanj,31,Rairangpur,207,,,,,,,,24,207,152,1,4,388,0,1,389,0
5,Mayurbhanj,31,Rairangpur,208,,,,,,,,12,346,264,5,1,628,0,8,636,0
5,Mayurbhanj,31,Rairangpur,209,,,,,,,,21,332,167,0,2,522,0,3,525,0
5,Mayurbhanj,31,Rairangpur,210,,,,,,,,39,307,299,4,3,652,0,2,654,0
5,Mayurbhanj,31,Rairangpur,211,,,,,,,,11,246,183,1,2,443,0,4,447,0
5,Mayurbhanj,31,Rairangpur,212,,,,,,,,17,503,500,2,5,1027,0,9,1036,0
5,Mayurbhanj,31,Rairangpur,213,,,,,,,,12,243,136,0,0,391,0,2,393,0
5,Mayurbhanj,31,Rairangpur,214,,,,,,,,11,296,194,2,2,505,0,2,507,0
5,Mayurbhanj,31,Rairangpur,215,,,,,,,,21,357,224,1,1,604,0,3,607,0
5,Mayurbhanj,31,Rairangpur,216,,,,,,,,14,394,285,4,4,701,0,7,708,0
5,Mayurbhanj,31,Rairangpur,217,,,,,,,,9,264,261,1,1,536,0,1,537,0
5,Mayurbhanj,31,Rairangpur,218,,,,,,,,35,458,410,9,9,921,0,9,930,0
5,Mayurbhanj,31,Rairangpur,219,,,,,,,,10,456,197,1,1,665,0,3,668,0
5,Mayurbhanj,31,Rairangpur,220,,,,,,,,37,386,269,5,4,701,0,6,707,0
5,Mayurbhanj,31,Rairangpur,221,,,,,,,,22,268,164,6,3,463,0,7,470,0
5,Mayurbhanj,31,Rairangpur,222,,,,,,,,10,288,158,0,2,458,0,0,458,0
5,Mayurbhanj,31,Rairangpur,223,,,,,,,,62,335,458,14,19,888,0,34,922,0
5,Mayurbhanj,31,Rairangpur,224,,,,,,,,38,617,336,8,13,1012,0,25,1037,0
5,Mayurbhanj,31,Rairangpur,225,,,,,,,,8,187,191,2,2,390,0,5,395,0
5,Mayurbhanj,31,Rairangpur,226,,,,,,,,21,194,117,0,3,335,0,2,337,0
5,Mayurbhanj,31,Rairangpur,227,,,,,,,,95,428,303,5,9,840,0,7,847,0
5,Mayurbhanj,31,Rairangpur,228,,,,,,,,56,283,297,3,0,639,0,5,644,0
5,Mayurbhanj,31,Rairangpur,229,,,,,,,,119,205,272,18,23,637,0,75,712,0
5,Mayurbhanj,31,Rairangpur,230,,,,,,,,37,420,288,4,5,754,0,7,761,0
5,Mayurbhanj,31,Rairangpur,231,,,,,,,,29,517,302,6,6,860,0,5,865,0
5,Mayurbhanj,31,Rairangpur,232,,,,,,,,39,362,345,9,4,759,0,7,766,0
5,Mayurbhanj,31,Rairangpur,233,,,,,,,,21,268,323,7,11,630,0,2,632,0
5,Mayurbhanj,31,Rairangpur,234,,,,,,,,15,297,178,1,2,493,0,11,504,0
5,Mayurbhanj,31,Rairangpur,235,,,,,,,,18,264,156,2,7,447,0,7,454,0
5,Mayurbhanj,31,Rairangpur,236,,,,,,,,30,234,313,10,8,595,0,11,606,0
5,Mayurbhanj,31,Rairangpur,237,,,,,,,,105,430,462,13,13,1023,0,33,1056,0
5,Mayurbhanj,31,Rairangpur,238,,,,,,,,19,294,409,0,2,724,0,4,728,0
5,Mayurbhanj,31,Rairangpur,239,,,,,,,,126,380,426,13,28,973,0,39,1012,0
5,Mayurbhanj,31,Rairangpur,240,,,,,,,,42,252,139,2,3,438,0,4,442,0
5,Mayurbhanj,31,Rairangpur,241,,,,,,,,26,646,327,12,16,1027,0,7,1034,0
5,Mayurbhanj,31,Rairangpur,242,,,,,,,,78,284,263,12,15,652,0,28,680,0
5,Mayurbhanj,31,Rairangpur,94,,,,,,,,34,106,159,6,6,311,0,12,323,0
5,Mayurbhanj,31,Rairangpur,244,,,,,,,,0,0,0,0,0,0,0,0,0,0
5,Mayurbhanj,31,Rairangpur,245,,,,,,,,0,0,0,0,0,0,0,0,0,0
5,Mayurbhanj,31,Rairangpur,246,,,,,,,,0,0,0,0,0,0,0,0,0,0
5,Mayurbhanj,31,Rairangpur,247,,,,,,,,0,0,0,0,0,0,0,0,0,0
5,Mayurbhanj,31,Rairangpur,248,,,,,,,,0,0,0,0,0,0,0,0,0,0
5,Mayurbhanj,31,Rairangpur,249,,,,,,,,0,0,0,0,0,0,0,0,0,0
5,Mayurbhanj,31,Rairangpur,250,,,,,,,,0,0,0,0,0,0,0,0,0,0
5,Mayurbhanj,31,Rairangpur,251,,,,,,,,0,0,0,0,0,0,0,0,0,0
5,Mayurbhanj,31,Rairangpur,252,,,,,,,,0,0,0,0,0,0,0,0,0,0
