pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total of valid votes,No. of rejected votes (Test Votes),Votes for NOTA Option,Total,No. of Tendered votes
9,Dhenkanal,56,Angul,197,,,,,,,,98.0,2.0,10.0,203.0,3.0,4.0,320.0,0.0,3.0,323.0,0.0
9,Dhenkanal,56,Angul,198,,,,,,,,162.0,2.0,15.0,207.0,2.0,0.0,388.0,0.0,1.0,389.0,0.0
9,Dhenkanal,56,Angul,199,,,,,,,,339.0,3.0,62.0,293.0,3.0,5.0,705.0,0.0,8.0,713.0,0.0
9,Dhenkanal,56,Angul,200,,,,,,,,299.0,2.0,31.0,459.0,2.0,2.0,795.0,0.0,18.0,813.0,0.0
9,Dhenkanal,56,Angul,201,,,,,,,,342.0,6.0,86.0,301.0,7.0,12.0,754.0,0.0,16.0,770.0,0.0
9,Dhenkanal,56,Angul,202,,,,,,,,384.0,7.0,22.0,303.0,4.0,3.0,723.0,0.0,6.0,729.0,0.0
9,Dhenkanal,56,Angul,203,,,,,,,,473.0,1.0,14.0,244.0,3.0,0.0,735.0,0.0,7.0,742.0,0.0
9,Dhenkanal,56,Angul,204,,,,,,,,295.0,2.0,35.0,322.0,1.0,1.0,656.0,0.0,3.0,659.0,0.0
9,Dhenkanal,56,Angul,205,,,,,,,,184.0,3.0,32.0,397.0,6.0,7.0,629.0,0.0,11.0,640.0,0.0
9,Dhenkanal,56,Angul,206,,,,,,,,394.0,11.0,63.0,227.0,3.0,3.0,701.0,0.0,6.0,707.0,0.0
9,Dhenkanal,56,Angul,207,,,,,,,,320.0,5.0,24.0,360.0,5.0,3.0,717.0,0.0,1.0,718.0,0.0
9,Dhenkanal,56,Angul,208,,,,,,,,341.0,6.0,31.0,384.0,14.0,14.0,790.0,0.0,12.0,802.0,0.0
9,Dhenkanal,56,Angul,209,,,,,,,,423.0,5.0,33.0,405.0,6.0,2.0,874.0,0.0,3.0,877.0,0.0
9,Dhenkanal,56,Angul,210,,,,,,,,365.0,3.0,26.0,357.0,3.0,1.0,755.0,0.0,2.0,757.0,0.0
9,Dhenkanal,56,Angul,211,,,,,,,,265.0,1.0,21.0,320.0,1.0,8.0,616.0,0.0,5.0,621.0,0.0
9,Dhenkanal,56,Angul,212,,,,,,,,291.0,5.0,30.0,292.0,2.0,2.0,622.0,0.0,5.0,627.0,0.0
9,Dhenkanal,56,Angul,213,,,,,,,,257.0,3.0,19.0,322.0,5.0,1.0,607.0,0.0,12.0,619.0,0.0
9,Dhenkanal,56,Angul,214,,,,,,,,69.0,0.0,16.0,143.0,2.0,3.0,233.0,0.0,6.0,239.0,0.0
9,Dhenkanal,56,Angul,215,,,,,,,,233.0,1.0,16.0,355.0,1.0,1.0,607.0,0.0,0.0,607.0,0.0
9,Dhenkanal,56,Angul,216,,,,,,,,283.0,3.0,52.0,401.0,7.0,10.0,756.0,0.0,12.0,768.0,0.0
9,Dhenkanal,56,Angul,217,,,,,,,,350.0,4.0,15.0,286.0,3.0,5.0,663.0,0.0,5.0,668.0,0.0
9,Dhenkanal,56,Angul,218,,,,,,,,315.0,4.0,22.0,377.0,0.0,9.0,727.0,0.0,4.0,731.0,0.0
9,Dhenkanal,56,Angul,219,,,,,,,,244.0,8.0,20.0,352.0,3.0,3.0,630.0,0.0,10.0,640.0,0.0
9,Dhenkanal,56,Angul,220,,,,,,,,327.0,2.0,37.0,411.0,1.0,5.0,783.0,0.0,5.0,788.0,0.0
9,Dhenkanal,56,Angul,221,,,,,,,,381.0,1.0,21.0,336.0,5.0,2.0,746.0,0.0,3.0,749.0,0.0
9,Dhenkanal,56,Angul,222,,,,,,,,177.0,2.0,10.0,194.0,1.0,0.0,384.0,0.0,0.0,384.0,0.0
9,Dhenkanal,56,Angul,223,,,,,,,,453.0,1.0,12.0,237.0,1.0,1.0,705.0,0.0,4.0,709.0,0.0
9,Dhenkanal,56,Angul,224,,,,,,,,248.0,11.0,51.0,349.0,5.0,4.0,668.0,0.0,18.0,686.0,0.0
9,Dhenkanal,56,Angul,225,,,,,,,,210.0,6.0,16.0,236.0,1.0,1.0,470.0,0.0,14.0,484.0,0.0
9,Dhenkanal,56,Angul,226,,,,,,,,278.0,1.0,21.0,347.0,8.0,3.0,658.0,0.0,6.0,664.0,0.0
9,Dhenkanal,56,Angul,227,,,,,,,,197.0,1.0,12.0,307.0,3.0,2.0,522.0,0.0,7.0,529.0,0.0
9,Dhenkanal,56,Angul,228,,,,,,,,134.0,2.0,21.0,276.0,3.0,4.0,440.0,0.0,1.0,441.0,0.0
9,Dhenkanal,56,Angul,229,,,,,,,,324.0,4.0,34.0,331.0,2.0,3.0,698.0,0.0,9.0,707.0,0.0
9,Dhenkanal,56,Angul,230,,,,,,,,450.0,3.0,52.0,300.0,3.0,6.0,814.0,0.0,8.0,822.0,0.0
9,Dhenkanal,56,Angul,231,,,,,,,,411.0,4.0,39.0,483.0,3.0,3.0,943.0,0.0,8.0,951.0,0.0
9,Dhenkanal,56,Angul,232,,,,,,,,403.0,4.0,33.0,422.0,5.0,2.0,869.0,0.0,12.0,881.0,0.0
9,Dhenkanal,56,Angul,233,,,,,,,,164.0,0.0,10.0,125.0,1.0,0.0,300.0,0.0,2.0,302.0,0.0
9,Dhenkanal,56,Angul,234,,,,,,,,406.0,7.0,64.0,358.0,9.0,4.0,848.0,0.0,23.0,871.0,0.0
9,Dhenkanal,56,Angul,235,,,,,,,,372.0,1.0,32.0,429.0,1.0,2.0,837.0,0.0,13.0,850.0,0.0
9,Dhenkanal,56,Angul,236,,,,,,,,261.0,8.0,204.0,353.0,7.0,3.0,836.0,0.0,3.0,839.0,0.0
9,Dhenkanal,56,Angul,237,,,,,,,,360.0,7.0,38.0,359.0,6.0,5.0,775.0,0.0,12.0,787.0,0.0
9,Dhenkanal,56,Angul,238,,,,,,,,263.0,1.0,51.0,415.0,3.0,0.0,733.0,0.0,1.0,734.0,0.0
9,Dhenkanal,56,Angul,239,,,,,,,,332.0,5.0,32.0,510.0,2.0,1.0,882.0,0.0,11.0,893.0,0.0
9,Dhenkanal,56,Angul,240,,,,,,,,142.0,5.0,24.0,278.0,2.0,0.0,451.0,0.0,0.0,451.0,0.0
9,Dhenkanal,56,Angul,241,,,,,,,,379.0,2.0,74.0,446.0,1.0,3.0,905.0,0.0,4.0,909.0,0.0
9,Dhenkanal,56,Angul,242,,,,,,,,344.0,3.0,32.0,478.0,3.0,2.0,862.0,0.0,2.0,864.0,0.0
9,Dhenkanal,56,Angul,243,,,,,,,,399.0,3.0,36.0,528.0,3.0,3.0,972.0,0.0,6.0,978.0,0.0
9,Dhenkanal,56,Angul,244,,,,,,,,287.0,1.0,18.0,458.0,2.0,3.0,769.0,0.0,4.0,773.0,0.0
9,Dhenkanal,56,Angul,245,,,,,,,,224.0,2.0,79.0,249.0,2.0,5.0,561.0,0.0,6.0,567.0,0.0
9,Dhenkanal,56,Angul,246,,,,,,,,219.0,6.0,37.0,243.0,5.0,0.0,510.0,0.0,4.0,514.0,0.0
9,Dhenkanal,56,Angul,247,,,,,,,,299.0,2.0,39.0,431.0,6.0,5.0,782.0,0.0,12.0,794.0,0.0
9,Dhenkanal,56,Angul,248,,,,,,,,255.0,6.0,21.0,528.0,3.0,0.0,813.0,0.0,4.0,817.0,0.0
9,Dhenkanal,56,Angul,249,,,,,,,,262.0,4.0,30.0,512.0,4.0,2.0,814.0,0.0,11.0,825.0,0.0
9,Dhenkanal,56,Angul,250,,,,,,,,353.0,9.0,25.0,422.0,4.0,4.0,817.0,0.0,5.0,822.0,0.0
9,Dhenkanal,56,Angul,251,,,,,,,,448.0,4.0,26.0,325.0,5.0,1.0,809.0,0.0,5.0,814.0,0.0
9,Dhenkanal,56,Angul,252,,,,,,,,380.0,6.0,47.0,289.0,8.0,8.0,738.0,0.0,10.0,748.0,0.0
9,Dhenkanal,56,Angul,253,,,,,,,,346.0,5.0,80.0,368.0,4.0,2.0,805.0,0.0,3.0,808.0,0.0
9,Dhenkanal,56,Angul,254,,,,,,,,226.0,6.0,42.0,586.0,8.0,16.0,884.0,0.0,28.0,912.0,0.0
9,Dhenkanal,56,Angul,255,,,,,,,,237.0,3.0,19.0,307.0,1.0,7.0,574.0,0.0,7.0,581.0,0.0
9,Dhenkanal,56,Angul,256,,,,,,,,230.0,5.0,35.0,534.0,6.0,10.0,820.0,0.0,7.0,827.0,0.0
9,Dhenkanal,56,Angul,257,,,,,,,,298.0,6.0,24.0,319.0,8.0,3.0,658.0,0.0,5.0,663.0,0.0
9,Dhenkanal,56,Angul,258,,,,,,,,343.0,5.0,37.0,302.0,5.0,4.0,696.0,0.0,10.0,706.0,0.0
9,Dhenkanal,56,Angul,259,,,,,,,,222.0,7.0,31.0,445.0,12.0,5.0,722.0,0.0,26.0,748.0,0.0
9,Dhenkanal,56,Angul,260,,,,,,,,292.0,3.0,37.0,493.0,8.0,7.0,840.0,0.0,25.0,865.0,0.0
9,Dhenkanal,56,Angul,261,,,,,,,,318.0,7.0,31.0,535.0,7.0,7.0,905.0,0.0,5.0,910.0,0.0
9,Dhenkanal,56,Angul,262,,,,,,,,228.0,5.0,51.0,571.0,4.0,3.0,862.0,0.0,8.0,870.0,0.0
9,Dhenkanal,56,Angul,263,,,,,,,,202.0,0.0,42.0,305.0,2.0,1.0,552.0,0.0,3.0,555.0,0.0
9,Dhenkanal,56,Angul,264,,,,,,,,191.0,8.0,37.0,584.0,13.0,12.0,845.0,0.0,26.0,871.0,0.0
9,Dhenkanal,56,Angul,265,,,,,,,,282.0,9.0,28.0,269.0,5.0,3.0,596.0,0.0,5.0,601.0,0.0
9,Dhenkanal,56,Angul,266,,,,,,,,253.0,9.0,22.0,239.0,7.0,5.0,535.0,0.0,18.0,553.0,0.0
9,Dhenkanal,56,Angul,267,,,,,,,,270.0,6.0,41.0,306.0,8.0,13.0,644.0,0.0,9.0,653.0,0.0
9,Dhenkanal,56,Angul,268,,,,,,,,176.0,11.0,49.0,257.0,2.0,1.0,496.0,0.0,4.0,500.0,0.0
9,Dhenkanal,56,Angul,269,,,,,,,,96.0,1.0,19.0,260.0,3.0,2.0,381.0,0.0,6.0,387.0,0.0
9,Dhenkanal,56,Angul,270,,,,,,,,143.0,10.0,34.0,377.0,6.0,6.0,576.0,0.0,11.0,587.0,0.0
