pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Total of valid Votes,No. of rejected Votes (Test Votes),Votes for NOTA option,Total,No. of Tendered Votes
13,Kandhamal,90,Daspalla,1,,,,,,,,260,295,263,1,2,2,7,0,4,834,0,8,842,0
13,Kandhamal,90,Daspalla,2,,,,,,,,259,351,249,0,6,0,4,1,2,872,0,12,884,0
13,Kandhamal,90,Daspalla,3,,,,,,,,236,293,288,2,1,1,4,1,1,827,0,19,846,0
13,Kandhamal,90,Daspalla,4,,,,,,,,287,232,271,1,1,1,0,1,0,794,0,9,803,0
13,Kandhamal,90,Daspalla,5,,,,,,,,216,240,180,1,3,2,0,2,5,649,0,5,654,0
13,Kandhamal,90,Daspalla,6,,,,,,,,306,284,230,1,13,1,3,4,5,847,0,9,856,0
13,Kandhamal,90,Daspalla,7,,,,,,,,182,139,150,1,0,1,0,0,0,473,0,5,478,0
13,Kandhamal,90,Daspalla,8,,,,,,,,226,190,171,0,2,0,3,0,1,593,0,5,598,0
13,Kandhamal,90,Daspalla,9,,,,,,,,264,280,245,1,0,1,0,1,1,793,0,9,802,0
13,Kandhamal,90,Daspalla,10,,,,,,,,265,242,258,1,2,0,3,3,4,778,0,4,782,0
13,Kandhamal,90,Daspalla,11,,,,,,,,133,173,161,1,0,0,0,0,3,471,0,6,477,0
13,Kandhamal,90,Daspalla,12,,,,,,,,300,340,228,0,3,2,0,5,4,882,0,15,897,0
13,Kandhamal,90,Daspalla,13,,,,,,,,349,374,127,1,14,2,0,0,4,871,0,6,877,0
13,Kandhamal,90,Daspalla,14,,,,,,,,199,238,251,0,1,1,0,4,0,694,0,13,707,0
13,Kandhamal,90,Daspalla,15,,,,,,,,256,230,246,1,0,0,1,1,0,735,0,17,752,0
13,Kandhamal,90,Daspalla,16,,,,,,,,223,163,293,1,2,0,0,0,2,684,0,16,700,0
13,Kandhamal,90,Daspalla,17,,,,,,,,286,270,165,3,4,1,0,2,2,733,0,2,735,0
13,Kandhamal,90,Daspalla,18,,,,,,,,238,213,255,4,1,1,0,0,2,714,0,6,720,0
