pc_id,pc_name,ac_id,ac_name,Sl. No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Total of valid votes,No. of Rejected votes,NOTA,Total,No. of tendered votes
16,Jagatsinghpur,108,Tirtol,182,,,,,,,,2,2,233,394,631,0,0.0,631,0
16,Jagatsinghpur,108,Tirtol,183,,,,,,,,9,1,408,384,802,0,7.0,809,0
16,Jagatsinghpur,108,Tirtol,184,,,,,,,,2,7,229,198,436,0,1.0,437,0
16,Jagatsinghpur,108,Tirtol,185,,,,,,,,1,3,209,212,425,0,1.0,426,0
16,Jagatsinghpur,108,Tirtol,186,,,,,,,,6,26,211,316,559,0,2.0,561,0
16,Jagatsinghpur,108,Tirtol,187,,,,,,,,4,13,233,283,533,0,0.0,533,0
16,Jagatsinghpur,108,Tirtol,188,,,,,,,,3,4,296,245,548,0,1.0,549,0
16,Jagatsinghpur,108,Tirtol,189,,,,,,,,7,4,457,300,768,0,0.0,768,0
16,Jagatsinghpur,108,Tirtol,190,,,,,,,,4,4,352,282,642,0,1.0,643,0
16,Jagatsinghpur,108,Tirtol,191,,,,,,,,1,3,425,299,728,0,0.0,728,0
16,Jagatsinghpur,108,Tirtol,192,,,,,,,,2,3,328,195,528,0,1.0,529,0
16,Jagatsinghpur,108,Tirtol,193,,,,,,,,1,5,323,251,580,0,3.0,583,0
16,Jagatsinghpur,108,Tirtol,194,,,,,,,,11,5,448,274,738,0,3.0,741,0
16,Jagatsinghpur,108,Tirtol,195,,,,,,,,4,6,384,448,842,0,3.0,845,0
16,Jagatsinghpur,108,Tirtol,196,,,,,,,,11,5,313,339,668,0,3.0,671,0
16,Jagatsinghpur,108,Tirtol,197,,,,,,,,26,11,523,353,913,0,15.0,928,0
16,Jagatsinghpur,108,Tirtol,198,,,,,,,,5,0,221,213,439,0,0.0,439,0
16,Jagatsinghpur,108,Tirtol,199,,,,,,,,9,1,161,186,357,0,2.0,359,0
16,Jagatsinghpur,108,Tirtol,200,,,,,,,,20,2,244,340,606,0,4.0,610,0
16,Jagatsinghpur,108,Tirtol,201,,,,,,,,2,7,294,197,500,0,1.0,501,0
16,Jagatsinghpur,108,Tirtol,202,,,,,,,,11,13,305,271,600,0,4.0,604,0
16,Jagatsinghpur,108,Tirtol,203,,,,,,,,19,21,248,337,625,0,7.0,632,0
16,Jagatsinghpur,108,Tirtol,204,,,,,,,,10,9,339,272,630,0,2.0,632,0
16,Jagatsinghpur,108,Tirtol,205,,,,,,,,4,1,240,153,398,0,3.0,401,0
16,Jagatsinghpur,108,Tirtol,206,,,,,,,,3,3,162,194,362,0,2.0,364,0
16,Jagatsinghpur,108,Tirtol,207,,,,,,,,8,4,366,412,790,0,9.0,799,0
16,Jagatsinghpur,108,Tirtol,208,,,,,,,,16,0,200,211,427,0,3.0,430,0
16,Jagatsinghpur,108,Tirtol,209,,,,,,,,7,10,236,124,377,0,6.0,383,0
16,Jagatsinghpur,108,Tirtol,210,,,,,,,,7,8,299,322,636,0,4.0,640,0
16,Jagatsinghpur,108,Tirtol,211,,,,,,,,9,4,397,440,850,0,12.0,862,0
16,Jagatsinghpur,108,Tirtol,212,,,,,,,,9,6,314,345,674,0,3.0,677,0
16,Jagatsinghpur,108,Tirtol,213,,,,,,,,4,0,275,109,388,0,1.0,389,0
16,Jagatsinghpur,108,Tirtol,214,,,,,,,,5,7,329,297,638,0,6.0,644,0
16,Jagatsinghpur,108,Tirtol,215,,,,,,,,6,24,364,283,677,0,6.0,683,0
