pc_id,pc_name,ac_id,ac_name,Serial No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Total of valid Votes,No. of rejected Votes ( Test votes),Votes for NOTA option,Total,No. of tendered votes
12,Nabarangpur,81,Dabugam,155,,,,,,,,74.0,42.0,3.0,79.0,5.0,1.0,2.0,4.0,64.0,2.0,276,0,0.0,276,0
12,Nabarangpur,81,Dabugam,156,,,,,,,,154.0,163.0,3.0,254.0,3.0,3.0,2.0,4.0,182.0,3.0,771,0,11.0,782,0
12,Nabarangpur,81,Dabugam,157,,,,,,,,127.0,119.0,9.0,257.0,11.0,7.0,7.0,6.0,140.0,31.0,714,0,6.0,720,0
12,Nabarangpur,81,Dabugam,158,,,,,,,,109.0,34.0,1.0,144.0,9.0,5.0,3.0,13.0,161.0,9.0,488,0,4.0,492,0
12,Nabarangpur,81,Dabugam,159,,,,,,,,105.0,80.0,3.0,142.0,6.0,4.0,4.0,6.0,222.0,34.0,606,0,4.0,610,0
12,Nabarangpur,81,Dabugam,160,,,,,,,,161.0,91.0,9.0,143.0,7.0,2.0,5.0,14.0,171.0,8.0,611,0,5.0,616,0
12,Nabarangpur,81,Dabugam,161,,,,,,,,156.0,64.0,5.0,185.0,11.0,1.0,5.0,30.0,212.0,7.0,676,0,12.0,688,0
12,Nabarangpur,81,Dabugam,162,,,,,,,,126.0,81.0,1.0,104.0,3.0,3.0,2.0,0.0,41.0,26.0,387,0,5.0,392,0
12,Nabarangpur,81,Dabugam,163,,,,,,,,134.0,72.0,1.0,79.0,3.0,2.0,3.0,4.0,60.0,6.0,364,0,3.0,367,0
12,Nabarangpur,81,Dabugam,164,,,,,,,,89.0,101.0,8.0,96.0,4.0,3.0,4.0,21.0,65.0,3.0,394,0,2.0,396,0
12,Nabarangpur,81,Dabugam,165,,,,,,,,119.0,74.0,3.0,189.0,4.0,2.0,2.0,4.0,264.0,6.0,667,0,2.0,669,0
12,Nabarangpur,81,Dabugam,166,,,,,,,,186.0,85.0,5.0,300.0,6.0,3.0,4.0,8.0,60.0,5.0,662,0,5.0,667,0
12,Nabarangpur,81,Dabugam,167,,,,,,,,235.0,152.0,4.0,246.0,9.0,5.0,3.0,22.0,73.0,13.0,762,0,7.0,769,0
12,Nabarangpur,81,Dabugam,168,,,,,,,,277.0,102.0,7.0,409.0,4.0,4.0,9.0,2.0,39.0,13.0,866,0,5.0,871,0
12,Nabarangpur,81,Dabugam,169,,,,,,,,132.0,115.0,6.0,306.0,5.0,2.0,1.0,4.0,16.0,5.0,592,0,4.0,596,0
12,Nabarangpur,81,Dabugam,170,,,,,,,,121.0,117.0,7.0,268.0,5.0,1.0,0.0,3.0,2.0,5.0,529,0,1.0,530,0
