pc_id,pc_name,ac_id,ac_name,Sl. No. Of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Total of Valid Votes,No. of Rejected Votes (Test Votes),Votes for NOTA Option,Total,Total No. of Tender Votes
15,Kendrapara ,104,Rajanagar,37,,,,,,,,250,2,209,115,1,0,1,578,0,5,583,0
15,Kendrapara ,104,Rajanagar,38,,,,,,,,180,2,276,56,0,0,0,514,0,6,520,0
15,Kendrapara ,104,Rajanagar,39,,,,,,,,200,0,325,111,1,0,0,637,0,3,640,0
15,Kendrapara ,104,Rajanagar,40,,,,,,,,359,0,393,172,1,1,1,927,0,0,927,0
15,Kendrapara ,104,Rajanagar,41,,,,,,,,300,3,308,161,0,1,0,773,0,6,779,0
15,Kendrapara ,104,Rajanagar,42,,,,,,,,270,2,290,95,1,2,1,661,0,0,661,0
15,Kendrapara ,104,Rajanagar,43,,,,,,,,145,1,270,74,1,2,0,493,0,4,497,0
15,Kendrapara ,104,Rajanagar,44,,,,,,,,207,0,191,64,1,1,1,465,0,0,465,0
15,Kendrapara ,104,Rajanagar,45,,,,,,,,107,0,246,69,1,0,0,423,0,0,423,0
15,Kendrapara ,104,Rajanagar,46,,,,,,,,233,6,313,129,1,1,1,684,0,1,685,0
15,Kendrapara ,104,Rajanagar,47,,,,,,,,313,1,399,142,2,0,0,857,0,1,858,0
15,Kendrapara ,104,Rajanagar,48,,,,,,,,227,1,227,57,3,2,1,518,0,3,521,0
15,Kendrapara ,104,Rajanagar,49,,,,,,,,193,1,206,123,0,0,0,523,0,2,525,0
15,Kendrapara ,104,Rajanagar,50,,,,,,,,317,6,149,130,0,1,3,606,0,5,611,0
15,Kendrapara ,104,Rajanagar,51,,,,,,,,447,2,303,121,1,0,1,875,0,4,879,0
15,Kendrapara ,104,Rajanagar,52,,,,,,,,443,2,331,349,1,2,2,1130,0,7,1137,0
15,Kendrapara ,104,Rajanagar,53,,,,,,,,384,4,261,191,1,3,1,845,0,4,849,0
15,Kendrapara ,104,Rajanagar,54,,,,,,,,218,6,147,93,2,1,0,467,0,11,478,0
15,Kendrapara ,104,Rajanagar,55,,,,,,,,329,3,422,130,1,2,2,889,0,0,889,0
15,Kendrapara ,104,Rajanagar,56,,,,,,,,304,9,427,143,2,1,1,887,0,4,891,0
15,Kendrapara ,104,Rajanagar,57,,,,,,,,256,1,154,56,0,0,0,467,0,1,468,0
15,Kendrapara ,104,Rajanagar,58,,,,,,,,271,4,394,83,0,0,2,754,0,2,756,0
15,Kendrapara ,104,Rajanagar,59,,,,,,,,313,0,305,94,0,1,1,714,0,1,715,0
15,Kendrapara ,104,Rajanagar,60,,,,,,,,208,2,451,78,0,1,0,740,0,1,741,0
15,Kendrapara ,104,Rajanagar,61,,,,,,,,413,2,398,34,0,1,1,849,0,1,850,0
15,Kendrapara ,104,Rajanagar,62,,,,,,,,137,1,401,96,0,0,0,635,0,1,636,0
15,Kendrapara ,104,Rajanagar,63,,,,,,,,274,1,401,111,0,1,0,788,0,1,789,0
15,Kendrapara ,104,Rajanagar,64,,,,,,,,274,1,144,94,0,0,1,514,0,4,518,0
15,Kendrapara ,104,Rajanagar,65,,,,,,,,190,2,294,69,0,0,0,555,0,0,555,0
15,Kendrapara ,104,Rajanagar,66,,,,,,,,224,0,295,112,1,1,1,634,0,0,634,0
15,Kendrapara ,104,Rajanagar,67,,,,,,,,219,2,454,236,3,2,2,918,0,4,922,0
15,Kendrapara ,104,Rajanagar,68,,,,,,,,338,5,268,137,2,0,0,750,0,6,756,0
15,Kendrapara ,104,Rajanagar,69,,,,,,,,286,1,275,119,0,1,3,685,0,4,689,0
15,Kendrapara ,104,Rajanagar,70,,,,,,,,473,4,319,107,3,0,0,906,0,5,911,0
15,Kendrapara ,104,Rajanagar,71,,,,,,,,281,2,184,220,0,0,2,689,0,1,690,0
15,Kendrapara ,104,Rajanagar,72,,,,,,,,439,7,212,109,1,1,1,770,0,5,775,0
15,Kendrapara ,104,Rajanagar,73,,,,,,,,278,6,374,193,0,1,1,853,0,2,855,0
15,Kendrapara ,104,Rajanagar,74,,,,,,,,138,0,299,85,0,0,1,523,0,0,523,0
15,Kendrapara ,104,Rajanagar,75,,,,,,,,466,3,233,89,0,0,1,792,0,1,793,0
15,Kendrapara ,104,Rajanagar,76,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
15,Kendrapara ,104,Rajanagar,77,,,,,,,,217,2,301,96,1,1,1,619,0,2,621,0
15,Kendrapara ,104,Rajanagar,78,,,,,,,,157,4,278,139,0,0,1,579,0,1,580,0
15,Kendrapara ,104,Rajanagar,79,,,,,,,,107,1,102,42,0,0,0,252,0,0,252,0
15,Kendrapara ,104,Rajanagar,80,,,,,,,,176,2,238,134,0,0,1,551,0,1,552,0
15,Kendrapara ,104,Rajanagar,81,,,,,,,,179,32,352,92,1,1,0,657,0,7,664,0
15,Kendrapara ,104,Rajanagar,82,,,,,,,,271,3,355,132,0,0,0,761,0,4,765,0
15,Kendrapara ,104,Rajanagar,83,,,,,,,,122,0,149,83,0,0,0,354,0,0,354,0
15,Kendrapara ,104,Rajanagar,84,,,,,,,,248,8,350,92,0,1,0,699,0,3,702,0
15,Kendrapara ,104,Rajanagar,85,,,,,,,,212,5,252,39,0,0,1,509,0,0,509,0
15,Kendrapara ,104,Rajanagar,86,,,,,,,,359,4,259,44,1,0,2,669,0,4,673,0
15,Kendrapara ,104,Rajanagar,87,,,,,,,,110,0,157,64,0,0,1,332,0,1,333,0
15,Kendrapara ,104,Rajanagar,88,,,,,,,,298,7,478,190,1,2,1,977,0,3,980,0
15,Kendrapara ,104,Rajanagar,89,,,,,,,,166,4,168,8,2,1,0,349,0,4,353,0
