pc_id,pc_name,ac_id,ac_name,Serial No. Of Polling station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Total of vaild votes(Test votes),Total of rejected votes (test Votes),Votes for NOTA option,Total No of Votes,Total No of tendered votes
19,Aska,129,Khalikote,145,,,,,,,,191.0,184.0,10.0,1.0,1.0,387,0,4.0,391,0
19,Aska,129,Khalikote,146,,,,,,,,271.0,205.0,17.0,1.0,0.0,494,0,3.0,497,0
19,Aska,129,Khalikote,147,,,,,,,,189.0,345.0,28.0,5.0,5.0,572,0,18.0,590,0
19,Aska,129,Khalikote,148,,,,,,,,340.0,268.0,20.0,4.0,2.0,634,0,9.0,643,0
19,Aska,129,Khalikote,149,,,,,,,,349.0,368.0,16.0,6.0,3.0,742,0,11.0,753,0
19,Aska,129,Khalikote,150,,,,,,,,230.0,209.0,19.0,1.0,2.0,461,0,1.0,462,0
19,Aska,129,Khalikote,151,,,,,,,,180.0,248.0,7.0,1.0,1.0,437,0,14.0,451,0
19,Aska,129,Khalikote,152,,,,,,,,386.0,261.0,26.0,4.0,4.0,681,0,10.0,691,0
19,Aska,129,Khalikote,153,,,,,,,,163.0,192.0,37.0,4.0,3.0,399,0,4.0,403,0
19,Aska,129,Khalikote,154,,,,,,,,170.0,323.0,40.0,7.0,16.0,556,0,32.0,588,0
19,Aska,129,Khalikote,155,,,,,,,,299.0,210.0,84.0,5.0,3.0,601,0,8.0,609,0
19,Aska,129,Khalikote,156,,,,,,,,280.0,427.0,27.0,8.0,7.0,749,0,17.0,766,0
19,Aska,129,Khalikote,157,,,,,,,,115.0,204.0,5.0,3.0,5.0,332,0,6.0,338,0
19,Aska,129,Khalikote,158,,,,,,,,56.0,279.0,5.0,2.0,4.0,346,0,6.0,352,0
19,Aska,129,Khalikote,159,,,,,,,,334.0,364.0,23.0,3.0,10.0,734,0,24.0,758,0
19,Aska,129,Khalikote,160,,,,,,,,248.0,237.0,13.0,3.0,0.0,501,0,2.0,503,0
19,Aska,129,Khalikote,161,,,,,,,,367.0,469.0,38.0,10.0,12.0,896,0,16.0,912,0
19,Aska,129,Khalikote,162,,,,,,,,212.0,204.0,6.0,3.0,6.0,431,0,4.0,435,0
19,Aska,129,Khalikote,163,,,,,,,,174.0,442.0,20.0,10.0,7.0,653,0,12.0,665,0
19,Aska,129,Khalikote,164,,,,,,,,205.0,456.0,27.0,8.0,15.0,711,0,25.0,736,0
19,Aska,129,Khalikote,165,,,,,,,,258.0,222.0,13.0,4.0,1.0,498,0,11.0,509,0
19,Aska,129,Khalikote,166,,,,,,,,183.0,402.0,12.0,2.0,4.0,603,0,12.0,615,0
19,Aska,129,Khalikote,167,,,,,,,,294.0,301.0,41.0,3.0,5.0,644,0,16.0,660,0
19,Aska,129,Khalikote,168,,,,,,,,375.0,320.0,54.0,7.0,6.0,762,0,20.0,782,0
19,Aska,129,Khalikote,169,,,,,,,,280.0,223.0,9.0,0.0,0.0,512,0,1.0,513,0
19,Aska,129,Khalikote,170,,,,,,,,259.0,291.0,13.0,5.0,2.0,570,0,6.0,576,0
19,Aska,129,Khalikote,171,,,,,,,,288.0,368.0,14.0,4.0,2.0,676,0,5.0,681,0
19,Aska,129,Khalikote,172,,,,,,,,187.0,272.0,18.0,5.0,7.0,489,0,21.0,510,0
19,Aska,129,Khalikote,173,,,,,,,,266.0,503.0,15.0,2.0,0.0,786,0,6.0,792,0
19,Aska,129,Khalikote,174,,,,,,,,454.0,365.0,33.0,4.0,7.0,863,0,14.0,877,0
19,Aska,129,Khalikote,175,,,,,,,,251.0,413.0,18.0,7.0,6.0,695,0,9.0,704,0
19,Aska,129,Khalikote,176,,,,,,,,258.0,208.0,14.0,4.0,3.0,487,0,11.0,498,0
19,Aska,129,Khalikote,177,,,,,,,,441.0,530.0,17.0,13.0,12.0,1013,0,33.0,1046,0
19,Aska,129,Khalikote,178,,,,,,,,498.0,435.0,15.0,7.0,4.0,959,0,17.0,976,0
19,Aska,129,Khalikote,179,,,,,,,,202.0,549.0,31.0,7.0,9.0,798,0,27.0,825,0
19,Aska,129,Khalikote,180,,,,,,,,74.0,104.0,25.0,5.0,3.0,211,0,8.0,219,0
19,Aska,129,Khalikote,181,,,,,,,,248.0,557.0,16.0,12.0,10.0,843,0,32.0,875,0
19,Aska,129,Khalikote,182,,,,,,,,76.0,326.0,5.0,7.0,3.0,417,0,9.0,426,0
19,Aska,129,Khalikote,183,,,,,,,,81.0,309.0,10.0,10.0,2.0,412,0,7.0,419,0
19,Aska,129,Khalikote,184,,,,,,,,176.0,224.0,23.0,8.0,12.0,443,0,2.0,445,0
19,Aska,129,Khalikote,185,,,,,,,,341.0,327.0,22.0,10.0,9.0,709,0,12.0,721,0
19,Aska,129,Khalikote,186,,,,,,,,151.0,219.0,13.0,4.0,13.0,400,0,9.0,409,0
19,Aska,129,Khalikote,187,,,,,,,,160.0,151.0,6.0,5.0,3.0,325,0,11.0,336,0
19,Aska,129,Khalikote,188,,,,,,,,133.0,417.0,17.0,6.0,5.0,578,0,14.0,592,0
19,Aska,129,Khalikote,189,,,,,,,,100.0,396.0,14.0,5.0,6.0,521,0,16.0,537,0
19,Aska,129,Khalikote,190,,,,,,,,200.0,93.0,6.0,5.0,0.0,304,0,2.0,306,0
