pc_id,pc_name,ac_id,ac_name,BOOTH NO,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Total of valid votes,No. of rejected votes,NOTA,Total,No. of Tendered votes
8,Jajpur,54,Jajpur,209,,,,,,,,242,273,41,0,0,1,1,1,0,1,0,560.0,0.0,5.0,565.0,0.0
8,Jajpur,54,Jajpur,210,,,,,,,,381,395,69,1,0,0,0,1,1,0,0,848.0,0.0,1.0,849.0,0.0
8,Jajpur,54,Jajpur,211,,,,,,,,318,480,85,1,3,0,0,0,1,1,0,889.0,0.0,1.0,890.0,0.0
8,Jajpur,54,Jajpur,212,,,,,,,,271,302,56,1,0,0,4,0,1,1,1,637.0,0.0,2.0,639.0,0.0
8,Jajpur,54,Jajpur,213,,,,,,,,338,502,14,2,0,0,3,1,1,1,0,862.0,0.0,1.0,863.0,0.0
8,Jajpur,54,Jajpur,214,,,,,,,,265,538,46,1,0,0,0,0,1,0,1,852.0,0.0,1.0,853.0,0.0
8,Jajpur,54,Jajpur,215,,,,,,,,291,609,229,4,3,1,1,1,1,0,3,1143.0,0.0,5.0,1148.0,0.0
8,Jajpur,54,Jajpur,216,,,,,,,,481,677,96,0,1,0,1,2,0,0,0,1258.0,0.0,10.0,1268.0,0.0
8,Jajpur,54,Jajpur,217,,,,,,,,497,627,50,1,0,0,2,3,4,1,1,1186.0,0.0,1.0,1187.0,0.0
8,Jajpur,54,Jajpur,218,,,,,,,,148,271,69,4,1,1,0,0,0,0,0,494.0,0.0,2.0,496.0,0.0
8,Jajpur,54,Jajpur,219,,,,,,,,352,389,102,0,1,2,1,4,1,0,0,852.0,0.0,1.0,853.0,0.0
8,Jajpur,54,Jajpur,220,,,,,,,,59,288,28,0,0,0,0,0,0,0,0,375.0,0.0,1.0,376.0,0.0
8,Jajpur,54,Jajpur,221,,,,,,,,270,330,67,3,0,0,1,0,1,0,0,672.0,0.0,0.0,672.0,0.0
8,Jajpur,54,Jajpur,222,,,,,,,,401,470,41,6,1,0,1,2,1,3,4,930.0,0.0,8.0,938.0,0.0
8,Jajpur,54,Jajpur,223,,,,,,,,237,258,83,0,0,0,0,0,0,1,0,579.0,0.0,1.0,580.0,0.0
