pc_id,pc_name,ac_id,ac_name,Polling Booth No.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Candidate 13,Total Valid Votes,No of rejected votes,NOTA,Total,No of tendered Votes
17,Puri,112,Nayagarh,62,,,,,,,,298,210.0,1.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,530.0,0.0,7.0,537.0,0.0
17,Puri,112,Nayagarh,63,,,,,,,,369,197.0,1.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,599.0,0.0,1.0,600.0,0.0
17,Puri,112,Nayagarh,64,,,,,,,,242,191.0,1.0,1.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,454.0,0.0,3.0,457.0,0.0
17,Puri,112,Nayagarh,65,,,,,,,,195,134.0,1.0,0.0,14.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,350.0,0.0,0.0,350.0,0.0
17,Puri,112,Nayagarh,66,,,,,,,,369,164.0,1.0,2.0,14.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,555.0,0.0,2.0,557.0,0.0
17,Puri,112,Nayagarh,67,,,,,,,,221,169.0,1.0,2.0,8.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,407.0,0.0,2.0,409.0,0.0
17,Puri,112,Nayagarh,68,,,,,,,,227,190.0,1.0,0.0,19.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,441.0,0.0,1.0,442.0,0.0
17,Puri,112,Nayagarh,69,,,,,,,,286,158.0,1.0,0.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,481.0,0.0,7.0,488.0,0.0
17,Puri,112,Nayagarh,70,,,,,,,,211,129.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,351.0,0.0,0.0,351.0,0.0
17,Puri,112,Nayagarh,71,,,,,,,,358,234.0,1.0,0.0,18.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,615.0,0.0,6.0,621.0,0.0
17,Puri,112,Nayagarh,72,,,,,,,,350,161.0,1.0,1.0,20.0,2.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,543.0,0.0,6.0,549.0,0.0
17,Puri,112,Nayagarh,73,,,,,,,,171,140.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,0.0,3.0,336.0,0.0
17,Puri,112,Nayagarh,74,,,,,,,,139,103.0,2.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,0.0,5.0,272.0,0.0
17,Puri,112,Nayagarh,75,,,,,,,,225,179.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,421.0,0.0,6.0,427.0,0.0
17,Puri,112,Nayagarh,76,,,,,,,,232,155.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,394.0,0.0,5.0,399.0,0.0
17,Puri,112,Nayagarh,77,,,,,,,,206,204.0,0.0,0.0,14.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,429.0,0.0,9.0,438.0,0.0
17,Puri,112,Nayagarh,78,,,,,,,,212,166.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,387.0,0.0,4.0,391.0,0.0
17,Puri,112,Nayagarh,79,,,,,,,,224,192.0,0.0,0.0,16.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,435.0,0.0,2.0,437.0,0.0
17,Puri,112,Nayagarh,80,,,,,,,,315,294.0,1.0,2.0,10.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,626.0,0.0,5.0,631.0,0.0
17,Puri,112,Nayagarh,81,,,,,,,,272,196.0,0.0,0.0,6.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,480.0,0.0,1.0,481.0,0.0
17,Puri,112,Nayagarh,82,,,,,,,,181,90.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,276.0,0.0,2.0,278.0,0.0
