pc_id,pc_name,ac_id,ac_name,SL NO OF POLLING STATION,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,TOTAL VALID VOTES,NO. OF VOTES REJECTED (TEST VOTES),VOTES FOR NOTA OPTION,TOTAL,TOTAL NO. OF TENDERED VOTES
10,Bolangir,67,Patnagarh,256,,,,,,,,335,170,368,25,898,0,9,907,0
10,Bolangir,67,Patnagarh,257,,,,,,,,114,54,168,8,344,0,9,353,0
10,Bolangir,67,Patnagarh,258,,,,,,,,279,78,333,8,698,0,5,703,0
10,Bolangir,67,Patnagarh,259,,,,,,,,428,78,325,11,842,0,15,857,0
10,Bolangir,67,Patnagarh,260,,,,,,,,68,73,153,4,298,0,6,304,0
10,Bolangir,67,Patnagarh,261,,,,,,,,406,51,357,15,829,0,16,845,0
10,Bolangir,67,Patnagarh,262,,,,,,,,224,16,467,2,709,0,7,716,0
10,Bolangir,67,Patnagarh,263,,,,,,,,142,12,451,4,609,0,0,609,0
10,Bolangir,67,Patnagarh,264,,,,,,,,590,35,421,17,1063,0,23,1086,0
10,Bolangir,67,Patnagarh,265,,,,,,,,370,32,252,4,658,0,6,664,0
10,Bolangir,67,Patnagarh,266,,,,,,,,399,97,324,7,827,0,13,840,0
10,Bolangir,67,Patnagarh,267,,,,,,,,340,63,243,10,656,0,6,662,0
10,Bolangir,67,Patnagarh,268,,,,,,,,270,107,331,11,719,0,10,729,0
10,Bolangir,67,Patnagarh,269,,,,,,,,305,114,284,6,709,0,12,721,0
10,Bolangir,67,Patnagarh,270,,,,,,,,376,38,236,4,654,0,6,660,0
10,Bolangir,67,Patnagarh,271,,,,,,,,477,84,424,6,991,0,12,1003,0
10,Bolangir,67,Patnagarh,272,,,,,,,,433,56,557,13,1059,0,22,1081,0
10,Bolangir,67,Patnagarh,273,,,,,,,,212,125,505,70,912,0,14,926,0
10,Bolangir,67,Patnagarh,274,,,,,,,,160,28,416,8,612,0,13,625,0
10,Bolangir,67,Patnagarh,275,,,,,,,,209,70,298,9,586,0,7,593,0
10,Bolangir,67,Patnagarh,276,,,,,,,,165,120,622,13,920,0,11,931,0
10,Bolangir,67,Patnagarh,277,,,,,,,,125,23,140,8,296,0,4,300,0
10,Bolangir,67,Patnagarh,278,,,,,,,,270,58,436,15,779,0,13,792,0
10,Bolangir,67,Patnagarh,279,,,,,,,,176,64,468,21,729,0,20,749,0
10,Bolangir,67,Patnagarh,280,,,,,,,,185,53,499,7,744,0,3,747,0
10,Bolangir,67,Patnagarh,281,,,,,,,,494,29,290,4,817,0,11,828,0
10,Bolangir,67,Patnagarh,282,,,,,,,,363,100,320,19,802,0,5,807,0
10,Bolangir,67,Patnagarh,283,,,,,,,,222,66,492,6,786,0,9,795,0
10,Bolangir,67,Patnagarh,284,,,,,,,,261,280,274,27,842,0,11,853,0
10,Bolangir,67,Patnagarh,285,,,,,,,,345,190,270,10,815,0,12,827,0
10,Bolangir,67,Patnagarh,286,,,,,,,,319,191,261,10,781,0,11,792,0
10,Bolangir,67,Patnagarh,287,,,,,,,,325,82,289,18,714,0,8,722,0
10,Bolangir,67,Patnagarh,288,,,,,,,,216,52,153,4,425,0,7,432,0
10,Bolangir,67,Patnagarh,289,,,,,,,,266,60,257,48,631,0,11,642,0
10,Bolangir,67,Patnagarh,290,,,,,,,,292,140,281,10,723,0,11,734,0
10,Bolangir,67,Patnagarh,291,,,,,,,,387,152,320,13,872,0,16,888,0
10,Bolangir,67,Patnagarh,292,,,,,,,,107,214,351,9,681,0,7,688,0
10,Bolangir,67,Patnagarh,293,,,,,,,,75,61,151,5,292,0,1,293,0
10,Bolangir,67,Patnagarh,294,,,,,,,,274,64,487,13,838,0,4,842,0
10,Bolangir,67,Patnagarh,295,,,,,,,,167,55,282,14,518,0,3,521,0
10,Bolangir,67,Patnagarh,296,,,,,,,,256,62,254,9,581,0,10,591,0
10,Bolangir,67,Patnagarh,297,,,,,,,,224,154,497,10,885,0,21,906,0
10,Bolangir,67,Patnagarh,298,,,,,,,,104,83,278,5,470,0,4,474,0
10,Bolangir,67,Patnagarh,299,,,,,,,,238,63,389,5,695,0,9,704,0
10,Bolangir,67,Patnagarh,300,,,,,,,,283,122,451,12,868,0,15,883,0
10,Bolangir,67,Patnagarh,301,,,,,,,,194,37,142,7,380,0,10,390,0
10,Bolangir,67,Patnagarh,302,,,,,,,,135,56,338,3,532,0,7,539,0
10,Bolangir,67,Patnagarh,303,,,,,,,,322,75,211,8,616,0,4,620,0
10,Bolangir,67,Patnagarh,304,,,,,,,,216,72,234,4,526,0,4,530,0
10,Bolangir,67,Patnagarh,305,,,,,,,,113,45,190,7,355,0,13,368,0
10,Bolangir,67,Patnagarh,306,,,,,,,,147,25,231,1,404,0,3,407,0
10,Bolangir,67,Patnagarh,307,,,,,,,,146,209,208,8,571,0,11,582,0
10,Bolangir,67,Patnagarh,308,,,,,,,,324,102,336,9,771,0,11,782,0
10,Bolangir,67,Patnagarh,309,,,,,,,,302,49,207,5,563,0,3,566,0
10,Bolangir,67,Patnagarh,310,,,,,,,,233,39,304,5,581,0,7,588,0
10,Bolangir,67,Patnagarh,311,,,,,,,,212,101,150,4,467,0,9,476,0
10,Bolangir,67,Patnagarh,312,,,,,,,,200,87,213,3,503,0,6,509,0
10,Bolangir,67,Patnagarh,313,,,,,,,,114,71,80,26,291,0,0,291,0
10,Bolangir,67,Patnagarh,314,,,,,,,,158,345,266,27,796,0,22,818,0
10,Bolangir,67,Patnagarh,315,,,,,,,,79,14,98,1,192,0,2,194,0
10,Bolangir,67,Patnagarh,316,,,,,,,,117,72,132,9,330,0,9,339,0
10,Bolangir,67,Patnagarh,317,,,,,,,,253,97,253,22,625,0,9,634,0
10,Bolangir,67,Patnagarh,318,,,,,,,,251,75,188,10,524,0,17,541,0
10,Bolangir,67,Patnagarh,319,,,,,,,,372,79,226,19,696,0,34,730,0
10,Bolangir,67,Patnagarh,320,,,,,,,,284,103,117,22,526,0,15,541,0
10,Bolangir,67,Patnagarh,321,,,,,,,,138,34,73,4,249,0,3,252,0
10,Bolangir,67,Patnagarh,322,,,,,,,,203,68,161,12,444,0,13,457,0
10,Bolangir,67,Patnagarh,323,,,,,,,,314,111,327,23,775,0,11,786,0
10,Bolangir,67,Patnagarh,324,,,,,,,,143,29,195,6,373,0,4,377,0
10,Bolangir,67,Patnagarh,325,,,,,,,,379,137,325,9,850,0,8,858,0
10,Bolangir,67,Patnagarh,326,,,,,,,,108,82,160,8,358,0,13,371,0
10,Bolangir,67,Patnagarh,327,,,,,,,,105,268,240,8,621,0,15,636,0
10,Bolangir,67,Patnagarh,328,,,,,,,,129,42,92,4,267,0,12,279,0
10,Bolangir,67,Patnagarh,329,,,,,,,,221,82,282,11,596,0,12,608,0
10,Bolangir,67,Patnagarh,330,,,,,,,,129,86,107,4,326,0,14,340,0
10,Bolangir,67,Patnagarh,331,,,,,,,,252,222,217,14,705,0,22,727,0
10,Bolangir,67,Patnagarh,332,,,,,,,,162,140,142,12,456,0,23,479,0
10,Bolangir,67,Patnagarh,333,,,,,,,,280,134,122,6,542,0,7,549,0
10,Bolangir,67,Patnagarh,334,,,,,,,,165,140,105,5,415,0,5,420,0
10,Bolangir,67,Patnagarh,335,,,,,,,,293,62,206,13,574,0,18,592,0
10,Bolangir,67,Patnagarh,336,,,,,,,,217,65,256,106,644,0,18,662,0
10,Bolangir,67,Patnagarh,337,,,,,,,,109,54,144,9,316,0,7,323,0
10,Bolangir,67,Patnagarh,338,,,,,,,,57,80,123,8,268,0,6,274,0
10,Bolangir,67,Patnagarh,339,,,,,,,,369,108,257,11,745,0,29,774,0
10,Bolangir,67,Patnagarh,340,,,,,,,,193,130,292,7,622,0,10,632,0
10,Bolangir,67,Patnagarh,341,,,,,,,,336,209,312,21,878,0,24,902,0
10,Bolangir,67,Patnagarh,342,,,,,,,,192,191,219,14,616,0,13,629,0
