pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Total of Valid Votes,No. of rejected Votes(Test Votes),Votes for NOTA option,Total,No. of tendered votes
6,Balasore,40,Balasore,181,,,,,,,,43,7,269,304,0,0,0,1,2,626,nan,3,629,nan
6,Balasore,40,Balasore,182,,,,,,,,61,31,321,234,0,0,1,0,0,648,nan,3,651,nan
6,Balasore,40,Balasore,183,,,,,,,,11,7,179,213,1,0,1,0,0,412,nan,2,414,nan
6,Balasore,40,Balasore,184,,,,,,,,31,9,165,221,1,0,0,2,1,430,nan,1,431,nan
6,Balasore,40,Balasore,185,,,,,,,,14,5,117,140,0,0,0,1,0,277,nan,1,278,nan
6,Balasore,40,Balasore,186,,,,,,,,98,14,420,415,5,0,2,2,2,958,nan,6,964,nan
6,Balasore,40,Balasore,187,,,,,,,,63,9,295,280,3,0,0,1,2,653,nan,4,657,nan
6,Balasore,40,Balasore,188,,,,,,,,90,5,389,360,3,0,2,1,0,850,nan,18,868,nan
6,Balasore,40,Balasore,189,,,,,,,,99,2,320,408,5,2,0,1,0,837,nan,2,839,nan
6,Balasore,40,Balasore,190,,,,,,,,84,1,358,252,2,2,1,0,2,702,nan,6,708,nan
6,Balasore,40,Balasore,191,,,,,,,,82,8,229,203,2,1,1,5,1,532,nan,4,536,nan
6,Balasore,40,Balasore,192,,,,,,,,44,1,165,195,5,0,0,1,2,413,nan,0,413,nan
6,Balasore,40,Balasore,193,,,,,,,,35,8,120,234,0,0,2,0,0,399,nan,2,401,nan
6,Balasore,40,Balasore,194,,,,,,,,70,5,302,261,0,1,0,0,1,640,nan,4,644,nan
6,Balasore,40,Balasore,195,,,,,,,,37,1,187,143,1,0,0,0,0,369,nan,0,369,nan
6,Balasore,40,Balasore,196,,,,,,,,112,2,302,470,0,1,1,0,2,890,nan,1,891,nan
6,Balasore,40,Balasore,197,,,,,,,,35,2,108,155,0,0,0,0,0,300,nan,0,300,nan
6,Balasore,40,Balasore,198,,,,,,,,127,3,344,452,0,1,0,2,0,929,nan,6,935,nan
6,Balasore,40,Balasore,199,,,,,,,,132,7,329,403,4,0,3,0,4,882,nan,15,897,nan
6,Balasore,40,Balasore,200,,,,,,,,47,1,122,206,0,0,0,0,0,376,nan,1,377,nan
6,Balasore,40,Balasore,201,,,,,,,,99,2,245,191,0,0,1,2,0,540,nan,2,542,nan
6,Balasore,40,Balasore,202,,,,,,,,119,5,266,348,1,1,1,0,0,741,nan,0,741,nan
6,Balasore,40,Balasore,203,,,,,,,,34,2,150,151,0,0,1,0,0,338,nan,0,338,nan
6,Balasore,40,Balasore,204,,,,,,,,172,3,223,242,0,0,0,0,1,641,nan,4,645,nan
6,Balasore,40,Balasore,205,,,,,,,,278,5,221,293,1,1,1,1,2,803,nan,5,808,nan
6,Balasore,40,Balasore,206,,,,,,,,167,3,308,455,3,1,1,0,1,939,nan,1,940,nan
6,Balasore,40,Balasore,207,,,,,,,,136,0,144,306,0,0,1,0,0,587,nan,1,588,nan
6,Balasore,40,Balasore,208,,,,,,,,66,4,144,401,1,1,0,0,0,617,nan,0,617,nan
6,Balasore,40,Balasore,209,,,,,,,,49,5,133,425,0,0,0,1,0,613,nan,0,613,nan
6,Balasore,40,Balasore,210,,,,,,,,141,5,230,394,3,1,2,1,1,778,nan,0,778,nan
6,Balasore,40,Balasore,211,,,,,,,,108,3,271,377,0,1,1,2,2,765,nan,6,771,nan
6,Balasore,40,Balasore,212,,,,,,,,60,14,274,484,0,2,0,0,0,834,nan,2,836,nan
6,Balasore,40,Balasore,213,,,,,,,,138,12,312,454,5,1,2,2,1,927,nan,9,936,nan
6,Balasore,40,Balasore,214,,,,,,,,45,10,179,403,3,0,0,0,0,640,nan,8,648,nan
6,Balasore,40,Balasore,215,,,,,,,,50,17,378,382,0,1,1,2,1,832,nan,8,840,nan
6,Balasore,40,Balasore,216,,,,,,,,30,5,186,238,1,0,1,1,1,463,nan,1,464,nan
6,Balasore,40,Balasore,217,,,,,,,,139,4,359,387,1,0,0,0,0,890,nan,2,892,nan
6,Balasore,40,Balasore,218,,,,,,,,220,4,238,415,2,0,1,0,0,880,nan,4,884,nan
