pc_id,pc_name,ac_id,ac_name,Serial No. Of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total of Valid Votes,No. Of Rejected Votes (Test Votes),Votes for NOTA option,Total,No. Of tender votes
21,Koraput,145,Jeypore,223,,,,,,,,226.0,37.0,195.0,75.0,17.0,33.0,583.0,0,62.0,645.0,0
21,Koraput,145,Jeypore,224,,,,,,,,175.0,17.0,178.0,149.0,22.0,25.0,566.0,0,88.0,654.0,0
21,Koraput,145,Jeypore,225,,,,,,,,175.0,16.0,269.0,61.0,8.0,13.0,542.0,0,32.0,574.0,0
21,Koraput,145,Jeypore,226,,,,,,,,162.0,10.0,142.0,28.0,8.0,10.0,360.0,0,32.0,392.0,0
21,Koraput,145,Jeypore,227,,,,,,,,101.0,20.0,136.0,71.0,18.0,14.0,360.0,0,12.0,372.0,0
21,Koraput,145,Jeypore,228,,,,,,,,159.0,12.0,156.0,23.0,15.0,15.0,380.0,0,9.0,389.0,0
21,Koraput,145,Jeypore,229,,,,,,,,406.0,12.0,275.0,48.0,19.0,14.0,774.0,0,19.0,793.0,0
21,Koraput,145,Jeypore,230,,,,,,,,346.0,12.0,91.0,26.0,9.0,13.0,497.0,0,25.0,522.0,0
21,Koraput,145,Jeypore,231,,,,,,,,471.0,3.0,110.0,48.0,8.0,3.0,643.0,0,7.0,650.0,0
21,Koraput,145,Jeypore,232,,,,,,,,275.0,17.0,17.0,57.0,13.0,15.0,394.0,0,62.0,456.0,0
21,Koraput,145,Jeypore,233,,,,,,,,210.0,14.0,48.0,37.0,15.0,22.0,346.0,0,60.0,406.0,0
21,Koraput,145,Jeypore,234,,,,,,,,342.0,14.0,148.0,67.0,18.0,14.0,603.0,0,34.0,637.0,0
21,Koraput,145,Jeypore,235,,,,,,,,297.0,28.0,204.0,102.0,40.0,44.0,715.0,0,50.0,765.0,0
