pc_id,pc_name,ac_id,ac_name,PS No,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Total of Valid Votes,No. of rejected votes( Test votes),None of the Above (NOTA),Total,No. of Tendered votes
7,Bhadrak,43,Soro,158,,,,,,,,201,268,92,6,1,1,2,1,0,2,574,0,1,575,0
7,Bhadrak,43,Soro,159,,,,,,,,199,271,87,2,0,0,0,0,0,0,559,0,0,559,0
7,Bhadrak,43,Soro,160,,,,,,,,206,189,67,1,0,1,0,0,1,0,465,0,0,465,0
7,Bhadrak,43,Soro,161,,,,,,,,155,157,52,0,2,2,0,0,0,0,368,0,3,371,0
7,Bhadrak,43,Soro,162,,,,,,,,231,258,49,0,1,3,1,1,1,2,547,0,2,549,0
7,Bhadrak,43,Soro,163,,,,,,,,395,441,130,0,0,0,23,0,0,0,989,0,8,997,0
7,Bhadrak,43,Soro,164,,,,,,,,144,174,52,2,0,1,1,0,1,0,375,0,0,375,0
7,Bhadrak,43,Soro,165,,,,,,,,251,216,77,2,0,0,1,0,0,0,547,0,0,547,0
7,Bhadrak,43,Soro,166,,,,,,,,209,149,74,2,0,0,0,0,2,1,437,0,1,438,0
7,Bhadrak,43,Soro,167,,,,,,,,154,242,156,2,0,0,1,1,2,1,559,0,2,561,0
7,Bhadrak,43,Soro,168,,,,,,,,203,225,144,1,0,0,0,1,0,0,574,0,0,574,0
7,Bhadrak,43,Soro,169,,,,,,,,35,236,106,3,1,0,0,1,1,0,383,0,0,383,0
7,Bhadrak,43,Soro,170,,,,,,,,143,331,298,5,0,0,4,2,1,0,784,0,7,791,0
7,Bhadrak,43,Soro,171,,,,,,,,313,294,205,4,3,1,1,1,3,4,829,0,2,831,0
7,Bhadrak,43,Soro,172,,,,,,,,333,282,337,4,2,2,1,1,0,2,964,0,3,967,0
7,Bhadrak,43,Soro,173,,,,,,,,150,249,171,5,0,0,0,0,1,0,576,0,0,576,0
7,Bhadrak,43,Soro,174,,,,,,,,148,113,137,2,0,0,0,1,0,0,401,0,0,401,0
7,Bhadrak,43,Soro,175,,,,,,,,88,221,172,2,1,0,0,0,0,0,484,0,3,487,0
7,Bhadrak,43,Soro,176,,,,,,,,191,191,205,2,0,1,1,1,0,0,592,0,7,599,0
7,Bhadrak,43,Soro,177,,,,,,,,369,327,290,14,1,3,3,2,4,3,1016,0,5,1021,0
7,Bhadrak,43,Soro,178,,,,,,,,189,307,132,3,2,1,0,0,0,0,634,0,0,634,0
7,Bhadrak,43,Soro,179,,,,,,,,321,299,160,1,1,0,2,4,2,1,791,0,4,795,0
7,Bhadrak,43,Soro,180,,,,,,,,130,141,107,0,1,1,0,0,1,0,381,0,0,381,0
7,Bhadrak,43,Soro,181,,,,,,,,346,352,180,4,2,1,3,1,4,3,896,0,3,899,0
7,Bhadrak,43,Soro,182,,,,,,,,416,236,165,3,1,1,0,0,0,0,822,0,2,824,0
7,Bhadrak,43,Soro,183,,,,,,,,399,400,167,10,1,0,1,1,0,0,979,0,1,980,0
7,Bhadrak,43,Soro,184,,,,,,,,436,290,229,16,1,0,6,2,1,1,982,0,1,983,0
7,Bhadrak,43,Soro,185,,,,,,,,284,164,125,10,1,0,1,0,0,0,585,0,1,586,0
7,Bhadrak,43,Soro,186,,,,,,,,332,264,170,1,1,1,1,1,1,0,772,0,1,773,0
7,Bhadrak,43,Soro,187,,,,,,,,152,112,57,6,0,1,0,0,1,1,330,0,1,331,0
